Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,1293460
Fri Sep 04 2015 13:37:30 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,1293460
Fri Sep 04 2015 13:37:36 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:37:36 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:37:38 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 13:37:38 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 13:37:40 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"^"
Fri Sep 04 2015 13:37:41 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 13:37:42 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 13:37:42 GMT+0800 (Malay Peninsula Standard Time),,s0w6,label,"^"
Fri Sep 04 2015 13:37:57 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Sep 04 2015 13:37:57 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Sep 04 2015 13:37:58 GMT+0800 (Malay Peninsula Standard Time),,s1w11,label,"N"
Fri Sep 04 2015 13:38:04 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 13:38:04 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 13:38:04 GMT+0800 (Malay Peninsula Standard Time),,s1w14,label,"N"
Fri Sep 04 2015 13:38:11 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 13:38:11 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 13:38:12 GMT+0800 (Malay Peninsula Standard Time),,s1w28,label,"N"
Fri Sep 04 2015 13:38:16 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Sep 04 2015 13:38:16 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Sep 04 2015 13:38:16 GMT+0800 (Malay Peninsula Standard Time),,s1w33,label,"N"
Fri Sep 04 2015 13:39:02 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Fri Sep 04 2015 13:39:02 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Fri Sep 04 2015 13:39:02 GMT+0800 (Malay Peninsula Standard Time),,s1w71,label,"N"
Fri Sep 04 2015 13:40:10 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Fri Sep 04 2015 13:40:16 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Fri Sep 04 2015 13:40:25 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Fri Sep 04 2015 13:40:27 GMT+0800 (Malay Peninsula Standard Time),,s1w96,focus,
Fri Sep 04 2015 13:40:27 GMT+0800 (Malay Peninsula Standard Time),,s1w96,focus,
Fri Sep 04 2015 13:40:27 GMT+0800 (Malay Peninsula Standard Time),,s1w96,label,"O"
Fri Sep 04 2015 13:40:40 GMT+0800 (Malay Peninsula Standard Time),,s2w7,focus,
Fri Sep 04 2015 13:40:40 GMT+0800 (Malay Peninsula Standard Time),,s2w7,focus,
Fri Sep 04 2015 13:40:41 GMT+0800 (Malay Peninsula Standard Time),,s2w7,label,"N"
Fri Sep 04 2015 13:40:51 GMT+0800 (Malay Peninsula Standard Time),,s3w9,focus,
Fri Sep 04 2015 13:40:51 GMT+0800 (Malay Peninsula Standard Time),,s3w9,focus,
Fri Sep 04 2015 13:40:52 GMT+0800 (Malay Peninsula Standard Time),,s3w9,label,"N"
Fri Sep 04 2015 13:40:58 GMT+0800 (Malay Peninsula Standard Time),,s3w19,focus,
Fri Sep 04 2015 13:40:58 GMT+0800 (Malay Peninsula Standard Time),,s3w19,focus,
Fri Sep 04 2015 13:40:58 GMT+0800 (Malay Peninsula Standard Time),,s3w19,label,"^"
Fri Sep 04 2015 13:41:17 GMT+0800 (Malay Peninsula Standard Time),,s3w35,focus,
Fri Sep 04 2015 13:41:17 GMT+0800 (Malay Peninsula Standard Time),,s3w35,focus,
Fri Sep 04 2015 13:41:17 GMT+0800 (Malay Peninsula Standard Time),,s3w35,label,"N"
Fri Sep 04 2015 13:42:50 GMT+0800 (Malay Peninsula Standard Time),,s3w56,focus,
Fri Sep 04 2015 13:42:50 GMT+0800 (Malay Peninsula Standard Time),,s3w56,focus,
Fri Sep 04 2015 13:42:50 GMT+0800 (Malay Peninsula Standard Time),,s3w56,label,"N"
Fri Sep 04 2015 13:42:55 GMT+0800 (Malay Peninsula Standard Time),,s3w60,focus,
Fri Sep 04 2015 13:42:55 GMT+0800 (Malay Peninsula Standard Time),,s3w60,focus,
Fri Sep 04 2015 13:42:56 GMT+0800 (Malay Peninsula Standard Time),,s3w60,label,"^"
Fri Sep 04 2015 13:42:58 GMT+0800 (Malay Peninsula Standard Time),,s3w63,focus,
Fri Sep 04 2015 13:42:59 GMT+0800 (Malay Peninsula Standard Time),,s3w63,focus,
Fri Sep 04 2015 13:42:59 GMT+0800 (Malay Peninsula Standard Time),,s3w63,label,"^"
Fri Sep 04 2015 13:43:13 GMT+0800 (Malay Peninsula Standard Time),,s3w63,label,"G"
Fri Sep 04 2015 13:43:15 GMT+0800 (Malay Peninsula Standard Time),,s3w63,label,"^"
Fri Sep 04 2015 13:43:19 GMT+0800 (Malay Peninsula Standard Time),,s3w92,focus,
Fri Sep 04 2015 13:43:19 GMT+0800 (Malay Peninsula Standard Time),,s3w92,focus,
Fri Sep 04 2015 13:43:20 GMT+0800 (Malay Peninsula Standard Time),,s3w92,label,"G"
