Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1258933
Thu Sep 03 2015 19:02:45 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1258933
Thu Sep 03 2015 19:03:23 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 19:03:23 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 19:03:26 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"N"
Thu Sep 03 2015 19:04:13 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Thu Sep 03 2015 19:04:13 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Thu Sep 03 2015 19:04:14 GMT+0800 (Malay Peninsula Standard Time),,s1w19,label,"X"
Thu Sep 03 2015 19:04:22 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Thu Sep 03 2015 19:04:22 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Thu Sep 03 2015 19:04:23 GMT+0800 (Malay Peninsula Standard Time),,s1w24,label,"V"
Thu Sep 03 2015 19:04:30 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 19:04:30 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 19:04:32 GMT+0800 (Malay Peninsula Standard Time),,s1w28,label,"^"
Thu Sep 03 2015 19:04:53 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Thu Sep 03 2015 19:04:53 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Thu Sep 03 2015 19:04:56 GMT+0800 (Malay Peninsula Standard Time),,s1w39,label,"X"
Thu Sep 03 2015 19:06:01 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Thu Sep 03 2015 19:06:01 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Thu Sep 03 2015 19:06:02 GMT+0800 (Malay Peninsula Standard Time),,s1w52,label,"N"
Thu Sep 03 2015 19:06:38 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:06:39 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:06:40 GMT+0800 (Malay Peninsula Standard Time),,s2w12,label,"^"
Thu Sep 03 2015 19:08:11 GMT+0800 (Malay Peninsula Standard Time),,s3w55,focus,
Thu Sep 03 2015 19:08:11 GMT+0800 (Malay Peninsula Standard Time),,s3w55,focus,
Thu Sep 03 2015 19:08:12 GMT+0800 (Malay Peninsula Standard Time),,s3w55,label,"G"
Thu Sep 03 2015 19:10:20 GMT+0800 (Malay Peninsula Standard Time),,s4w58,focus,
Thu Sep 03 2015 19:10:20 GMT+0800 (Malay Peninsula Standard Time),,s4w58,focus,
Thu Sep 03 2015 19:10:21 GMT+0800 (Malay Peninsula Standard Time),,s4w58,label,"^"
Thu Sep 03 2015 19:11:10 GMT+0800 (Malay Peninsula Standard Time),,s6w2,focus,
Thu Sep 03 2015 19:11:10 GMT+0800 (Malay Peninsula Standard Time),,s6w2,focus,
Thu Sep 03 2015 19:11:14 GMT+0800 (Malay Peninsula Standard Time),,s6w2,label,","
Thu Sep 03 2015 19:12:14 GMT+0800 (Malay Peninsula Standard Time),,s6w27,focus,
Thu Sep 03 2015 19:12:14 GMT+0800 (Malay Peninsula Standard Time),,s6w27,focus,
Thu Sep 03 2015 19:12:15 GMT+0800 (Malay Peninsula Standard Time),,s6w4,focus,
Thu Sep 03 2015 19:12:15 GMT+0800 (Malay Peninsula Standard Time),,s6w4,focus,
Thu Sep 03 2015 19:12:17 GMT+0800 (Malay Peninsula Standard Time),,s6w4,label,","
Thu Sep 03 2015 19:12:19 GMT+0800 (Malay Peninsula Standard Time),,s6w5,focus,
Thu Sep 03 2015 19:12:19 GMT+0800 (Malay Peninsula Standard Time),,s6w5,focus,
Thu Sep 03 2015 19:12:19 GMT+0800 (Malay Peninsula Standard Time),,s6w5,label,","
Thu Sep 03 2015 19:12:20 GMT+0800 (Malay Peninsula Standard Time),,s6w6,focus,
Thu Sep 03 2015 19:12:20 GMT+0800 (Malay Peninsula Standard Time),,s6w6,focus,
Thu Sep 03 2015 19:12:23 GMT+0800 (Malay Peninsula Standard Time),,s6w6,label,"$"
Thu Sep 03 2015 19:12:29 GMT+0800 (Malay Peninsula Standard Time),,s6w3,focus,
Thu Sep 03 2015 19:12:29 GMT+0800 (Malay Peninsula Standard Time),,s6w3,focus,
Thu Sep 03 2015 19:12:31 GMT+0800 (Malay Peninsula Standard Time),,s6w3,label,"^"
Thu Sep 03 2015 19:12:34 GMT+0800 (Malay Peninsula Standard Time),,s6w7,focus,
Thu Sep 03 2015 19:12:34 GMT+0800 (Malay Peninsula Standard Time),,s6w7,focus,
Thu Sep 03 2015 19:12:35 GMT+0800 (Malay Peninsula Standard Time),,s6w7,label,","
Thu Sep 03 2015 19:12:36 GMT+0800 (Malay Peninsula Standard Time),,s6w8,focus,
Thu Sep 03 2015 19:12:37 GMT+0800 (Malay Peninsula Standard Time),,s6w8,focus,
Thu Sep 03 2015 19:12:37 GMT+0800 (Malay Peninsula Standard Time),,s6w8,label,","
Thu Sep 03 2015 19:12:38 GMT+0800 (Malay Peninsula Standard Time),,s6w9,focus,
Thu Sep 03 2015 19:12:38 GMT+0800 (Malay Peninsula Standard Time),,s6w9,focus,
Thu Sep 03 2015 19:12:38 GMT+0800 (Malay Peninsula Standard Time),,s6w9,label,","
Thu Sep 03 2015 19:12:42 GMT+0800 (Malay Peninsula Standard Time),,s6w11,focus,
Thu Sep 03 2015 19:12:42 GMT+0800 (Malay Peninsula Standard Time),,s6w11,focus,
Thu Sep 03 2015 19:12:43 GMT+0800 (Malay Peninsula Standard Time),,s6w11,label,"N"
Thu Sep 03 2015 19:13:00 GMT+0800 (Malay Peninsula Standard Time),,s6w32,focus,
Thu Sep 03 2015 19:13:00 GMT+0800 (Malay Peninsula Standard Time),,s6w32,focus,
Thu Sep 03 2015 19:13:01 GMT+0800 (Malay Peninsula Standard Time),,s6w32,label,"N"
Thu Sep 03 2015 19:13:41 GMT+0800 (Malay Peninsula Standard Time),,s6w52,focus,
Thu Sep 03 2015 19:13:41 GMT+0800 (Malay Peninsula Standard Time),,s6w52,focus,
Thu Sep 03 2015 19:13:42 GMT+0800 (Malay Peninsula Standard Time),,s6w52,label,"A"
Thu Sep 03 2015 19:13:50 GMT+0800 (Malay Peninsula Standard Time),,s6w57,focus,
Thu Sep 03 2015 19:13:50 GMT+0800 (Malay Peninsula Standard Time),,s6w57,focus,
Thu Sep 03 2015 19:13:51 GMT+0800 (Malay Peninsula Standard Time),,s6w57,label,"^"
Thu Sep 03 2015 19:14:37 GMT+0800 (Malay Peninsula Standard Time),,s6w77,focus,
Thu Sep 03 2015 19:14:37 GMT+0800 (Malay Peninsula Standard Time),,s6w77,focus,
Thu Sep 03 2015 19:14:38 GMT+0800 (Malay Peninsula Standard Time),,s6w77,label,"N"
Thu Sep 03 2015 19:15:21 GMT+0800 (Malay Peninsula Standard Time),,s6w122,focus,
Thu Sep 03 2015 19:15:22 GMT+0800 (Malay Peninsula Standard Time),,s6w122,label,"N"
Thu Sep 03 2015 19:15:30 GMT+0800 (Malay Peninsula Standard Time),,s6w138,focus,
Thu Sep 03 2015 19:15:30 GMT+0800 (Malay Peninsula Standard Time),,s6w138,focus,
Thu Sep 03 2015 19:15:31 GMT+0800 (Malay Peninsula Standard Time),,s6w138,label,"N"
Thu Sep 03 2015 19:16:07 GMT+0800 (Malay Peninsula Standard Time),,s6w114,focus,
Thu Sep 03 2015 19:16:07 GMT+0800 (Malay Peninsula Standard Time),,s6w114,focus,
Thu Sep 03 2015 19:16:08 GMT+0800 (Malay Peninsula Standard Time),,s6w114,label,"^"
Thu Sep 03 2015 19:17:35 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
