Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1253420
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1253420
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1253420
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1253420
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1253420
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1253420
Thu Sep 03 2015 18:49:26 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1253420
Thu Sep 03 2015 18:49:29 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 18:49:29 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 18:49:31 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 18:49:31 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 18:49:33 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"V"
Thu Sep 03 2015 18:49:34 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 18:49:35 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Thu Sep 03 2015 18:49:46 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Thu Sep 03 2015 18:49:46 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Thu Sep 03 2015 18:49:47 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 18:49:48 GMT+0800 (Malay Peninsula Standard Time),,s0w8,label,"^"
Thu Sep 03 2015 18:49:59 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 18:50:25 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Thu Sep 03 2015 18:50:32 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Thu Sep 03 2015 18:50:32 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Thu Sep 03 2015 18:51:17 GMT+0800 (Malay Peninsula Standard Time),,s3w32,focus,
Thu Sep 03 2015 18:51:17 GMT+0800 (Malay Peninsula Standard Time),,s3w32,focus,
Thu Sep 03 2015 18:51:24 GMT+0800 (Malay Peninsula Standard Time),,s3w32,label,"^"
Thu Sep 03 2015 18:52:08 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Thu Sep 03 2015 18:52:08 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Thu Sep 03 2015 18:52:09 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Thu Sep 03 2015 18:52:10 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Thu Sep 03 2015 18:52:24 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Thu Sep 03 2015 18:52:24 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Thu Sep 03 2015 18:52:29 GMT+0800 (Malay Peninsula Standard Time),,s1w7,label,"^"
Thu Sep 03 2015 18:52:55 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Thu Sep 03 2015 18:52:55 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Thu Sep 03 2015 18:52:57 GMT+0800 (Malay Peninsula Standard Time),,s1w9,label,"D"
Thu Sep 03 2015 18:53:21 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Thu Sep 03 2015 18:53:21 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Thu Sep 03 2015 18:53:25 GMT+0800 (Malay Peninsula Standard Time),,s1w22,label,"^"
Thu Sep 03 2015 18:53:33 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Thu Sep 03 2015 18:53:33 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Thu Sep 03 2015 18:53:34 GMT+0800 (Malay Peninsula Standard Time),,s1w23,label,"N"
Thu Sep 03 2015 18:53:46 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Thu Sep 03 2015 18:53:47 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Thu Sep 03 2015 18:53:48 GMT+0800 (Malay Peninsula Standard Time),,s1w25,label,"^"
Thu Sep 03 2015 18:54:08 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Thu Sep 03 2015 18:54:08 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Thu Sep 03 2015 18:54:09 GMT+0800 (Malay Peninsula Standard Time),,s1w30,label,"O"
Thu Sep 03 2015 18:54:23 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Thu Sep 03 2015 18:54:23 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Thu Sep 03 2015 18:54:24 GMT+0800 (Malay Peninsula Standard Time),,s1w32,label,"N"
Thu Sep 03 2015 18:54:49 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 18:54:49 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 18:54:50 GMT+0800 (Malay Peninsula Standard Time),,s1w36,label,"N"
Thu Sep 03 2015 18:54:58 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Thu Sep 03 2015 18:54:58 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Thu Sep 03 2015 18:55:00 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Thu Sep 03 2015 18:55:10 GMT+0800 (Malay Peninsula Standard Time),,s1,changeSentenceFlag,"Garbage"
Thu Sep 03 2015 18:55:32 GMT+0800 (Malay Peninsula Standard Time),,s1,changeSentenceFlag,""
Thu Sep 03 2015 18:55:34 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Thu Sep 03 2015 18:55:38 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Thu Sep 03 2015 18:55:39 GMT+0800 (Malay Peninsula Standard Time),,s1w38,label,"G"
Thu Sep 03 2015 18:55:48 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Thu Sep 03 2015 18:55:48 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Thu Sep 03 2015 18:55:50 GMT+0800 (Malay Peninsula Standard Time),,s1w46,label,"^"
Thu Sep 03 2015 18:57:00 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Thu Sep 03 2015 18:57:00 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Thu Sep 03 2015 18:57:01 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Thu Sep 03 2015 18:57:01 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Thu Sep 03 2015 18:57:04 GMT+0800 (Malay Peninsula Standard Time),,s3w4,label,"^"
Thu Sep 03 2015 18:57:15 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Thu Sep 03 2015 18:57:15 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Thu Sep 03 2015 18:57:16 GMT+0800 (Malay Peninsula Standard Time),,s3w6,label,"^"
Thu Sep 03 2015 18:57:27 GMT+0800 (Malay Peninsula Standard Time),,s3w9,focus,
Thu Sep 03 2015 18:57:27 GMT+0800 (Malay Peninsula Standard Time),,s3w9,focus,
Thu Sep 03 2015 18:57:29 GMT+0800 (Malay Peninsula Standard Time),,s3w9,label,"^"
Thu Sep 03 2015 18:58:16 GMT+0800 (Malay Peninsula Standard Time),,s3w23,focus,
Thu Sep 03 2015 18:58:16 GMT+0800 (Malay Peninsula Standard Time),,s3w23,focus,
