Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s0,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s1,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s2,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s3,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s4,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s5,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s6,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s7,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s8,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s9,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s10,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s11,twitterId,1006470
Wed Sep 02 2015 20:20:14 GMT+0800 (CST),,s12,twitterId,1006470
Wed Sep 02 2015 20:20:29 GMT+0800 (CST),,s1w8,focus,
Wed Sep 02 2015 20:20:29 GMT+0800 (CST),,s1w8,focus,
Wed Sep 02 2015 20:20:34 GMT+0800 (CST),,s1w8,label,"N"
Wed Sep 02 2015 20:20:49 GMT+0800 (CST),,s1w64,focus,
Wed Sep 02 2015 20:20:49 GMT+0800 (CST),,s1w64,focus,
Wed Sep 02 2015 20:20:51 GMT+0800 (CST),,s1w50,focus,
Wed Sep 02 2015 20:20:51 GMT+0800 (CST),,s1w50,focus,
Wed Sep 02 2015 20:20:52 GMT+0800 (CST),,s1w50,label,"V"
Wed Sep 02 2015 20:21:09 GMT+0800 (CST),,s1w61,focus,
Wed Sep 02 2015 20:21:09 GMT+0800 (CST),,s1w61,focus,
Wed Sep 02 2015 20:21:21 GMT+0800 (CST),,s1w61,focus,
Wed Sep 02 2015 20:21:22 GMT+0800 (CST),,s1w61,focus,
Wed Sep 02 2015 20:21:25 GMT+0800 (CST),,s1w61,label,"R"
Wed Sep 02 2015 20:21:35 GMT+0800 (CST),,s1w93,focus,
Wed Sep 02 2015 20:21:35 GMT+0800 (CST),,s1w93,focus,
Wed Sep 02 2015 20:21:36 GMT+0800 (CST),,s1w80,focus,
Wed Sep 02 2015 20:21:36 GMT+0800 (CST),,s1w80,focus,
Wed Sep 02 2015 20:21:39 GMT+0800 (CST),,s1w80,label,"V"
Wed Sep 02 2015 20:21:40 GMT+0800 (CST),,s1w76,focus,
Wed Sep 02 2015 20:21:40 GMT+0800 (CST),,s1w76,focus,
Wed Sep 02 2015 20:21:40 GMT+0800 (CST),,s1w76,label,"V"
Wed Sep 02 2015 20:22:03 GMT+0800 (CST),,s1w121,focus,
Wed Sep 02 2015 20:22:03 GMT+0800 (CST),,s1w121,focus,
Wed Sep 02 2015 20:22:04 GMT+0800 (CST),,s1w121,label,"^"
Wed Sep 02 2015 20:22:16 GMT+0800 (CST),,s1w131,focus,
Wed Sep 02 2015 20:22:16 GMT+0800 (CST),,s1w131,focus,
Wed Sep 02 2015 20:22:17 GMT+0800 (CST),,s1w131,label,"N"
Wed Sep 02 2015 20:22:20 GMT+0800 (CST),,s1w137,focus,
Wed Sep 02 2015 20:22:20 GMT+0800 (CST),,s1w137,focus,
Wed Sep 02 2015 20:22:23 GMT+0800 (CST),,s1w137,label,"V"
Wed Sep 02 2015 20:22:40 GMT+0800 (CST),,s1w163,focus,
Wed Sep 02 2015 20:22:40 GMT+0800 (CST),,s1w163,focus,
Wed Sep 02 2015 20:22:42 GMT+0800 (CST),,s1w163,label,"&"
Wed Sep 02 2015 20:22:59 GMT+0800 (CST),,s3w2,focus,
Wed Sep 02 2015 20:22:59 GMT+0800 (CST),,s3w2,focus,
Wed Sep 02 2015 20:23:00 GMT+0800 (CST),,s3w2,label,"^"
Wed Sep 02 2015 20:23:12 GMT+0800 (CST),,s4w15,focus,
Wed Sep 02 2015 20:23:12 GMT+0800 (CST),,s4w15,focus,
Wed Sep 02 2015 20:23:13 GMT+0800 (CST),,s4w15,label,"^"
Wed Sep 02 2015 20:23:18 GMT+0800 (CST),,s4w25,focus,
Wed Sep 02 2015 20:23:18 GMT+0800 (CST),,s4w25,focus,
Wed Sep 02 2015 20:23:19 GMT+0800 (CST),,s4w25,label,"^"
Wed Sep 02 2015 20:23:27 GMT+0800 (CST),,s5w7,focus,
Wed Sep 02 2015 20:23:27 GMT+0800 (CST),,s5w7,focus,
Wed Sep 02 2015 20:23:33 GMT+0800 (CST),,s5w35,focus,
Wed Sep 02 2015 20:23:33 GMT+0800 (CST),,s5w35,focus,
Wed Sep 02 2015 20:23:34 GMT+0800 (CST),,s5w35,label,"^"
Wed Sep 02 2015 20:23:47 GMT+0800 (CST),,s5w49,focus,
Wed Sep 02 2015 20:23:47 GMT+0800 (CST),,s5w49,focus,
Wed Sep 02 2015 20:23:49 GMT+0800 (CST),,s5w49,label,"N"
Wed Sep 02 2015 20:23:52 GMT+0800 (CST),,s5w55,focus,
Wed Sep 02 2015 20:23:52 GMT+0800 (CST),,s5w55,focus,
Wed Sep 02 2015 20:23:54 GMT+0800 (CST),,s5w55,label,"N"
Wed Sep 02 2015 20:23:56 GMT+0800 (CST),,s5w52,focus,
Wed Sep 02 2015 20:23:56 GMT+0800 (CST),,s5w52,focus,
Wed Sep 02 2015 20:23:56 GMT+0800 (CST),,s5w52,label,"N"
Wed Sep 02 2015 20:24:02 GMT+0800 (CST),,s5w68,focus,
Wed Sep 02 2015 20:24:02 GMT+0800 (CST),,s5w68,focus,
Wed Sep 02 2015 20:24:02 GMT+0800 (CST),,s5w68,label,"^"
Wed Sep 02 2015 20:24:16 GMT+0800 (CST),,s5w99,focus,
Wed Sep 02 2015 20:24:16 GMT+0800 (CST),,s5w99,focus,
Wed Sep 02 2015 20:24:16 GMT+0800 (CST),,s5w99,label,"^"
Wed Sep 02 2015 20:24:32 GMT+0800 (CST),,s7w22,focus,
Wed Sep 02 2015 20:24:33 GMT+0800 (CST),,s7w22,focus,
Wed Sep 02 2015 20:24:33 GMT+0800 (CST),,s7w22,label,"^"
Wed Sep 02 2015 20:24:36 GMT+0800 (CST),,s7w27,focus,
Wed Sep 02 2015 20:24:36 GMT+0800 (CST),,s7w27,focus,
Wed Sep 02 2015 20:24:36 GMT+0800 (CST),,s7w27,label,"^"
Wed Sep 02 2015 20:24:41 GMT+0800 (CST),,s8w6,focus,
Wed Sep 02 2015 20:24:41 GMT+0800 (CST),,s8w6,focus,
Wed Sep 02 2015 20:24:53 GMT+0800 (CST),,s8w30,focus,
Wed Sep 02 2015 20:24:53 GMT+0800 (CST),,s8w30,focus,
Wed Sep 02 2015 20:24:53 GMT+0800 (CST),,s8w30,label,"^"
Wed Sep 02 2015 20:25:01 GMT+0800 (CST),,s8w54,focus,
Wed Sep 02 2015 20:25:01 GMT+0800 (CST),,s8w54,focus,
Wed Sep 02 2015 20:25:01 GMT+0800 (CST),,s8w54,label,"^"
Wed Sep 02 2015 20:25:10 GMT+0800 (CST),,s8w60,focus,
Wed Sep 02 2015 20:25:10 GMT+0800 (CST),,s8w60,focus,
Wed Sep 02 2015 20:25:14 GMT+0800 (CST),,s8w60,label,"N"
Wed Sep 02 2015 20:25:48 GMT+0800 (CST),,s11w12,focus,
Wed Sep 02 2015 20:25:48 GMT+0800 (CST),,s11w12,focus,
Wed Sep 02 2015 20:25:51 GMT+0800 (CST),,s8w60,focus,
Wed Sep 02 2015 20:25:51 GMT+0800 (CST),,s8w60,focus,
Wed Sep 02 2015 20:25:53 GMT+0800 (CST),,s8w60,label,"^"
Wed Sep 02 2015 20:26:06 GMT+0800 (CST),,s11w29,focus,
Wed Sep 02 2015 20:26:06 GMT+0800 (CST),,s11w29,focus,
Wed Sep 02 2015 20:26:07 GMT+0800 (CST),,s11w29,label,"N"
Wed Sep 02 2015 20:26:10 GMT+0800 (CST),,s11w29,label,"^"
Wed Sep 02 2015 20:26:15 GMT+0800 (CST),,s11w35,focus,
Wed Sep 02 2015 20:26:15 GMT+0800 (CST),,s11w35,focus,
Wed Sep 02 2015 20:26:18 GMT+0800 (CST),,s11w35,label,"N"
Wed Sep 02 2015 20:26:19 GMT+0800 (CST),,s11w36,focus,
Wed Sep 02 2015 20:26:19 GMT+0800 (CST),,s11w36,focus,
Wed Sep 02 2015 20:26:20 GMT+0800 (CST),,s11w36,label,"N"
Wed Sep 02 2015 20:26:26 GMT+0800 (CST),,s12w3,focus,
Wed Sep 02 2015 20:26:26 GMT+0800 (CST),,s12w3,focus,
Wed Sep 02 2015 20:26:33 GMT+0800 (CST),,s12w7,focus,
Wed Sep 02 2015 20:26:33 GMT+0800 (CST),,s12w7,focus,
Wed Sep 02 2015 20:26:34 GMT+0800 (CST),,s12w7,label,"V"
Wed Sep 02 2015 20:26:48 GMT+0800 (CST),,,submitPage,
