Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s0,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s1,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s2,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s3,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s4,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s5,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s6,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s7,twitterId,1039510
Wed Sep 02 2015 20:55:23 GMT+0800 (CST),,s8,twitterId,1039510
Wed Sep 02 2015 20:56:41 GMT+0800 (CST),,s1w41,focus,
Wed Sep 02 2015 20:56:41 GMT+0800 (CST),,s1w41,focus,
Wed Sep 02 2015 20:56:42 GMT+0800 (CST),,s1w41,label,"V"
Wed Sep 02 2015 20:57:04 GMT+0800 (CST),,s2w2,focus,
Wed Sep 02 2015 20:57:04 GMT+0800 (CST),,s2w2,focus,
Wed Sep 02 2015 20:57:05 GMT+0800 (CST),,s2w2,label,"V"
Wed Sep 02 2015 20:57:09 GMT+0800 (CST),,s2w2,label,"N"
Wed Sep 02 2015 20:57:12 GMT+0800 (CST),,s2w3,focus,
Wed Sep 02 2015 20:57:12 GMT+0800 (CST),,s2w3,focus,
Wed Sep 02 2015 20:57:12 GMT+0800 (CST),,s2w3,label,"N"
Wed Sep 02 2015 20:57:35 GMT+0800 (CST),,s4w6,focus,
Wed Sep 02 2015 20:57:35 GMT+0800 (CST),,s4w6,focus,
Wed Sep 02 2015 20:57:35 GMT+0800 (CST),,s4w6,label,"A"
Wed Sep 02 2015 20:57:50 GMT+0800 (CST),,s5w1,focus,
Wed Sep 02 2015 20:57:50 GMT+0800 (CST),,s5w1,focus,
Wed Sep 02 2015 20:57:51 GMT+0800 (CST),,s5w1,label,"^"
Wed Sep 02 2015 20:57:55 GMT+0800 (CST),,s5w3,focus,
Wed Sep 02 2015 20:57:55 GMT+0800 (CST),,s5w3,focus,
Wed Sep 02 2015 20:58:00 GMT+0800 (CST),,s5w3,focus,
Wed Sep 02 2015 20:58:01 GMT+0800 (CST),,s5w3,label,"^"
Wed Sep 02 2015 20:58:24 GMT+0800 (CST),,s6w34,focus,
Wed Sep 02 2015 20:58:24 GMT+0800 (CST),,s6w34,focus,
Wed Sep 02 2015 20:58:26 GMT+0800 (CST),,s6w34,label,"N"
Wed Sep 02 2015 20:58:38 GMT+0800 (CST),,s7w10,focus,
Wed Sep 02 2015 20:58:38 GMT+0800 (CST),,s7w10,focus,
Wed Sep 02 2015 20:58:39 GMT+0800 (CST),,s7w10,label,"^"
Wed Sep 02 2015 20:58:52 GMT+0800 (CST),,s7w33,focus,
Wed Sep 02 2015 20:58:52 GMT+0800 (CST),,s7w33,focus,
Wed Sep 02 2015 20:58:54 GMT+0800 (CST),,s7w33,label,"^"
Wed Sep 02 2015 20:58:56 GMT+0800 (CST),,s7w49,focus,
Wed Sep 02 2015 20:58:56 GMT+0800 (CST),,s7w49,focus,
Wed Sep 02 2015 20:58:58 GMT+0800 (CST),,s7w34,focus,
Wed Sep 02 2015 20:58:58 GMT+0800 (CST),,s7w34,focus,
Wed Sep 02 2015 20:58:59 GMT+0800 (CST),,s7w34,label,"N"
Wed Sep 02 2015 20:59:00 GMT+0800 (CST),,s7w35,focus,
Wed Sep 02 2015 20:59:00 GMT+0800 (CST),,s7w35,focus,
Wed Sep 02 2015 20:59:00 GMT+0800 (CST),,s7w35,label,"N"
Wed Sep 02 2015 20:59:07 GMT+0800 (CST),,s7w39,focus,
Wed Sep 02 2015 20:59:07 GMT+0800 (CST),,s7w39,focus,
Wed Sep 02 2015 20:59:08 GMT+0800 (CST),,s7w39,label,"D"
Wed Sep 02 2015 20:59:18 GMT+0800 (CST),,s7w61,focus,
Wed Sep 02 2015 20:59:18 GMT+0800 (CST),,s7w61,focus,
Wed Sep 02 2015 20:59:19 GMT+0800 (CST),,s7w61,label,"R"
Wed Sep 02 2015 20:59:26 GMT+0800 (CST),,s7w83,focus,
Wed Sep 02 2015 20:59:26 GMT+0800 (CST),,s7w83,focus,
Wed Sep 02 2015 20:59:27 GMT+0800 (CST),,s7w83,label,"^"
Wed Sep 02 2015 20:59:29 GMT+0800 (CST),,s7w86,focus,
Wed Sep 02 2015 20:59:29 GMT+0800 (CST),,s7w86,focus,
Wed Sep 02 2015 20:59:31 GMT+0800 (CST),,s7w86,label,"N"
Wed Sep 02 2015 20:59:32 GMT+0800 (CST),,s7w87,focus,
Wed Sep 02 2015 20:59:33 GMT+0800 (CST),,s7w87,focus,
Wed Sep 02 2015 20:59:33 GMT+0800 (CST),,s7w87,label,","
Wed Sep 02 2015 20:59:45 GMT+0800 (CST),,s7w113,focus,
Wed Sep 02 2015 20:59:45 GMT+0800 (CST),,s7w113,focus,
Wed Sep 02 2015 20:59:51 GMT+0800 (CST),,s7w113,label,"!"
Wed Sep 02 2015 20:59:53 GMT+0800 (CST),,s7w114,focus,
Wed Sep 02 2015 20:59:53 GMT+0800 (CST),,s7w114,focus,
Wed Sep 02 2015 20:59:54 GMT+0800 (CST),,s7w114,label,","
Wed Sep 02 2015 20:59:55 GMT+0800 (CST),,s7w115,focus,
Wed Sep 02 2015 20:59:55 GMT+0800 (CST),,s7w115,focus,
Wed Sep 02 2015 20:59:55 GMT+0800 (CST),,s7w115,label,","
Wed Sep 02 2015 20:59:56 GMT+0800 (CST),,s7w115,label,"E"
Wed Sep 02 2015 20:59:59 GMT+0800 (CST),,s8w16,focus,
Wed Sep 02 2015 20:59:59 GMT+0800 (CST),,s8w16,focus,
Wed Sep 02 2015 21:00:00 GMT+0800 (CST),,s8w2,focus,
Wed Sep 02 2015 21:00:00 GMT+0800 (CST),,s8w2,focus,
Wed Sep 02 2015 21:00:01 GMT+0800 (CST),,s8w2,label,"^"
Wed Sep 02 2015 21:00:04 GMT+0800 (CST),,s8w12,focus,
Wed Sep 02 2015 21:00:04 GMT+0800 (CST),,s8w12,focus,
Wed Sep 02 2015 21:00:07 GMT+0800 (CST),,s8w12,label,"A"
Wed Sep 02 2015 21:00:19 GMT+0800 (CST),,s8w22,focus,
Wed Sep 02 2015 21:00:19 GMT+0800 (CST),,s8w22,focus,
Wed Sep 02 2015 21:00:20 GMT+0800 (CST),,s8w22,label,"D"
Wed Sep 02 2015 21:00:28 GMT+0800 (CST),,,submitPage,
