Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s0,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s1,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s2,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s3,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s4,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s5,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s6,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s7,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s8,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s9,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s10,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s11,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s12,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s13,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s14,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s15,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s16,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s17,twitterId,1007732
Wed Sep 02 2015 20:28:51 GMT+0800 (CST),,s18,twitterId,1007732
Wed Sep 02 2015 20:29:02 GMT+0800 (CST),,s1w1,focus,
Wed Sep 02 2015 20:29:02 GMT+0800 (CST),,s1w1,focus,
Wed Sep 02 2015 20:29:03 GMT+0800 (CST),,s1w2,focus,
Wed Sep 02 2015 20:29:10 GMT+0800 (CST),,s1w2,label,"N"
Wed Sep 02 2015 20:29:10 GMT+0800 (CST),,s1w3,focus,
