Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s0,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s1,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s2,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s3,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s4,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s5,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s6,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s7,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s8,twitterId,1006387
Wed Sep 02 2015 19:53:29 GMT+0800 (CST),,s9,twitterId,1006387
Wed Sep 02 2015 19:53:47 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:53:47 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:54:08 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:54:24 GMT+0800 (CST),,s1w33,focus,
Wed Sep 02 2015 19:54:24 GMT+0800 (CST),,s1w33,focus,
Wed Sep 02 2015 19:54:30 GMT+0800 (CST),,s1w33,label,"^"
Wed Sep 02 2015 19:54:39 GMT+0800 (CST),,s2w19,focus,
Wed Sep 02 2015 19:54:39 GMT+0800 (CST),,s2w19,focus,
Wed Sep 02 2015 19:54:39 GMT+0800 (CST),,s2w19,label,"^"
Wed Sep 02 2015 19:54:47 GMT+0800 (CST),,s2w31,focus,
Wed Sep 02 2015 19:54:47 GMT+0800 (CST),,s2w31,focus,
Wed Sep 02 2015 19:54:48 GMT+0800 (CST),,s2w31,label,"^"
Wed Sep 02 2015 19:54:50 GMT+0800 (CST),,s2w52,focus,
Wed Sep 02 2015 19:54:50 GMT+0800 (CST),,s2w52,focus,
Wed Sep 02 2015 19:54:50 GMT+0800 (CST),,s2w52,label,"^"
Wed Sep 02 2015 19:55:13 GMT+0800 (CST),,s2w61,focus,
Wed Sep 02 2015 19:55:13 GMT+0800 (CST),,s2w61,focus,
Wed Sep 02 2015 19:55:15 GMT+0800 (CST),,s2w61,label,"N"
Wed Sep 02 2015 19:55:16 GMT+0800 (CST),,s2w62,focus,
Wed Sep 02 2015 19:55:16 GMT+0800 (CST),,s2w62,focus,
Wed Sep 02 2015 19:55:18 GMT+0800 (CST),,s2w74,focus,
Wed Sep 02 2015 19:55:18 GMT+0800 (CST),,s2w74,focus,
Wed Sep 02 2015 19:55:19 GMT+0800 (CST),,s2w63,focus,
Wed Sep 02 2015 19:55:19 GMT+0800 (CST),,s2w63,focus,
Wed Sep 02 2015 19:55:55 GMT+0800 (CST),,s2w63,focus,
Wed Sep 02 2015 19:56:27 GMT+0800 (CST),,s3w38,focus,
Wed Sep 02 2015 19:56:27 GMT+0800 (CST),,s3w38,focus,
Wed Sep 02 2015 19:56:28 GMT+0800 (CST),,s3w38,label,"N"
Wed Sep 02 2015 19:56:41 GMT+0800 (CST),,s4w16,focus,
Wed Sep 02 2015 19:56:41 GMT+0800 (CST),,s4w16,focus,
Wed Sep 02 2015 19:56:42 GMT+0800 (CST),,s4w16,label,"V"
Wed Sep 02 2015 19:57:53 GMT+0800 (CST),,s6w43,focus,
Wed Sep 02 2015 19:57:53 GMT+0800 (CST),,s6w43,focus,
Wed Sep 02 2015 19:57:54 GMT+0800 (CST),,s6w43,label,"^"
Wed Sep 02 2015 19:58:08 GMT+0800 (CST),,s6w66,focus,
Wed Sep 02 2015 19:58:08 GMT+0800 (CST),,s6w66,focus,
Wed Sep 02 2015 19:58:09 GMT+0800 (CST),,s6w66,label,"N"
Wed Sep 02 2015 19:58:11 GMT+0800 (CST),,s6w68,focus,
Wed Sep 02 2015 19:58:11 GMT+0800 (CST),,s6w68,focus,
Wed Sep 02 2015 19:58:16 GMT+0800 (CST),,s6w68,label,"^"
Wed Sep 02 2015 20:12:57 GMT+0800 (CST),,s6w68,focus,
Wed Sep 02 2015 20:16:27 GMT+0800 (CST),,s6w98,focus,
Wed Sep 02 2015 20:16:27 GMT+0800 (CST),,s6w98,focus,
Wed Sep 02 2015 20:16:28 GMT+0800 (CST),,s6w98,label,"&"
Wed Sep 02 2015 20:16:30 GMT+0800 (CST),,s6w98,label,"^"
Wed Sep 02 2015 20:16:39 GMT+0800 (CST),,s6w108,focus,
Wed Sep 02 2015 20:16:39 GMT+0800 (CST),,s6w108,focus,
Wed Sep 02 2015 20:16:40 GMT+0800 (CST),,s6w108,label,"^"
Wed Sep 02 2015 20:16:53 GMT+0800 (CST),,s6w130,focus,
Wed Sep 02 2015 20:16:53 GMT+0800 (CST),,s6w130,focus,
Wed Sep 02 2015 20:16:54 GMT+0800 (CST),,s6w130,label,"^"
Wed Sep 02 2015 20:17:11 GMT+0800 (CST),,s6w154,focus,
Wed Sep 02 2015 20:17:11 GMT+0800 (CST),,s6w154,focus,
Wed Sep 02 2015 20:17:12 GMT+0800 (CST),,s6w141,focus,
Wed Sep 02 2015 20:17:12 GMT+0800 (CST),,s6w141,focus,
Wed Sep 02 2015 20:17:13 GMT+0800 (CST),,s6w141,label,"D"
Wed Sep 02 2015 20:17:19 GMT+0800 (CST),,s6w149,focus,
Wed Sep 02 2015 20:17:19 GMT+0800 (CST),,s6w149,focus,
Wed Sep 02 2015 20:17:39 GMT+0800 (CST),,s6w149,focus,
Wed Sep 02 2015 20:17:41 GMT+0800 (CST),,s6w149,label,"O"
Wed Sep 02 2015 20:17:47 GMT+0800 (CST),,s6w155,focus,
Wed Sep 02 2015 20:17:47 GMT+0800 (CST),,s6w155,focus,
Wed Sep 02 2015 20:17:49 GMT+0800 (CST),,s6w158,focus,
Wed Sep 02 2015 20:17:49 GMT+0800 (CST),,s6w158,focus,
Wed Sep 02 2015 20:17:50 GMT+0800 (CST),,s6w158,label,"N"
Wed Sep 02 2015 20:17:52 GMT+0800 (CST),,s6w158,label,"^"
Wed Sep 02 2015 20:18:08 GMT+0800 (CST),,s7w4,focus,
Wed Sep 02 2015 20:18:08 GMT+0800 (CST),,s7w4,focus,
Wed Sep 02 2015 20:18:09 GMT+0800 (CST),,s7w4,label,"^"
Wed Sep 02 2015 20:18:10 GMT+0800 (CST),,s7w6,focus,
Wed Sep 02 2015 20:18:10 GMT+0800 (CST),,s7w6,focus,
Wed Sep 02 2015 20:18:21 GMT+0800 (CST),,s8w6,focus,
Wed Sep 02 2015 20:18:21 GMT+0800 (CST),,s8w6,focus,
Wed Sep 02 2015 20:18:23 GMT+0800 (CST),,s8w6,label,"^"
Wed Sep 02 2015 20:18:59 GMT+0800 (CST),,s9w29,focus,
Wed Sep 02 2015 20:18:59 GMT+0800 (CST),,s9w29,focus,
Wed Sep 02 2015 20:19:00 GMT+0800 (CST),,s9w29,label,"N"
Wed Sep 02 2015 20:19:01 GMT+0800 (CST),,s9w30,focus,
Wed Sep 02 2015 20:19:01 GMT+0800 (CST),,s9w30,focus,
Wed Sep 02 2015 20:19:01 GMT+0800 (CST),,s9w30,label,"N"
Wed Sep 02 2015 20:19:02 GMT+0800 (CST),,s9w31,focus,
Wed Sep 02 2015 20:19:02 GMT+0800 (CST),,s9w31,focus,
Wed Sep 02 2015 20:19:02 GMT+0800 (CST),,s9w31,label,"N"
Wed Sep 02 2015 20:19:06 GMT+0800 (CST),,s9w36,focus,
Wed Sep 02 2015 20:19:06 GMT+0800 (CST),,s9w36,focus,
Wed Sep 02 2015 20:19:06 GMT+0800 (CST),,s9w36,label,"N"
Wed Sep 02 2015 20:19:07 GMT+0800 (CST),,s9w38,focus,
Wed Sep 02 2015 20:19:07 GMT+0800 (CST),,s9w38,focus,
Wed Sep 02 2015 20:19:08 GMT+0800 (CST),,s9w38,label,"N"
Wed Sep 02 2015 20:19:08 GMT+0800 (CST),,s9w40,focus,
Wed Sep 02 2015 20:19:08 GMT+0800 (CST),,s9w40,focus,
Wed Sep 02 2015 20:19:08 GMT+0800 (CST),,s9w40,label,"N"
Wed Sep 02 2015 20:19:10 GMT+0800 (CST),,s9w57,focus,
Wed Sep 02 2015 20:19:10 GMT+0800 (CST),,s9w57,focus,
Wed Sep 02 2015 20:19:11 GMT+0800 (CST),,s9w42,focus,
Wed Sep 02 2015 20:19:11 GMT+0800 (CST),,s9w42,focus,
Wed Sep 02 2015 20:19:16 GMT+0800 (CST),,s9w49,focus,
Wed Sep 02 2015 20:19:16 GMT+0800 (CST),,s9w49,focus,
Wed Sep 02 2015 20:19:17 GMT+0800 (CST),,s9w49,label,"N"
