Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,s0,twitterId,1013720
Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,s1,twitterId,1013720
Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,s2,twitterId,1013720
Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,s3,twitterId,1013720
Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,s4,twitterId,1013720
Wed Sep 02 2015 20:34:07 GMT+0800 (CST),,s5,twitterId,1013720
Wed Sep 02 2015 20:34:14 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 20:34:14 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 20:34:16 GMT+0800 (CST),,s0w5,label,"^"
Wed Sep 02 2015 20:34:44 GMT+0800 (CST),,s1w36,focus,
Wed Sep 02 2015 20:34:44 GMT+0800 (CST),,s1w36,focus,
Wed Sep 02 2015 20:34:46 GMT+0800 (CST),,s1w36,label,"^"
Wed Sep 02 2015 20:34:55 GMT+0800 (CST),,s1w58,focus,
Wed Sep 02 2015 20:34:55 GMT+0800 (CST),,s1w58,focus,
Wed Sep 02 2015 20:34:56 GMT+0800 (CST),,s1w58,label,"^"
Wed Sep 02 2015 20:36:08 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 20:36:08 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 20:36:10 GMT+0800 (CST),,s2w24,label,"N"
Wed Sep 02 2015 20:36:11 GMT+0800 (CST),,s2w26,focus,
Wed Sep 02 2015 20:36:11 GMT+0800 (CST),,s2w26,focus,
Wed Sep 02 2015 20:36:12 GMT+0800 (CST),,s2w26,label,"N"
Wed Sep 02 2015 20:36:15 GMT+0800 (CST),,s2w28,focus,
Wed Sep 02 2015 20:36:15 GMT+0800 (CST),,s2w28,focus,
Wed Sep 02 2015 20:36:16 GMT+0800 (CST),,s2w28,label,"^"
Wed Sep 02 2015 20:36:33 GMT+0800 (CST),,s2w57,focus,
Wed Sep 02 2015 20:36:33 GMT+0800 (CST),,s2w57,focus,
Wed Sep 02 2015 20:36:35 GMT+0800 (CST),,s2w57,label,"N"
Wed Sep 02 2015 20:36:39 GMT+0800 (CST),,s3w3,focus,
Wed Sep 02 2015 20:36:39 GMT+0800 (CST),,s3w3,focus,
Wed Sep 02 2015 20:36:42 GMT+0800 (CST),,s3w6,focus,
Wed Sep 02 2015 20:36:42 GMT+0800 (CST),,s3w6,focus,
Wed Sep 02 2015 20:36:44 GMT+0800 (CST),,s3w6,label,"N"
Wed Sep 02 2015 20:36:51 GMT+0800 (CST),,s3w17,focus,
Wed Sep 02 2015 20:36:51 GMT+0800 (CST),,s3w17,focus,
Wed Sep 02 2015 20:36:52 GMT+0800 (CST),,s3w17,label,"^"
Wed Sep 02 2015 20:36:56 GMT+0800 (CST),,s3w17,label,"N"
Wed Sep 02 2015 20:37:01 GMT+0800 (CST),,s3w17,label,"^"
Wed Sep 02 2015 20:37:03 GMT+0800 (CST),,s4w5,focus,
Wed Sep 02 2015 20:37:03 GMT+0800 (CST),,s4w5,focus,
Wed Sep 02 2015 20:37:03 GMT+0800 (CST),,s4w5,label,"N"
Wed Sep 02 2015 20:37:04 GMT+0800 (CST),,s4w7,focus,
Wed Sep 02 2015 20:37:04 GMT+0800 (CST),,s4w7,focus,
Wed Sep 02 2015 20:37:05 GMT+0800 (CST),,s4w7,label,"N"
Wed Sep 02 2015 20:37:23 GMT+0800 (CST),,s4w52,focus,
Wed Sep 02 2015 20:37:23 GMT+0800 (CST),,s4w52,focus,
Wed Sep 02 2015 20:37:24 GMT+0800 (CST),,s4w52,label,"N"
Wed Sep 02 2015 20:38:01 GMT+0800 (CST),,s5w8,focus,
Wed Sep 02 2015 20:38:01 GMT+0800 (CST),,s5w8,focus,
Wed Sep 02 2015 20:38:03 GMT+0800 (CST),,s5w8,label,"^"
Wed Sep 02 2015 20:38:09 GMT+0800 (CST),,,submitPage,
