Wed Sep 02 2015 19:14:55 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 19:14:55 GMT+0800 (CST),,s0,twitterId,964392
Wed Sep 02 2015 19:14:55 GMT+0800 (CST),,s1,twitterId,964392
Wed Sep 02 2015 19:14:55 GMT+0800 (CST),,s2,twitterId,964392
Wed Sep 02 2015 19:14:55 GMT+0800 (CST),,s3,twitterId,964392
Wed Sep 02 2015 19:14:55 GMT+0800 (CST),,s4,twitterId,964392
Wed Sep 02 2015 19:14:56 GMT+0800 (CST),,s0w14,focus,
Wed Sep 02 2015 19:14:56 GMT+0800 (CST),,s0w14,focus,
Wed Sep 02 2015 19:14:57 GMT+0800 (CST),,s0w14,focus,
Wed Sep 02 2015 19:14:58 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:14:58 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:15:59 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:16:00 GMT+0800 (CST),,s0w2,focus,
Wed Sep 02 2015 19:16:00 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:16:00 GMT+0800 (CST),,s0w4,focus,
Wed Sep 02 2015 19:16:01 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 19:16:02 GMT+0800 (CST),,s0w6,focus,
Wed Sep 02 2015 19:16:07 GMT+0800 (CST),,s0w7,focus,
Wed Sep 02 2015 19:16:08 GMT+0800 (CST),,s0w8,focus,
Wed Sep 02 2015 19:16:09 GMT+0800 (CST),,s0w9,focus,
Wed Sep 02 2015 19:16:09 GMT+0800 (CST),,s0w10,focus,
Wed Sep 02 2015 19:16:10 GMT+0800 (CST),,s0w10,label,"^"
Wed Sep 02 2015 19:16:11 GMT+0800 (CST),,s0w11,focus,
Wed Sep 02 2015 19:16:12 GMT+0800 (CST),,s0w12,focus,
Wed Sep 02 2015 19:16:12 GMT+0800 (CST),,s0w13,focus,
Wed Sep 02 2015 19:16:13 GMT+0800 (CST),,s0w14,focus,
Wed Sep 02 2015 19:16:15 GMT+0800 (CST),,s0w15,focus,
Wed Sep 02 2015 19:16:15 GMT+0800 (CST),,s0w16,focus,
Wed Sep 02 2015 19:16:16 GMT+0800 (CST),,s0w17,focus,
Wed Sep 02 2015 19:16:16 GMT+0800 (CST),,s1w1,focus,
Wed Sep 02 2015 19:16:17 GMT+0800 (CST),,s1w2,focus,
Wed Sep 02 2015 19:16:17 GMT+0800 (CST),,s1w3,focus,
Wed Sep 02 2015 19:16:18 GMT+0800 (CST),,s1w4,focus,
Wed Sep 02 2015 19:16:18 GMT+0800 (CST),,s1w5,focus,
Wed Sep 02 2015 19:16:19 GMT+0800 (CST),,s1w6,focus,
Wed Sep 02 2015 19:16:20 GMT+0800 (CST),,s1w7,focus,
Wed Sep 02 2015 19:16:21 GMT+0800 (CST),,s1w8,focus,
Wed Sep 02 2015 19:16:21 GMT+0800 (CST),,s1w9,focus,
Wed Sep 02 2015 19:16:21 GMT+0800 (CST),,s1w10,focus,
Wed Sep 02 2015 19:16:22 GMT+0800 (CST),,s1w11,focus,
Wed Sep 02 2015 19:16:22 GMT+0800 (CST),,s1w12,focus,
Wed Sep 02 2015 19:16:35 GMT+0800 (CST),,s1w12,focus,
Wed Sep 02 2015 19:16:40 GMT+0800 (CST),,s1w12,label,"R"
Wed Sep 02 2015 19:16:41 GMT+0800 (CST),,s1w13,focus,
Wed Sep 02 2015 19:16:43 GMT+0800 (CST),,s1w14,focus,
Wed Sep 02 2015 19:16:43 GMT+0800 (CST),,s1w15,focus,
Wed Sep 02 2015 19:16:52 GMT+0800 (CST),,s1w16,focus,
Wed Sep 02 2015 19:16:53 GMT+0800 (CST),,s1w17,focus,
Wed Sep 02 2015 19:16:59 GMT+0800 (CST),,s1w18,focus,
Wed Sep 02 2015 19:17:01 GMT+0800 (CST),,s1w19,focus,
Wed Sep 02 2015 19:17:02 GMT+0800 (CST),,s1w20,focus,
Wed Sep 02 2015 19:17:18 GMT+0800 (CST),,s1w48,focus,
Wed Sep 02 2015 19:17:18 GMT+0800 (CST),,s1w48,focus,
Wed Sep 02 2015 19:17:19 GMT+0800 (CST),,s1w48,label,"V"
Wed Sep 02 2015 19:17:42 GMT+0800 (CST),,s1w81,focus,
Wed Sep 02 2015 19:17:42 GMT+0800 (CST),,s1w81,focus,
Wed Sep 02 2015 19:17:48 GMT+0800 (CST),,s1w86,focus,
Wed Sep 02 2015 19:17:48 GMT+0800 (CST),,s1w86,focus,
Wed Sep 02 2015 19:17:48 GMT+0800 (CST),,s1w86,label,"V"
Wed Sep 02 2015 19:17:57 GMT+0800 (CST),,s2w1,focus,
Wed Sep 02 2015 19:17:57 GMT+0800 (CST),,s2w1,focus,
Wed Sep 02 2015 19:17:58 GMT+0800 (CST),,s2w1,label,","
Wed Sep 02 2015 19:18:14 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 19:18:14 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 19:18:15 GMT+0800 (CST),,s2w25,label,"V"
Wed Sep 02 2015 19:18:34 GMT+0800 (CST),,s3w3,focus,
Wed Sep 02 2015 19:18:34 GMT+0800 (CST),,s3w3,focus,
Wed Sep 02 2015 19:18:36 GMT+0800 (CST),,s3w3,label,"^"
Wed Sep 02 2015 19:18:51 GMT+0800 (CST),,,submitPage,
