Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,s0,twitterId,1037212
Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,s1,twitterId,1037212
Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,s2,twitterId,1037212
Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,s3,twitterId,1037212
Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,s4,twitterId,1037212
Wed Sep 02 2015 20:51:19 GMT+0800 (CST),,s5,twitterId,1037212
Wed Sep 02 2015 20:51:27 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 20:51:27 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 20:51:35 GMT+0800 (CST),,s0w5,label,"N"
Wed Sep 02 2015 20:51:51 GMT+0800 (CST),,s1w21,focus,
Wed Sep 02 2015 20:51:51 GMT+0800 (CST),,s1w21,focus,
Wed Sep 02 2015 20:51:52 GMT+0800 (CST),,s1w21,label,"N"
Wed Sep 02 2015 20:51:59 GMT+0800 (CST),,s1w30,focus,
Wed Sep 02 2015 20:51:59 GMT+0800 (CST),,s1w30,focus,
Wed Sep 02 2015 20:52:00 GMT+0800 (CST),,s1w30,label,"^"
Wed Sep 02 2015 20:52:01 GMT+0800 (CST),,s1w31,focus,
Wed Sep 02 2015 20:52:01 GMT+0800 (CST),,s1w31,focus,
Wed Sep 02 2015 20:52:02 GMT+0800 (CST),,s1w31,label,"^"
Wed Sep 02 2015 20:52:03 GMT+0800 (CST),,s1w33,focus,
Wed Sep 02 2015 20:52:03 GMT+0800 (CST),,s1w33,focus,
Wed Sep 02 2015 20:52:04 GMT+0800 (CST),,s1w33,label,"^"
Wed Sep 02 2015 20:52:05 GMT+0800 (CST),,s1w34,focus,
Wed Sep 02 2015 20:52:05 GMT+0800 (CST),,s1w34,focus,
Wed Sep 02 2015 20:52:05 GMT+0800 (CST),,s1w34,label,"^"
Wed Sep 02 2015 20:52:07 GMT+0800 (CST),,s1w35,focus,
Wed Sep 02 2015 20:52:07 GMT+0800 (CST),,s1w35,focus,
Wed Sep 02 2015 20:52:08 GMT+0800 (CST),,s1w35,label,"R"
Wed Sep 02 2015 20:53:06 GMT+0800 (CST),,s1w134,focus,
Wed Sep 02 2015 20:53:06 GMT+0800 (CST),,s1w134,focus,
Wed Sep 02 2015 20:53:07 GMT+0800 (CST),,s1w134,label,"N"
Wed Sep 02 2015 20:53:18 GMT+0800 (CST),,s1w147,focus,
Wed Sep 02 2015 20:53:18 GMT+0800 (CST),,s1w147,focus,
Wed Sep 02 2015 20:53:20 GMT+0800 (CST),,s1w147,label,"N"
Wed Sep 02 2015 20:53:21 GMT+0800 (CST),,s1w152,focus,
Wed Sep 02 2015 20:53:21 GMT+0800 (CST),,s1w152,focus,
Wed Sep 02 2015 20:53:26 GMT+0800 (CST),,s1w152,label,"V"
Wed Sep 02 2015 20:53:27 GMT+0800 (CST),,s1w153,focus,
Wed Sep 02 2015 20:53:27 GMT+0800 (CST),,s1w153,focus,
Wed Sep 02 2015 20:53:28 GMT+0800 (CST),,s1w153,label,"^"
Wed Sep 02 2015 20:53:29 GMT+0800 (CST),,s1w154,focus,
Wed Sep 02 2015 20:53:29 GMT+0800 (CST),,s1w154,focus,
Wed Sep 02 2015 20:53:30 GMT+0800 (CST),,s1w154,label,"^"
Wed Sep 02 2015 20:53:43 GMT+0800 (CST),,s1w172,focus,
Wed Sep 02 2015 20:53:43 GMT+0800 (CST),,s1w172,focus,
Wed Sep 02 2015 20:53:44 GMT+0800 (CST),,s1w172,label,"N"
Wed Sep 02 2015 20:54:02 GMT+0800 (CST),,s3w19,focus,
Wed Sep 02 2015 20:54:02 GMT+0800 (CST),,s3w19,focus,
Wed Sep 02 2015 20:54:03 GMT+0800 (CST),,s3w19,label,"^"
Wed Sep 02 2015 20:54:10 GMT+0800 (CST),,s3w27,focus,
Wed Sep 02 2015 20:54:10 GMT+0800 (CST),,s3w27,focus,
Wed Sep 02 2015 20:54:11 GMT+0800 (CST),,s3w27,label,"^"
Wed Sep 02 2015 20:54:37 GMT+0800 (CST),,s4w26,focus,
Wed Sep 02 2015 20:54:37 GMT+0800 (CST),,s4w26,focus,
Wed Sep 02 2015 20:54:38 GMT+0800 (CST),,s4w26,label,"N"
Wed Sep 02 2015 20:54:41 GMT+0800 (CST),,s4w26,label,"^"
Wed Sep 02 2015 20:54:44 GMT+0800 (CST),,s4w39,focus,
Wed Sep 02 2015 20:54:44 GMT+0800 (CST),,s4w39,focus,
Wed Sep 02 2015 20:54:45 GMT+0800 (CST),,s4w31,focus,
Wed Sep 02 2015 20:54:45 GMT+0800 (CST),,s4w31,focus,
Wed Sep 02 2015 20:54:46 GMT+0800 (CST),,s4w31,label,"^"
Wed Sep 02 2015 20:54:49 GMT+0800 (CST),,s4w33,focus,
Wed Sep 02 2015 20:54:49 GMT+0800 (CST),,s4w33,focus,
Wed Sep 02 2015 20:54:50 GMT+0800 (CST),,s4w33,label,"A"
Wed Sep 02 2015 20:54:51 GMT+0800 (CST),,s4w34,focus,
Wed Sep 02 2015 20:54:51 GMT+0800 (CST),,s4w34,focus,
Wed Sep 02 2015 20:55:12 GMT+0800 (CST),,s5w29,focus,
Wed Sep 02 2015 20:55:12 GMT+0800 (CST),,s5w29,focus,
Wed Sep 02 2015 20:55:14 GMT+0800 (CST),,s5w29,label,"^"
Wed Sep 02 2015 20:55:15 GMT+0800 (CST),,s5w36,focus,
Wed Sep 02 2015 20:55:15 GMT+0800 (CST),,s5w36,focus,
Wed Sep 02 2015 20:55:16 GMT+0800 (CST),,s5w36,label,"A"
Wed Sep 02 2015 20:55:18 GMT+0800 (CST),,,submitPage,
