Wed Sep 02 2015 20:26:55 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:26:55 GMT+0800 (CST),,s0,twitterId,1006674
Wed Sep 02 2015 20:26:55 GMT+0800 (CST),,s1,twitterId,1006674
Wed Sep 02 2015 20:26:55 GMT+0800 (CST),,s2,twitterId,1006674
Wed Sep 02 2015 20:27:01 GMT+0800 (CST),,s0w11,focus,
Wed Sep 02 2015 20:27:01 GMT+0800 (CST),,s0w11,focus,
Wed Sep 02 2015 20:27:02 GMT+0800 (CST),,s0w11,label,"V"
Wed Sep 02 2015 20:27:08 GMT+0800 (CST),,s0w17,focus,
Wed Sep 02 2015 20:27:08 GMT+0800 (CST),,s0w17,focus,
Wed Sep 02 2015 20:27:09 GMT+0800 (CST),,s0w17,label,"^"
Wed Sep 02 2015 20:27:10 GMT+0800 (CST),,s1w3,focus,
Wed Sep 02 2015 20:27:10 GMT+0800 (CST),,s1w3,focus,
Wed Sep 02 2015 20:27:13 GMT+0800 (CST),,s1w3,focus,
Wed Sep 02 2015 20:27:19 GMT+0800 (CST),,s1w3,label,"^"
Wed Sep 02 2015 20:27:28 GMT+0800 (CST),,s1w9,focus,
Wed Sep 02 2015 20:27:28 GMT+0800 (CST),,s1w9,focus,
Wed Sep 02 2015 20:27:30 GMT+0800 (CST),,s1w9,label,"^"
Wed Sep 02 2015 20:27:31 GMT+0800 (CST),,s1w11,focus,
Wed Sep 02 2015 20:27:31 GMT+0800 (CST),,s1w11,focus,
Wed Sep 02 2015 20:27:32 GMT+0800 (CST),,s1w11,label,"^"
Wed Sep 02 2015 20:27:43 GMT+0800 (CST),,s1w26,focus,
Wed Sep 02 2015 20:27:43 GMT+0800 (CST),,s1w26,focus,
Wed Sep 02 2015 20:27:44 GMT+0800 (CST),,s1w26,label,","
Wed Sep 02 2015 20:27:46 GMT+0800 (CST),,s1w29,focus,
Wed Sep 02 2015 20:27:46 GMT+0800 (CST),,s1w29,focus,
Wed Sep 02 2015 20:27:47 GMT+0800 (CST),,s1w29,label,"^"
Wed Sep 02 2015 20:27:48 GMT+0800 (CST),,s1w30,focus,
Wed Sep 02 2015 20:27:48 GMT+0800 (CST),,s1w30,focus,
Wed Sep 02 2015 20:27:49 GMT+0800 (CST),,s1w30,label,","
Wed Sep 02 2015 20:27:53 GMT+0800 (CST),,s1w41,focus,
Wed Sep 02 2015 20:27:53 GMT+0800 (CST),,s1w41,focus,
Wed Sep 02 2015 20:27:55 GMT+0800 (CST),,s1w41,label,","
Wed Sep 02 2015 20:27:55 GMT+0800 (CST),,s1w42,focus,
Wed Sep 02 2015 20:27:55 GMT+0800 (CST),,s1w42,label,","
Wed Sep 02 2015 20:27:55 GMT+0800 (CST),,s1w43,focus,
Wed Sep 02 2015 20:27:55 GMT+0800 (CST),,s1w43,label,","
Wed Sep 02 2015 20:28:11 GMT+0800 (CST),,s2w37,focus,
Wed Sep 02 2015 20:28:11 GMT+0800 (CST),,s2w37,focus,
Wed Sep 02 2015 20:28:13 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 20:28:13 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 20:28:16 GMT+0800 (CST),,s2w25,label,"^"
Wed Sep 02 2015 20:28:20 GMT+0800 (CST),,s2w30,focus,
Wed Sep 02 2015 20:28:20 GMT+0800 (CST),,s2w30,focus,
Wed Sep 02 2015 20:28:21 GMT+0800 (CST),,s2w30,label,"^"
Wed Sep 02 2015 20:28:45 GMT+0800 (CST),,,submitPage,
