Wed Sep 02 2015 19:39:54 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 19:39:54 GMT+0800 (CST),,s0,twitterId,988644
Wed Sep 02 2015 19:39:54 GMT+0800 (CST),,s1,twitterId,988644
Wed Sep 02 2015 19:39:54 GMT+0800 (CST),,s2,twitterId,988644
Wed Sep 02 2015 19:40:00 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:40:00 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:40:05 GMT+0800 (CST),,s0w1,label,"N"
Wed Sep 02 2015 19:40:06 GMT+0800 (CST),,s0w1,label,"^"
Wed Sep 02 2015 19:40:08 GMT+0800 (CST),,s0w2,focus,
Wed Sep 02 2015 19:40:08 GMT+0800 (CST),,s0w2,focus,
Wed Sep 02 2015 19:40:09 GMT+0800 (CST),,s0w2,label,"^"
Wed Sep 02 2015 19:40:10 GMT+0800 (CST),,s0w4,focus,
Wed Sep 02 2015 19:40:10 GMT+0800 (CST),,s0w4,focus,
Wed Sep 02 2015 19:40:11 GMT+0800 (CST),,s0w4,label,"^"
Wed Sep 02 2015 19:40:17 GMT+0800 (CST),,s1w10,focus,
Wed Sep 02 2015 19:40:17 GMT+0800 (CST),,s1w10,focus,
Wed Sep 02 2015 19:40:19 GMT+0800 (CST),,s1w6,focus,
Wed Sep 02 2015 19:40:19 GMT+0800 (CST),,s1w6,focus,
Wed Sep 02 2015 19:40:21 GMT+0800 (CST),,s1w6,label,"^"
Wed Sep 02 2015 19:40:23 GMT+0800 (CST),,s1w11,focus,
Wed Sep 02 2015 19:40:23 GMT+0800 (CST),,s1w11,focus,
Wed Sep 02 2015 19:40:24 GMT+0800 (CST),,s1w11,label,","
Wed Sep 02 2015 19:40:25 GMT+0800 (CST),,s1w10,focus,
Wed Sep 02 2015 19:40:25 GMT+0800 (CST),,s1w10,focus,
Wed Sep 02 2015 19:40:25 GMT+0800 (CST),,s1w10,label,","
Wed Sep 02 2015 19:40:26 GMT+0800 (CST),,s1w7,focus,
Wed Sep 02 2015 19:40:26 GMT+0800 (CST),,s1w7,focus,
Wed Sep 02 2015 19:40:37 GMT+0800 (CST),,s1w36,focus,
Wed Sep 02 2015 19:40:37 GMT+0800 (CST),,s1w36,focus,
Wed Sep 02 2015 19:40:38 GMT+0800 (CST),,s1w20,focus,
Wed Sep 02 2015 19:40:38 GMT+0800 (CST),,s1w20,focus,
Wed Sep 02 2015 19:41:09 GMT+0800 (CST),,s1w62,focus,
Wed Sep 02 2015 19:41:09 GMT+0800 (CST),,s1w62,focus,
Wed Sep 02 2015 19:41:10 GMT+0800 (CST),,s1w62,label,","
Wed Sep 02 2015 19:41:11 GMT+0800 (CST),,s1w63,focus,
Wed Sep 02 2015 19:41:11 GMT+0800 (CST),,s1w63,focus,
Wed Sep 02 2015 19:41:14 GMT+0800 (CST),,s1w63,label,"N"
Wed Sep 02 2015 19:41:33 GMT+0800 (CST),,s1w111,focus,
Wed Sep 02 2015 19:41:33 GMT+0800 (CST),,s1w111,focus,
Wed Sep 02 2015 19:41:56 GMT+0800 (CST),,s1w165,focus,
Wed Sep 02 2015 19:41:56 GMT+0800 (CST),,s1w165,focus,
Wed Sep 02 2015 19:41:57 GMT+0800 (CST),,s1w165,label,"N"
Wed Sep 02 2015 19:42:09 GMT+0800 (CST),,s2w4,focus,
Wed Sep 02 2015 19:42:11 GMT+0800 (CST),,s1w180,focus,
Wed Sep 02 2015 19:42:11 GMT+0800 (CST),,s1w180,focus,
Wed Sep 02 2015 19:43:08 GMT+0800 (CST),,,submitPage,
