Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s0,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s1,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s2,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s3,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s4,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s5,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s6,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s7,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s8,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s9,twitterId,964032
Wed Sep 02 2015 19:02:39 GMT+0800 (CST),,s10,twitterId,964032
Wed Sep 02 2015 19:02:41 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:02:41 GMT+0800 (CST),,s0w1,focus,
Wed Sep 02 2015 19:02:41 GMT+0800 (CST),,s0w2,focus,
Wed Sep 02 2015 19:02:42 GMT+0800 (CST),,s0w3,focus,
Wed Sep 02 2015 19:02:43 GMT+0800 (CST),,s0w4,focus,
Wed Sep 02 2015 19:02:44 GMT+0800 (CST),,s0w5,focus,
Wed Sep 02 2015 19:02:46 GMT+0800 (CST),,s0w6,focus,
Wed Sep 02 2015 19:02:46 GMT+0800 (CST),,s0w7,focus,
Wed Sep 02 2015 19:02:47 GMT+0800 (CST),,s0w8,focus,
Wed Sep 02 2015 19:02:47 GMT+0800 (CST),,s0w9,focus,
Wed Sep 02 2015 19:02:48 GMT+0800 (CST),,s0w10,focus,
Wed Sep 02 2015 19:02:49 GMT+0800 (CST),,s0w11,focus,
Wed Sep 02 2015 19:02:50 GMT+0800 (CST),,s0w12,focus,
Wed Sep 02 2015 19:02:50 GMT+0800 (CST),,s0w13,focus,
Wed Sep 02 2015 19:02:51 GMT+0800 (CST),,s0w14,focus,
Wed Sep 02 2015 19:02:52 GMT+0800 (CST),,s0w15,focus,
Wed Sep 02 2015 19:02:52 GMT+0800 (CST),,s0w16,focus,
Wed Sep 02 2015 19:02:54 GMT+0800 (CST),,s0w16,label,"^"
Wed Sep 02 2015 19:02:55 GMT+0800 (CST),,s0w17,focus,
Wed Sep 02 2015 19:02:56 GMT+0800 (CST),,s1w1,focus,
Wed Sep 02 2015 19:02:57 GMT+0800 (CST),,s1w2,focus,
Wed Sep 02 2015 19:02:58 GMT+0800 (CST),,s1w3,focus,
Wed Sep 02 2015 19:02:58 GMT+0800 (CST),,s1w4,focus,
Wed Sep 02 2015 19:02:59 GMT+0800 (CST),,s1w5,focus,
Wed Sep 02 2015 19:03:00 GMT+0800 (CST),,s1w6,focus,
Wed Sep 02 2015 19:03:02 GMT+0800 (CST),,s1w4,focus,
Wed Sep 02 2015 19:03:02 GMT+0800 (CST),,s1w4,focus,
Wed Sep 02 2015 19:03:03 GMT+0800 (CST),,s1w5,focus,
Wed Sep 02 2015 19:03:04 GMT+0800 (CST),,s1w6,focus,
Wed Sep 02 2015 19:03:05 GMT+0800 (CST),,s1w7,focus,
Wed Sep 02 2015 19:03:07 GMT+0800 (CST),,s1w8,focus,
Wed Sep 02 2015 19:03:08 GMT+0800 (CST),,s1w9,focus,
Wed Sep 02 2015 19:03:08 GMT+0800 (CST),,s1w10,focus,
Wed Sep 02 2015 19:03:18 GMT+0800 (CST),,s1w10,label,"D"
Wed Sep 02 2015 19:03:19 GMT+0800 (CST),,s1w11,focus,
Wed Sep 02 2015 19:03:20 GMT+0800 (CST),,s1w12,focus,
Wed Sep 02 2015 19:03:21 GMT+0800 (CST),,s1w13,focus,
Wed Sep 02 2015 19:03:28 GMT+0800 (CST),,s1w14,focus,
Wed Sep 02 2015 19:03:29 GMT+0800 (CST),,s1w15,focus,
Wed Sep 02 2015 19:03:30 GMT+0800 (CST),,s1w16,focus,
Wed Sep 02 2015 19:03:31 GMT+0800 (CST),,s1w17,focus,
Wed Sep 02 2015 19:03:36 GMT+0800 (CST),,s1w16,focus,
Wed Sep 02 2015 19:03:36 GMT+0800 (CST),,s1w16,focus,
Wed Sep 02 2015 19:03:37 GMT+0800 (CST),,s1w16,label,"N"
Wed Sep 02 2015 19:03:38 GMT+0800 (CST),,s1w17,focus,
Wed Sep 02 2015 19:03:38 GMT+0800 (CST),,s1w18,focus,
Wed Sep 02 2015 19:03:40 GMT+0800 (CST),,s1w19,focus,
Wed Sep 02 2015 19:03:42 GMT+0800 (CST),,s1w20,focus,
Wed Sep 02 2015 19:03:43 GMT+0800 (CST),,s1w21,focus,
Wed Sep 02 2015 19:03:44 GMT+0800 (CST),,s1w22,focus,
Wed Sep 02 2015 19:03:47 GMT+0800 (CST),,s1w23,focus,
Wed Sep 02 2015 19:03:50 GMT+0800 (CST),,s1w23,label,"^"
Wed Sep 02 2015 19:03:50 GMT+0800 (CST),,s1w24,focus,
Wed Sep 02 2015 19:03:51 GMT+0800 (CST),,s1w25,focus,
Wed Sep 02 2015 19:03:52 GMT+0800 (CST),,s1w26,focus,
Wed Sep 02 2015 19:04:01 GMT+0800 (CST),,s1w27,focus,
Wed Sep 02 2015 19:04:02 GMT+0800 (CST),,s1w28,focus,
Wed Sep 02 2015 19:04:04 GMT+0800 (CST),,s1w29,focus,
Wed Sep 02 2015 19:04:04 GMT+0800 (CST),,s2w1,focus,
Wed Sep 02 2015 19:04:08 GMT+0800 (CST),,s2w2,focus,
Wed Sep 02 2015 19:04:10 GMT+0800 (CST),,s2w3,focus,
Wed Sep 02 2015 19:04:10 GMT+0800 (CST),,s2w4,focus,
Wed Sep 02 2015 19:04:11 GMT+0800 (CST),,s2w5,focus,
Wed Sep 02 2015 19:04:12 GMT+0800 (CST),,s2w6,focus,
Wed Sep 02 2015 19:04:13 GMT+0800 (CST),,s2w7,focus,
Wed Sep 02 2015 19:04:14 GMT+0800 (CST),,s2w8,focus,
Wed Sep 02 2015 19:04:15 GMT+0800 (CST),,s2w9,focus,
Wed Sep 02 2015 19:04:16 GMT+0800 (CST),,s2w10,focus,
Wed Sep 02 2015 19:04:20 GMT+0800 (CST),,s2w11,focus,
Wed Sep 02 2015 19:04:42 GMT+0800 (CST),,s2w12,focus,
Wed Sep 02 2015 19:04:43 GMT+0800 (CST),,s2w13,focus,
Wed Sep 02 2015 19:04:44 GMT+0800 (CST),,s2w14,focus,
Wed Sep 02 2015 19:04:44 GMT+0800 (CST),,s2w15,focus,
Wed Sep 02 2015 19:04:45 GMT+0800 (CST),,s2w16,focus,
Wed Sep 02 2015 19:04:46 GMT+0800 (CST),,s2w17,focus,
Wed Sep 02 2015 19:04:47 GMT+0800 (CST),,s2w18,focus,
Wed Sep 02 2015 19:04:47 GMT+0800 (CST),,s2w19,focus,
Wed Sep 02 2015 19:04:51 GMT+0800 (CST),,s2w18,focus,
Wed Sep 02 2015 19:04:51 GMT+0800 (CST),,s2w18,focus,
Wed Sep 02 2015 19:04:54 GMT+0800 (CST),,s2w18,label,","
Wed Sep 02 2015 19:04:54 GMT+0800 (CST),,s2w19,focus,
Wed Sep 02 2015 19:04:54 GMT+0800 (CST),,s2w19,label,","
Wed Sep 02 2015 19:04:55 GMT+0800 (CST),,s2w20,focus,
Wed Sep 02 2015 19:04:55 GMT+0800 (CST),,s2w20,label,","
Wed Sep 02 2015 19:04:56 GMT+0800 (CST),,s2w21,focus,
Wed Sep 02 2015 19:04:56 GMT+0800 (CST),,s2w21,label,","
Wed Sep 02 2015 19:04:57 GMT+0800 (CST),,s2w21,label,","
Wed Sep 02 2015 19:04:57 GMT+0800 (CST),,s2w22,focus,
Wed Sep 02 2015 19:04:59 GMT+0800 (CST),,s2w23,focus,
Wed Sep 02 2015 19:04:59 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 19:05:01 GMT+0800 (CST),,s2w25,focus,
Wed Sep 02 2015 19:05:01 GMT+0800 (CST),,s2w25,label,","
Wed Sep 02 2015 19:05:01 GMT+0800 (CST),,s2w26,focus,
Wed Sep 02 2015 19:05:02 GMT+0800 (CST),,s2w27,focus,
Wed Sep 02 2015 19:05:02 GMT+0800 (CST),,s3w1,focus,
Wed Sep 02 2015 19:05:29 GMT+0800 (CST),,s3w2,focus,
Wed Sep 02 2015 19:05:30 GMT+0800 (CST),,s3w3,focus,
Wed Sep 02 2015 19:05:32 GMT+0800 (CST),,s3w4,focus,
Wed Sep 02 2015 19:05:33 GMT+0800 (CST),,s3w5,focus,
Wed Sep 02 2015 19:05:36 GMT+0800 (CST),,s3w5,label,","
Wed Sep 02 2015 19:05:37 GMT+0800 (CST),,s3w6,focus,
Wed Sep 02 2015 19:05:38 GMT+0800 (CST),,s3w7,focus,
Wed Sep 02 2015 19:05:40 GMT+0800 (CST),,s3w8,focus,
Wed Sep 02 2015 19:05:47 GMT+0800 (CST),,s3w8,label,"N"
Wed Sep 02 2015 19:05:49 GMT+0800 (CST),,s3w9,focus,
Wed Sep 02 2015 19:05:52 GMT+0800 (CST),,s3w9,label,","
Wed Sep 02 2015 19:05:52 GMT+0800 (CST),,s3w10,focus,
Wed Sep 02 2015 19:05:53 GMT+0800 (CST),,s3w11,focus,
Wed Sep 02 2015 19:05:56 GMT+0800 (CST),,s3w12,focus,
Wed Sep 02 2015 19:05:58 GMT+0800 (CST),,s3w13,focus,
Wed Sep 02 2015 19:06:05 GMT+0800 (CST),,s3w13,label,"D"
Wed Sep 02 2015 19:06:06 GMT+0800 (CST),,s3w14,focus,
Wed Sep 02 2015 19:06:06 GMT+0800 (CST),,s3w15,focus,
Wed Sep 02 2015 19:06:08 GMT+0800 (CST),,s3w16,focus,
Wed Sep 02 2015 19:06:09 GMT+0800 (CST),,s3w17,focus,
Wed Sep 02 2015 19:06:10 GMT+0800 (CST),,s3w18,focus,
Wed Sep 02 2015 19:06:11 GMT+0800 (CST),,s3w19,focus,
Wed Sep 02 2015 19:06:12 GMT+0800 (CST),,s3w20,focus,
Wed Sep 02 2015 19:06:13 GMT+0800 (CST),,s3w21,focus,
Wed Sep 02 2015 19:06:14 GMT+0800 (CST),,s3w22,focus,
Wed Sep 02 2015 19:06:14 GMT+0800 (CST),,s3w23,focus,
