Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,,pageReady,0:100:100
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s0,twitterId,1016644
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s1,twitterId,1016644
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s2,twitterId,1016644
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s3,twitterId,1016644
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s4,twitterId,1016644
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s5,twitterId,1016644
Wed Sep 02 2015 20:38:14 GMT+0800 (CST),,s6,twitterId,1016644
Wed Sep 02 2015 20:38:38 GMT+0800 (CST),,s1w31,focus,
Wed Sep 02 2015 20:38:38 GMT+0800 (CST),,s1w31,focus,
Wed Sep 02 2015 20:38:39 GMT+0800 (CST),,s1w31,label,"^"
Wed Sep 02 2015 20:38:42 GMT+0800 (CST),,s1w32,focus,
Wed Sep 02 2015 20:38:42 GMT+0800 (CST),,s1w32,focus,
Wed Sep 02 2015 20:38:44 GMT+0800 (CST),,s1w32,label,"^"
Wed Sep 02 2015 20:38:47 GMT+0800 (CST),,s1w28,focus,
Wed Sep 02 2015 20:38:47 GMT+0800 (CST),,s1w28,focus,
Wed Sep 02 2015 20:38:48 GMT+0800 (CST),,s1w28,label,"^"
Wed Sep 02 2015 20:38:53 GMT+0800 (CST),,s1w55,focus,
Wed Sep 02 2015 20:38:53 GMT+0800 (CST),,s1w55,focus,
Wed Sep 02 2015 20:38:55 GMT+0800 (CST),,s1w42,focus,
Wed Sep 02 2015 20:38:55 GMT+0800 (CST),,s1w42,focus,
Wed Sep 02 2015 20:38:55 GMT+0800 (CST),,s1w42,label,"^"
Wed Sep 02 2015 20:39:31 GMT+0800 (CST),,s1w109,focus,
Wed Sep 02 2015 20:39:31 GMT+0800 (CST),,s1w109,focus,
Wed Sep 02 2015 20:39:32 GMT+0800 (CST),,s1w109,label,"^"
Wed Sep 02 2015 20:39:36 GMT+0800 (CST),,s1w109,label,"N"
Wed Sep 02 2015 20:39:50 GMT+0800 (CST),,s1w129,focus,
Wed Sep 02 2015 20:39:50 GMT+0800 (CST),,s1w129,focus,
Wed Sep 02 2015 20:40:00 GMT+0800 (CST),,s2w6,focus,
Wed Sep 02 2015 20:40:00 GMT+0800 (CST),,s2w6,focus,
Wed Sep 02 2015 20:40:01 GMT+0800 (CST),,s2w6,label,"^"
Wed Sep 02 2015 20:40:03 GMT+0800 (CST),,s2w7,focus,
Wed Sep 02 2015 20:40:03 GMT+0800 (CST),,s2w7,focus,
Wed Sep 02 2015 20:40:03 GMT+0800 (CST),,s2w7,label,"^"
Wed Sep 02 2015 20:40:05 GMT+0800 (CST),,s2w8,focus,
Wed Sep 02 2015 20:40:05 GMT+0800 (CST),,s2w8,focus,
Wed Sep 02 2015 20:40:11 GMT+0800 (CST),,s2w8,label,"G"
Wed Sep 02 2015 20:40:23 GMT+0800 (CST),,s2w23,focus,
Wed Sep 02 2015 20:40:23 GMT+0800 (CST),,s2w23,focus,
Wed Sep 02 2015 20:40:24 GMT+0800 (CST),,s2w23,label,"^"
Wed Sep 02 2015 20:40:26 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 20:40:26 GMT+0800 (CST),,s2w24,focus,
Wed Sep 02 2015 20:40:31 GMT+0800 (CST),,s2w27,focus,
Wed Sep 02 2015 20:40:31 GMT+0800 (CST),,s2w27,focus,
Wed Sep 02 2015 20:40:37 GMT+0800 (CST),,s2w27,label,"!"
Wed Sep 02 2015 20:40:49 GMT+0800 (CST),,s3w31,focus,
Wed Sep 02 2015 20:40:49 GMT+0800 (CST),,s3w31,focus,
Wed Sep 02 2015 20:40:50 GMT+0800 (CST),,s3w31,label,"^"
Wed Sep 02 2015 20:40:53 GMT+0800 (CST),,s3w37,focus,
Wed Sep 02 2015 20:40:53 GMT+0800 (CST),,s3w37,focus,
Wed Sep 02 2015 20:40:54 GMT+0800 (CST),,s3w37,label,"^"
Wed Sep 02 2015 20:40:55 GMT+0800 (CST),,s3w38,focus,
Wed Sep 02 2015 20:40:55 GMT+0800 (CST),,s3w38,focus,
Wed Sep 02 2015 20:40:55 GMT+0800 (CST),,s3w38,label,"^"
Wed Sep 02 2015 20:40:57 GMT+0800 (CST),,s3w39,focus,
