Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,891597
Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,891597
Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,891597
Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,891597
Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,891597
Tue Aug 25 2015 10:38:24 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,891597
Tue Aug 25 2015 10:38:27 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Tue Aug 25 2015 10:38:27 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Tue Aug 25 2015 10:38:29 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"N"
Tue Aug 25 2015 10:38:39 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Tue Aug 25 2015 10:38:40 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"^"
Tue Aug 25 2015 10:38:52 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Tue Aug 25 2015 10:38:52 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Tue Aug 25 2015 10:38:52 GMT+0800 (Malay Peninsula Standard Time),,s1w31,label,"^"
Tue Aug 25 2015 10:39:05 GMT+0800 (Malay Peninsula Standard Time),,s1w58,focus,
Tue Aug 25 2015 10:39:05 GMT+0800 (Malay Peninsula Standard Time),,s1w58,focus,
Tue Aug 25 2015 10:39:05 GMT+0800 (Malay Peninsula Standard Time),,s1w58,label,"^"
Tue Aug 25 2015 10:39:13 GMT+0800 (Malay Peninsula Standard Time),,s1w79,focus,
Tue Aug 25 2015 10:39:13 GMT+0800 (Malay Peninsula Standard Time),,s1w79,focus,
Tue Aug 25 2015 10:39:24 GMT+0800 (Malay Peninsula Standard Time),,s1w92,focus,
Tue Aug 25 2015 10:39:24 GMT+0800 (Malay Peninsula Standard Time),,s1w92,focus,
Tue Aug 25 2015 10:39:25 GMT+0800 (Malay Peninsula Standard Time),,s1w92,label,"^"
Tue Aug 25 2015 10:39:35 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Tue Aug 25 2015 10:39:35 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Tue Aug 25 2015 10:39:35 GMT+0800 (Malay Peninsula Standard Time),,s2w11,label,"^"
Tue Aug 25 2015 10:39:36 GMT+0800 (Malay Peninsula Standard Time),,s2w13,focus,
Tue Aug 25 2015 10:39:36 GMT+0800 (Malay Peninsula Standard Time),,s2w13,focus,
Tue Aug 25 2015 10:39:37 GMT+0800 (Malay Peninsula Standard Time),,s2w13,label,"^"
Tue Aug 25 2015 10:39:42 GMT+0800 (Malay Peninsula Standard Time),,s2w27,focus,
Tue Aug 25 2015 10:39:42 GMT+0800 (Malay Peninsula Standard Time),,s2w27,focus,
Tue Aug 25 2015 10:39:43 GMT+0800 (Malay Peninsula Standard Time),,s2w27,label,"^"
Tue Aug 25 2015 10:39:46 GMT+0800 (Malay Peninsula Standard Time),,s2w33,focus,
Tue Aug 25 2015 10:39:47 GMT+0800 (Malay Peninsula Standard Time),,s2w33,focus,
Tue Aug 25 2015 10:39:47 GMT+0800 (Malay Peninsula Standard Time),,s2w33,label,"^"
Tue Aug 25 2015 10:39:50 GMT+0800 (Malay Peninsula Standard Time),,s2w37,focus,
Tue Aug 25 2015 10:39:50 GMT+0800 (Malay Peninsula Standard Time),,s2w37,focus,
Tue Aug 25 2015 10:39:51 GMT+0800 (Malay Peninsula Standard Time),,s2w37,label,"V"
Tue Aug 25 2015 10:40:00 GMT+0800 (Malay Peninsula Standard Time),,s2w65,focus,
Tue Aug 25 2015 10:40:00 GMT+0800 (Malay Peninsula Standard Time),,s2w65,focus,
Tue Aug 25 2015 10:40:00 GMT+0800 (Malay Peninsula Standard Time),,s2w65,label,"V"
Tue Aug 25 2015 10:40:29 GMT+0800 (Malay Peninsula Standard Time),,s2w112,focus,
Tue Aug 25 2015 10:40:29 GMT+0800 (Malay Peninsula Standard Time),,s2w112,focus,
Tue Aug 25 2015 10:40:30 GMT+0800 (Malay Peninsula Standard Time),,s2w112,label,"G"
Tue Aug 25 2015 10:40:41 GMT+0800 (Malay Peninsula Standard Time),,s2w141,focus,
Tue Aug 25 2015 10:40:41 GMT+0800 (Malay Peninsula Standard Time),,s2w141,focus,
Tue Aug 25 2015 10:40:41 GMT+0800 (Malay Peninsula Standard Time),,s2w141,label,"G"
Tue Aug 25 2015 10:40:46 GMT+0800 (Malay Peninsula Standard Time),,s2w134,focus,
Tue Aug 25 2015 10:40:46 GMT+0800 (Malay Peninsula Standard Time),,s2w134,focus,
Tue Aug 25 2015 10:40:46 GMT+0800 (Malay Peninsula Standard Time),,s2w134,label,"N"
Tue Aug 25 2015 10:40:58 GMT+0800 (Malay Peninsula Standard Time),,s2w134,focus,
Tue Aug 25 2015 10:40:59 GMT+0800 (Malay Peninsula Standard Time),,s2w134,label,"V"
Tue Aug 25 2015 10:41:09 GMT+0800 (Malay Peninsula Standard Time),,s2w177,focus,
