Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,826669
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,826669
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,826669
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,826669
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,826669
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,826669
Mon Aug 24 2015 17:17:45 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,826669
Mon Aug 24 2015 17:18:30 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Mon Aug 24 2015 17:18:30 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Mon Aug 24 2015 17:18:31 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"^"
Mon Aug 24 2015 17:18:38 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Mon Aug 24 2015 17:18:38 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Mon Aug 24 2015 17:18:39 GMT+0800 (Malay Peninsula Standard Time),,s1w21,label,"^"
Mon Aug 24 2015 17:18:52 GMT+0800 (Malay Peninsula Standard Time),,s1w54,focus,
Mon Aug 24 2015 17:18:52 GMT+0800 (Malay Peninsula Standard Time),,s1w54,focus,
Mon Aug 24 2015 17:18:53 GMT+0800 (Malay Peninsula Standard Time),,s1w54,label,"^"
Mon Aug 24 2015 17:19:01 GMT+0800 (Malay Peninsula Standard Time),,s1w86,focus,
Mon Aug 24 2015 17:19:01 GMT+0800 (Malay Peninsula Standard Time),,s1w86,focus,
Mon Aug 24 2015 17:19:02 GMT+0800 (Malay Peninsula Standard Time),,s1w86,label,"^"
Mon Aug 24 2015 17:19:07 GMT+0800 (Malay Peninsula Standard Time),,s1w95,focus,
Mon Aug 24 2015 17:19:08 GMT+0800 (Malay Peninsula Standard Time),,s1w95,focus,
Mon Aug 24 2015 17:19:16 GMT+0800 (Malay Peninsula Standard Time),,s1w95,label,"N"
Mon Aug 24 2015 17:19:23 GMT+0800 (Malay Peninsula Standard Time),,s1w95,label,"^"
Mon Aug 24 2015 17:19:36 GMT+0800 (Malay Peninsula Standard Time),,s1w108,focus,
Mon Aug 24 2015 17:19:36 GMT+0800 (Malay Peninsula Standard Time),,s1w108,focus,
Mon Aug 24 2015 17:19:37 GMT+0800 (Malay Peninsula Standard Time),,s1w108,label,"^"
Mon Aug 24 2015 17:19:44 GMT+0800 (Malay Peninsula Standard Time),,s1w142,focus,
Mon Aug 24 2015 17:19:44 GMT+0800 (Malay Peninsula Standard Time),,s1w142,focus,
Mon Aug 24 2015 17:19:44 GMT+0800 (Malay Peninsula Standard Time),,s1w142,label,"^"
Mon Aug 24 2015 17:19:50 GMT+0800 (Malay Peninsula Standard Time),,s1w171,focus,
Mon Aug 24 2015 17:19:50 GMT+0800 (Malay Peninsula Standard Time),,s1w171,focus,
Mon Aug 24 2015 17:19:51 GMT+0800 (Malay Peninsula Standard Time),,s1w171,label,"^"
Mon Aug 24 2015 17:19:52 GMT+0800 (Malay Peninsula Standard Time),,s2w6,focus,
Mon Aug 24 2015 17:19:52 GMT+0800 (Malay Peninsula Standard Time),,s2w6,focus,
Mon Aug 24 2015 17:19:53 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Mon Aug 24 2015 17:19:53 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Mon Aug 24 2015 17:19:54 GMT+0800 (Malay Peninsula Standard Time),,s2w1,label,"^"
Mon Aug 24 2015 17:19:57 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Mon Aug 24 2015 17:19:58 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Mon Aug 24 2015 17:19:58 GMT+0800 (Malay Peninsula Standard Time),,s2w9,label,"^"
Mon Aug 24 2015 17:20:00 GMT+0800 (Malay Peninsula Standard Time),,s2w14,focus,
Mon Aug 24 2015 17:20:00 GMT+0800 (Malay Peninsula Standard Time),,s2w14,focus,
Mon Aug 24 2015 17:20:02 GMT+0800 (Malay Peninsula Standard Time),,s2w14,label,"D"
Mon Aug 24 2015 17:20:21 GMT+0800 (Malay Peninsula Standard Time),,s2w77,focus,
Mon Aug 24 2015 17:20:21 GMT+0800 (Malay Peninsula Standard Time),,s2w77,focus,
Mon Aug 24 2015 17:20:22 GMT+0800 (Malay Peninsula Standard Time),,s2w77,label,"^"
Mon Aug 24 2015 17:20:24 GMT+0800 (Malay Peninsula Standard Time),,s2w87,focus,
Mon Aug 24 2015 17:20:24 GMT+0800 (Malay Peninsula Standard Time),,s2w87,focus,
Mon Aug 24 2015 17:20:26 GMT+0800 (Malay Peninsula Standard Time),,s2w87,focus,
Mon Aug 24 2015 17:20:29 GMT+0800 (Malay Peninsula Standard Time),,s2w82,focus,
Mon Aug 24 2015 17:20:29 GMT+0800 (Malay Peninsula Standard Time),,s2w82,focus,
Mon Aug 24 2015 17:20:30 GMT+0800 (Malay Peninsula Standard Time),,s2w82,label,"^"
Mon Aug 24 2015 17:20:31 GMT+0800 (Malay Peninsula Standard Time),,s2w84,focus,
Mon Aug 24 2015 17:20:31 GMT+0800 (Malay Peninsula Standard Time),,s2w84,focus,
Mon Aug 24 2015 17:20:32 GMT+0800 (Malay Peninsula Standard Time),,s2w84,label,"^"
Mon Aug 24 2015 17:20:48 GMT+0800 (Malay Peninsula Standard Time),,s4w7,focus,
Mon Aug 24 2015 17:20:48 GMT+0800 (Malay Peninsula Standard Time),,s4w7,focus,
Mon Aug 24 2015 17:20:49 GMT+0800 (Malay Peninsula Standard Time),,s4w7,label,"G"
Mon Aug 24 2015 17:20:49 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Mon Aug 24 2015 17:20:49 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Mon Aug 24 2015 17:20:50 GMT+0800 (Malay Peninsula Standard Time),,s4w11,label,"G"
Mon Aug 24 2015 17:20:56 GMT+0800 (Malay Peninsula Standard Time),,s4w31,focus,
Mon Aug 24 2015 17:20:56 GMT+0800 (Malay Peninsula Standard Time),,s4w31,focus,
Mon Aug 24 2015 17:20:57 GMT+0800 (Malay Peninsula Standard Time),,s4w31,label,"^"
Mon Aug 24 2015 17:21:02 GMT+0800 (Malay Peninsula Standard Time),,s4w43,focus,
Mon Aug 24 2015 17:21:02 GMT+0800 (Malay Peninsula Standard Time),,s4w43,focus,
Mon Aug 24 2015 17:21:03 GMT+0800 (Malay Peninsula Standard Time),,s4w43,label,"N"
Mon Aug 24 2015 17:21:07 GMT+0800 (Malay Peninsula Standard Time),,s5w15,focus,
Mon Aug 24 2015 17:21:07 GMT+0800 (Malay Peninsula Standard Time),,s5w15,focus,
Mon Aug 24 2015 17:21:08 GMT+0800 (Malay Peninsula Standard Time),,s5w15,label,"^"
Mon Aug 24 2015 17:21:12 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
