Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,768262
Mon Aug 24 2015 16:59:35 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,768262
Mon Aug 24 2015 17:00:13 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Mon Aug 24 2015 17:00:13 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Mon Aug 24 2015 17:00:14 GMT+0800 (Malay Peninsula Standard Time),,s3w14,label,"^"
Mon Aug 24 2015 17:00:19 GMT+0800 (Malay Peninsula Standard Time),,s3w14,focus,
Mon Aug 24 2015 17:00:24 GMT+0800 (Malay Peninsula Standard Time),,s3w22,focus,
Mon Aug 24 2015 17:00:24 GMT+0800 (Malay Peninsula Standard Time),,s3w22,focus,
Mon Aug 24 2015 17:00:25 GMT+0800 (Malay Peninsula Standard Time),,s3w22,label,"^"
Mon Aug 24 2015 17:00:41 GMT+0800 (Malay Peninsula Standard Time),,s3w22,focus,
Mon Aug 24 2015 17:01:02 GMT+0800 (Malay Peninsula Standard Time),,s4w26,focus,
Mon Aug 24 2015 17:01:02 GMT+0800 (Malay Peninsula Standard Time),,s4w26,focus,
Mon Aug 24 2015 17:01:03 GMT+0800 (Malay Peninsula Standard Time),,s4w26,label,"G"
Mon Aug 24 2015 17:01:35 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Mon Aug 24 2015 17:01:35 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Mon Aug 24 2015 17:01:35 GMT+0800 (Malay Peninsula Standard Time),,s5w34,label,"V"
Mon Aug 24 2015 17:01:49 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Mon Aug 24 2015 17:01:51 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Mon Aug 24 2015 17:01:52 GMT+0800 (Malay Peninsula Standard Time),,s5w34,focus,
Mon Aug 24 2015 17:02:05 GMT+0800 (Malay Peninsula Standard Time),,s6w2,focus,
Mon Aug 24 2015 17:02:05 GMT+0800 (Malay Peninsula Standard Time),,s6w2,focus,
Mon Aug 24 2015 17:02:06 GMT+0800 (Malay Peninsula Standard Time),,s6w2,label,"N"
Mon Aug 24 2015 17:02:09 GMT+0800 (Malay Peninsula Standard Time),,s6w2,focus,
Mon Aug 24 2015 17:02:10 GMT+0800 (Malay Peninsula Standard Time),,s6w2,label,"G"
Mon Aug 24 2015 17:02:45 GMT+0800 (Malay Peninsula Standard Time),,s6w2,focus,
Mon Aug 24 2015 17:03:17 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
