Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s14,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s15,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s16,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s17,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s18,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s19,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s20,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s21,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s22,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s23,twitterId,929999
Tue Aug 25 2015 10:44:40 GMT+0800 (Malay Peninsula Standard Time),,s24,twitterId,929999
Tue Aug 25 2015 10:44:42 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Tue Aug 25 2015 10:44:42 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Tue Aug 25 2015 10:44:43 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"^"
Tue Aug 25 2015 10:45:00 GMT+0800 (Malay Peninsula Standard Time),,s3w3,focus,
Tue Aug 25 2015 10:45:00 GMT+0800 (Malay Peninsula Standard Time),,s3w3,focus,
Tue Aug 25 2015 10:45:02 GMT+0800 (Malay Peninsula Standard Time),,s3w3,label,"^"
Tue Aug 25 2015 10:45:13 GMT+0800 (Malay Peninsula Standard Time),,s4w21,focus,
Tue Aug 25 2015 10:45:13 GMT+0800 (Malay Peninsula Standard Time),,s4w21,focus,
Tue Aug 25 2015 10:45:16 GMT+0800 (Malay Peninsula Standard Time),,s4w21,focus,
Tue Aug 25 2015 10:45:26 GMT+0800 (Malay Peninsula Standard Time),,s4w21,label,"G"
Tue Aug 25 2015 10:45:39 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Tue Aug 25 2015 10:45:39 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Tue Aug 25 2015 10:45:40 GMT+0800 (Malay Peninsula Standard Time),,s5w5,label,"^"
Tue Aug 25 2015 10:45:43 GMT+0800 (Malay Peninsula Standard Time),,s6w6,focus,
Tue Aug 25 2015 10:45:43 GMT+0800 (Malay Peninsula Standard Time),,s6w6,focus,
Tue Aug 25 2015 10:45:44 GMT+0800 (Malay Peninsula Standard Time),,s6w6,label,"^"
Tue Aug 25 2015 10:45:44 GMT+0800 (Malay Peninsula Standard Time),,s6w8,focus,
Tue Aug 25 2015 10:45:44 GMT+0800 (Malay Peninsula Standard Time),,s6w8,focus,
Tue Aug 25 2015 10:45:44 GMT+0800 (Malay Peninsula Standard Time),,s6w8,label,"^"
Tue Aug 25 2015 10:46:01 GMT+0800 (Malay Peninsula Standard Time),,s8w24,focus,
Tue Aug 25 2015 10:46:01 GMT+0800 (Malay Peninsula Standard Time),,s8w24,focus,
Tue Aug 25 2015 10:46:02 GMT+0800 (Malay Peninsula Standard Time),,s8w24,label,"N"
Tue Aug 25 2015 10:46:05 GMT+0800 (Malay Peninsula Standard Time),,s8w34,focus,
Tue Aug 25 2015 10:46:05 GMT+0800 (Malay Peninsula Standard Time),,s8w34,focus,
Tue Aug 25 2015 10:46:06 GMT+0800 (Malay Peninsula Standard Time),,s8w34,label,"^"
Tue Aug 25 2015 10:46:08 GMT+0800 (Malay Peninsula Standard Time),,s8w36,focus,
Tue Aug 25 2015 10:46:08 GMT+0800 (Malay Peninsula Standard Time),,s8w36,focus,
Tue Aug 25 2015 10:46:09 GMT+0800 (Malay Peninsula Standard Time),,s8w36,label,"^"
Tue Aug 25 2015 10:46:30 GMT+0800 (Malay Peninsula Standard Time),,s8w108,focus,
Tue Aug 25 2015 10:46:30 GMT+0800 (Malay Peninsula Standard Time),,s8w108,focus,
Tue Aug 25 2015 10:46:31 GMT+0800 (Malay Peninsula Standard Time),,s8w108,label,"^"
Tue Aug 25 2015 10:46:31 GMT+0800 (Malay Peninsula Standard Time),,s8w110,focus,
Tue Aug 25 2015 10:46:31 GMT+0800 (Malay Peninsula Standard Time),,s8w110,focus,
Tue Aug 25 2015 10:46:32 GMT+0800 (Malay Peninsula Standard Time),,s8w110,label,"^"
Tue Aug 25 2015 10:46:38 GMT+0800 (Malay Peninsula Standard Time),,s8w111,focus,
Tue Aug 25 2015 10:46:38 GMT+0800 (Malay Peninsula Standard Time),,s8w111,focus,
Tue Aug 25 2015 10:46:38 GMT+0800 (Malay Peninsula Standard Time),,s8w111,label,"="
Tue Aug 25 2015 10:46:40 GMT+0800 (Malay Peninsula Standard Time),,s8w109,focus,
Tue Aug 25 2015 10:46:40 GMT+0800 (Malay Peninsula Standard Time),,s8w109,focus,
Tue Aug 25 2015 10:46:41 GMT+0800 (Malay Peninsula Standard Time),,s8w109,label,"="
Tue Aug 25 2015 10:46:41 GMT+0800 (Malay Peninsula Standard Time),,s8w107,focus,
Tue Aug 25 2015 10:46:42 GMT+0800 (Malay Peninsula Standard Time),,s8w107,focus,
Tue Aug 25 2015 10:46:42 GMT+0800 (Malay Peninsula Standard Time),,s8w107,label,"="
Tue Aug 25 2015 10:46:42 GMT+0800 (Malay Peninsula Standard Time),,s8w103,focus,
Tue Aug 25 2015 10:46:42 GMT+0800 (Malay Peninsula Standard Time),,s8w103,focus,
Tue Aug 25 2015 10:46:43 GMT+0800 (Malay Peninsula Standard Time),,s8w103,label,"="
Tue Aug 25 2015 10:46:43 GMT+0800 (Malay Peninsula Standard Time),,s8w105,focus,
Tue Aug 25 2015 10:46:43 GMT+0800 (Malay Peninsula Standard Time),,s8w105,focus,
Tue Aug 25 2015 10:46:43 GMT+0800 (Malay Peninsula Standard Time),,s8w105,label,"="
Tue Aug 25 2015 10:47:08 GMT+0800 (Malay Peninsula Standard Time),,s11w22,focus,
Tue Aug 25 2015 10:47:08 GMT+0800 (Malay Peninsula Standard Time),,s11w22,focus,
Tue Aug 25 2015 10:47:09 GMT+0800 (Malay Peninsula Standard Time),,s11w22,label,"^"
Tue Aug 25 2015 10:47:25 GMT+0800 (Malay Peninsula Standard Time),,s14w9,focus,
Tue Aug 25 2015 10:47:25 GMT+0800 (Malay Peninsula Standard Time),,s14w9,focus,
Tue Aug 25 2015 10:47:27 GMT+0800 (Malay Peninsula Standard Time),,s14w9,label,"E"
Tue Aug 25 2015 10:47:36 GMT+0800 (Malay Peninsula Standard Time),,s16w11,focus,
Tue Aug 25 2015 10:47:36 GMT+0800 (Malay Peninsula Standard Time),,s16w11,focus,
Tue Aug 25 2015 10:47:38 GMT+0800 (Malay Peninsula Standard Time),,s16w11,label,"V"
Tue Aug 25 2015 10:47:44 GMT+0800 (Malay Peninsula Standard Time),,s16w11,label,"A"
Tue Aug 25 2015 10:48:06 GMT+0800 (Malay Peninsula Standard Time),,s18w1,focus,
Tue Aug 25 2015 10:48:06 GMT+0800 (Malay Peninsula Standard Time),,s18w1,focus,
