Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,795549
Mon Aug 24 2015 17:06:21 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,795549
Mon Aug 24 2015 17:06:24 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:06:24 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Mon Aug 24 2015 17:06:25 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"^"
Mon Aug 24 2015 17:06:27 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Mon Aug 24 2015 17:06:27 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Mon Aug 24 2015 17:06:28 GMT+0800 (Malay Peninsula Standard Time),,s0w10,label,"^"
Mon Aug 24 2015 17:07:12 GMT+0800 (Malay Peninsula Standard Time),,s6w7,focus,
Mon Aug 24 2015 17:07:12 GMT+0800 (Malay Peninsula Standard Time),,s6w7,focus,
Mon Aug 24 2015 17:07:13 GMT+0800 (Malay Peninsula Standard Time),,s6w7,label,"^"
Mon Aug 24 2015 17:07:31 GMT+0800 (Malay Peninsula Standard Time),,s7w41,focus,
Mon Aug 24 2015 17:07:32 GMT+0800 (Malay Peninsula Standard Time),,s7w41,focus,
Mon Aug 24 2015 17:07:32 GMT+0800 (Malay Peninsula Standard Time),,s7w41,label,"N"
Mon Aug 24 2015 17:08:10 GMT+0800 (Malay Peninsula Standard Time),,s7w41,focus,
Mon Aug 24 2015 17:08:20 GMT+0800 (Malay Peninsula Standard Time),,s10w12,focus,
Mon Aug 24 2015 17:08:20 GMT+0800 (Malay Peninsula Standard Time),,s10w12,focus,
Mon Aug 24 2015 17:08:20 GMT+0800 (Malay Peninsula Standard Time),,s10w12,label,"G"
Mon Aug 24 2015 17:08:42 GMT+0800 (Malay Peninsula Standard Time),,s10w12,focus,
Mon Aug 24 2015 17:08:46 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Mon Aug 24 2015 17:08:46 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Mon Aug 24 2015 17:08:50 GMT+0800 (Malay Peninsula Standard Time),,s9w5,label,"G"
Mon Aug 24 2015 17:09:01 GMT+0800 (Malay Peninsula Standard Time),,s8w14,focus,
Mon Aug 24 2015 17:09:02 GMT+0800 (Malay Peninsula Standard Time),,s8w14,focus,
Mon Aug 24 2015 17:09:02 GMT+0800 (Malay Peninsula Standard Time),,s8w14,label,"^"
Mon Aug 24 2015 17:09:15 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Mon Aug 24 2015 17:09:15 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Mon Aug 24 2015 17:09:18 GMT+0800 (Malay Peninsula Standard Time),,s9w5,label,"N"
Mon Aug 24 2015 17:09:23 GMT+0800 (Malay Peninsula Standard Time),,s9w5,focus,
Mon Aug 24 2015 17:09:53 GMT+0800 (Malay Peninsula Standard Time),,s13w23,focus,
Mon Aug 24 2015 17:09:53 GMT+0800 (Malay Peninsula Standard Time),,s13w23,focus,
Mon Aug 24 2015 17:09:54 GMT+0800 (Malay Peninsula Standard Time),,s13w23,label,"^"
Mon Aug 24 2015 17:09:57 GMT+0800 (Malay Peninsula Standard Time),,s13w27,focus,
Mon Aug 24 2015 17:09:57 GMT+0800 (Malay Peninsula Standard Time),,s13w27,focus,
Mon Aug 24 2015 17:09:59 GMT+0800 (Malay Peninsula Standard Time),,s13w27,label,"N"
Mon Aug 24 2015 17:10:31 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
