Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,881585
Tue Aug 25 2015 10:30:30 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,881585
Tue Aug 25 2015 10:30:33 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Tue Aug 25 2015 10:30:33 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Tue Aug 25 2015 10:30:33 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"N"
Tue Aug 25 2015 10:30:39 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Tue Aug 25 2015 10:31:12 GMT+0800 (Malay Peninsula Standard Time),,s2w13,focus,
Tue Aug 25 2015 10:31:12 GMT+0800 (Malay Peninsula Standard Time),,s2w13,focus,
Tue Aug 25 2015 10:31:13 GMT+0800 (Malay Peninsula Standard Time),,s2w13,label,"^"
Tue Aug 25 2015 10:31:14 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Tue Aug 25 2015 10:31:14 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Tue Aug 25 2015 10:31:15 GMT+0800 (Malay Peninsula Standard Time),,s2w15,label,"^"
Tue Aug 25 2015 10:31:40 GMT+0800 (Malay Peninsula Standard Time),,s4w10,focus,
Tue Aug 25 2015 10:31:40 GMT+0800 (Malay Peninsula Standard Time),,s4w10,focus,
Tue Aug 25 2015 10:31:45 GMT+0800 (Malay Peninsula Standard Time),,s4w10,focus,
Tue Aug 25 2015 10:31:49 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Tue Aug 25 2015 10:31:50 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Tue Aug 25 2015 10:31:51 GMT+0800 (Malay Peninsula Standard Time),,s4w11,label,"="
Tue Aug 25 2015 10:32:26 GMT+0800 (Malay Peninsula Standard Time),,s4w10,focus,
Tue Aug 25 2015 10:32:26 GMT+0800 (Malay Peninsula Standard Time),,s4w10,focus,
Tue Aug 25 2015 10:32:27 GMT+0800 (Malay Peninsula Standard Time),,s4w10,label,"G"
Tue Aug 25 2015 10:32:27 GMT+0800 (Malay Peninsula Standard Time),,s4w18,focus,
Tue Aug 25 2015 10:32:28 GMT+0800 (Malay Peninsula Standard Time),,s4w18,focus,
Tue Aug 25 2015 10:32:34 GMT+0800 (Malay Peninsula Standard Time),,s4w12,focus,
Tue Aug 25 2015 10:32:35 GMT+0800 (Malay Peninsula Standard Time),,s4w12,focus,
Tue Aug 25 2015 10:32:35 GMT+0800 (Malay Peninsula Standard Time),,s4w12,label,"G"
Tue Aug 25 2015 10:32:38 GMT+0800 (Malay Peninsula Standard Time),,s4w12,label,"^"
Tue Aug 25 2015 10:32:42 GMT+0800 (Malay Peninsula Standard Time),,s4w12,focus,
Tue Aug 25 2015 10:32:42 GMT+0800 (Malay Peninsula Standard Time),,s4w12,label,"G"
Tue Aug 25 2015 10:32:45 GMT+0800 (Malay Peninsula Standard Time),,s4w18,focus,
Tue Aug 25 2015 10:32:45 GMT+0800 (Malay Peninsula Standard Time),,s4w18,focus,
Tue Aug 25 2015 10:32:46 GMT+0800 (Malay Peninsula Standard Time),,s4w18,label,"G"
Tue Aug 25 2015 10:32:56 GMT+0800 (Malay Peninsula Standard Time),,s4w38,focus,
Tue Aug 25 2015 10:32:57 GMT+0800 (Malay Peninsula Standard Time),,s4w38,focus,
Tue Aug 25 2015 10:32:57 GMT+0800 (Malay Peninsula Standard Time),,s4w38,label,"G"
Tue Aug 25 2015 10:33:01 GMT+0800 (Malay Peninsula Standard Time),,s4w15,focus,
Tue Aug 25 2015 10:33:01 GMT+0800 (Malay Peninsula Standard Time),,s4w15,focus,
Tue Aug 25 2015 10:33:02 GMT+0800 (Malay Peninsula Standard Time),,s4w15,label,"G"
Tue Aug 25 2015 10:33:05 GMT+0800 (Malay Peninsula Standard Time),,s4w16,focus,
Tue Aug 25 2015 10:33:05 GMT+0800 (Malay Peninsula Standard Time),,s4w16,focus,
Tue Aug 25 2015 10:33:06 GMT+0800 (Malay Peninsula Standard Time),,s4w16,label,"G"
Tue Aug 25 2015 10:33:07 GMT+0800 (Malay Peninsula Standard Time),,s4w13,focus,
Tue Aug 25 2015 10:33:07 GMT+0800 (Malay Peninsula Standard Time),,s4w13,focus,
Tue Aug 25 2015 10:33:07 GMT+0800 (Malay Peninsula Standard Time),,s4w13,label,"G"
Tue Aug 25 2015 10:33:08 GMT+0800 (Malay Peninsula Standard Time),,s4w14,focus,
Tue Aug 25 2015 10:33:08 GMT+0800 (Malay Peninsula Standard Time),,s4w14,focus,
Tue Aug 25 2015 10:33:08 GMT+0800 (Malay Peninsula Standard Time),,s4w14,label,"G"
Tue Aug 25 2015 10:33:09 GMT+0800 (Malay Peninsula Standard Time),,s4w19,focus,
Tue Aug 25 2015 10:33:09 GMT+0800 (Malay Peninsula Standard Time),,s4w19,focus,
Tue Aug 25 2015 10:33:10 GMT+0800 (Malay Peninsula Standard Time),,s4w19,label,"G"
Tue Aug 25 2015 10:33:15 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Tue Aug 25 2015 10:33:15 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Tue Aug 25 2015 10:33:16 GMT+0800 (Malay Peninsula Standard Time),,s4w11,label,"G"
Tue Aug 25 2015 10:33:18 GMT+0800 (Malay Peninsula Standard Time),,s4w37,focus,
Tue Aug 25 2015 10:33:18 GMT+0800 (Malay Peninsula Standard Time),,s4w37,focus,
Tue Aug 25 2015 10:33:19 GMT+0800 (Malay Peninsula Standard Time),,s4w37,label,"G"
Tue Aug 25 2015 10:33:21 GMT+0800 (Malay Peninsula Standard Time),,s4w39,focus,
Tue Aug 25 2015 10:33:21 GMT+0800 (Malay Peninsula Standard Time),,s4w39,focus,
Tue Aug 25 2015 10:33:22 GMT+0800 (Malay Peninsula Standard Time),,s4w39,label,"G"
Tue Aug 25 2015 10:33:22 GMT+0800 (Malay Peninsula Standard Time),,s4w40,focus,
Tue Aug 25 2015 10:33:22 GMT+0800 (Malay Peninsula Standard Time),,s4w40,focus,
Tue Aug 25 2015 10:33:22 GMT+0800 (Malay Peninsula Standard Time),,s4w40,label,"G"
Tue Aug 25 2015 10:33:23 GMT+0800 (Malay Peninsula Standard Time),,s4w42,focus,
Tue Aug 25 2015 10:33:23 GMT+0800 (Malay Peninsula Standard Time),,s4w42,focus,
Tue Aug 25 2015 10:33:23 GMT+0800 (Malay Peninsula Standard Time),,s4w42,label,"G"
Tue Aug 25 2015 10:33:24 GMT+0800 (Malay Peninsula Standard Time),,s4w44,focus,
Tue Aug 25 2015 10:33:24 GMT+0800 (Malay Peninsula Standard Time),,s4w44,focus,
