Tue Aug 25 2015 10:29:07 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:29:07 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,880533
Tue Aug 25 2015 10:29:07 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,880533
Tue Aug 25 2015 10:29:07 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,880533
Tue Aug 25 2015 10:29:07 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,880533
Tue Aug 25 2015 10:29:07 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,880533
Tue Aug 25 2015 10:29:10 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Tue Aug 25 2015 10:29:10 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Tue Aug 25 2015 10:29:11 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"^"
Tue Aug 25 2015 10:29:40 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Tue Aug 25 2015 10:29:40 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Tue Aug 25 2015 10:29:41 GMT+0800 (Malay Peninsula Standard Time),,s1w39,label,"U"
Tue Aug 25 2015 10:29:52 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Tue Aug 25 2015 10:29:52 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Tue Aug 25 2015 10:29:53 GMT+0800 (Malay Peninsula Standard Time),,s2w12,label,"U"
Tue Aug 25 2015 10:30:09 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Tue Aug 25 2015 10:30:09 GMT+0800 (Malay Peninsula Standard Time),,s4w11,focus,
Tue Aug 25 2015 10:30:10 GMT+0800 (Malay Peninsula Standard Time),,s4w11,label,"G"
Tue Aug 25 2015 10:30:24 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
