Mon Aug 24 2015 10:20:36 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 10:20:36 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,729862
Mon Aug 24 2015 10:20:36 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,729862
Mon Aug 24 2015 10:20:36 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,729862
Mon Aug 24 2015 10:20:36 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,729862
Mon Aug 24 2015 16:39:57 GMT+0800 (Malay Peninsula Standard Time),,s2w28,focus,
Mon Aug 24 2015 16:39:57 GMT+0800 (Malay Peninsula Standard Time),,s2w28,focus,
Mon Aug 24 2015 16:39:58 GMT+0800 (Malay Peninsula Standard Time),,s2w28,label,"D"
Mon Aug 24 2015 16:40:51 GMT+0800 (Malay Peninsula Standard Time),,s2w28,focus,
Mon Aug 24 2015 16:41:26 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Mon Aug 24 2015 16:41:26 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Mon Aug 24 2015 16:41:29 GMT+0800 (Malay Peninsula Standard Time),,s1w30,label,"^"
Mon Aug 24 2015 16:42:00 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Mon Aug 24 2015 16:42:01 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Mon Aug 24 2015 16:42:01 GMT+0800 (Malay Peninsula Standard Time),,s1w60,label,"N"
Mon Aug 24 2015 16:42:12 GMT+0800 (Malay Peninsula Standard Time),,s1w60,label,"V"
Mon Aug 24 2015 16:42:17 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Mon Aug 24 2015 16:42:17 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Mon Aug 24 2015 16:42:18 GMT+0800 (Malay Peninsula Standard Time),,s1w65,label,"^"
Mon Aug 24 2015 16:42:37 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Mon Aug 24 2015 16:42:37 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Mon Aug 24 2015 16:42:38 GMT+0800 (Malay Peninsula Standard Time),,s2w9,label,"^"
Mon Aug 24 2015 16:42:53 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Mon Aug 24 2015 16:42:53 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Mon Aug 24 2015 16:42:54 GMT+0800 (Malay Peninsula Standard Time),,s3w4,label,"^"
Mon Aug 24 2015 16:43:11 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Mon Aug 24 2015 16:43:11 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Mon Aug 24 2015 16:43:13 GMT+0800 (Malay Peninsula Standard Time),,s3w15,label,"^"
Mon Aug 24 2015 16:43:23 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Mon Aug 24 2015 16:43:26 GMT+0800 (Malay Peninsula Standard Time),,s3w24,focus,
Mon Aug 24 2015 16:43:26 GMT+0800 (Malay Peninsula Standard Time),,s3w24,focus,
Mon Aug 24 2015 16:43:28 GMT+0800 (Malay Peninsula Standard Time),,s3w24,focus,
Mon Aug 24 2015 16:43:29 GMT+0800 (Malay Peninsula Standard Time),,s3w24,label,"Z"
Mon Aug 24 2015 16:43:39 GMT+0800 (Malay Peninsula Standard Time),,s3w24,focus,
Mon Aug 24 2015 16:43:54 GMT+0800 (Malay Peninsula Standard Time),,s3w34,focus,
Mon Aug 24 2015 16:43:54 GMT+0800 (Malay Peninsula Standard Time),,s3w34,focus,
Mon Aug 24 2015 16:43:55 GMT+0800 (Malay Peninsula Standard Time),,s3w34,label,"^"
Mon Aug 24 2015 16:44:07 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
