Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,738175
Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,738175
Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,738175
Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,738175
Mon Aug 24 2015 16:44:15 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,738175
Mon Aug 24 2015 16:47:21 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Mon Aug 24 2015 16:47:21 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Mon Aug 24 2015 16:47:22 GMT+0800 (Malay Peninsula Standard Time),,s1w60,label,"N"
Mon Aug 24 2015 16:47:24 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Mon Aug 24 2015 16:47:24 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Mon Aug 24 2015 16:47:31 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Mon Aug 24 2015 16:47:31 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Mon Aug 24 2015 16:47:32 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,"V"
Mon Aug 24 2015 16:47:40 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Mon Aug 24 2015 16:47:40 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Mon Aug 24 2015 16:47:46 GMT+0800 (Malay Peninsula Standard Time),,s1w48,label,"N"
Mon Aug 24 2015 16:47:53 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Mon Aug 24 2015 16:47:53 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Mon Aug 24 2015 16:47:54 GMT+0800 (Malay Peninsula Standard Time),,s1w37,label,"V"
Mon Aug 24 2015 16:48:44 GMT+0800 (Malay Peninsula Standard Time),,s1w115,focus,
Mon Aug 24 2015 16:48:44 GMT+0800 (Malay Peninsula Standard Time),,s1w115,focus,
