Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,882036
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,882036
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,882036
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,882036
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,882036
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,882036
Tue Aug 25 2015 10:35:08 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,882036
Tue Aug 25 2015 10:36:52 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Tue Aug 25 2015 10:36:53 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Tue Aug 25 2015 10:36:54 GMT+0800 (Malay Peninsula Standard Time),,s1w18,label,"^"
Tue Aug 25 2015 10:37:04 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Tue Aug 25 2015 10:37:05 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Tue Aug 25 2015 10:37:05 GMT+0800 (Malay Peninsula Standard Time),,s1w65,label,"N"
Tue Aug 25 2015 10:37:14 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Tue Aug 25 2015 10:37:14 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Tue Aug 25 2015 10:37:14 GMT+0800 (Malay Peninsula Standard Time),,s1w67,label,"G"
Tue Aug 25 2015 10:37:14 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Tue Aug 25 2015 10:37:14 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Tue Aug 25 2015 10:37:15 GMT+0800 (Malay Peninsula Standard Time),,s1w68,label,"G"
Tue Aug 25 2015 10:37:34 GMT+0800 (Malay Peninsula Standard Time),,s3w12,focus,
Tue Aug 25 2015 10:37:34 GMT+0800 (Malay Peninsula Standard Time),,s3w12,focus,
Tue Aug 25 2015 10:37:35 GMT+0800 (Malay Peninsula Standard Time),,s3w12,label,"V"
Tue Aug 25 2015 10:37:38 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Tue Aug 25 2015 10:37:38 GMT+0800 (Malay Peninsula Standard Time),,s3w15,focus,
Tue Aug 25 2015 10:37:39 GMT+0800 (Malay Peninsula Standard Time),,s3w15,label,"^"
Tue Aug 25 2015 10:37:45 GMT+0800 (Malay Peninsula Standard Time),,s3w19,focus,
Tue Aug 25 2015 10:37:45 GMT+0800 (Malay Peninsula Standard Time),,s3w19,focus,
Tue Aug 25 2015 10:37:49 GMT+0800 (Malay Peninsula Standard Time),,s3w19,label,"^"
Tue Aug 25 2015 10:37:57 GMT+0800 (Malay Peninsula Standard Time),,s4w7,focus,
Tue Aug 25 2015 10:37:57 GMT+0800 (Malay Peninsula Standard Time),,s4w7,focus,
Tue Aug 25 2015 10:37:58 GMT+0800 (Malay Peninsula Standard Time),,s4w7,label,"^"
Tue Aug 25 2015 10:38:01 GMT+0800 (Malay Peninsula Standard Time),,s5w1,focus,
Tue Aug 25 2015 10:38:01 GMT+0800 (Malay Peninsula Standard Time),,s5w1,focus,
Tue Aug 25 2015 10:38:01 GMT+0800 (Malay Peninsula Standard Time),,s5w1,label,"N"
Tue Aug 25 2015 10:38:03 GMT+0800 (Malay Peninsula Standard Time),,s5w4,focus,
Tue Aug 25 2015 10:38:03 GMT+0800 (Malay Peninsula Standard Time),,s5w4,focus,
Tue Aug 25 2015 10:38:06 GMT+0800 (Malay Peninsula Standard Time),,s5w6,focus,
Tue Aug 25 2015 10:38:06 GMT+0800 (Malay Peninsula Standard Time),,s5w6,focus,
Tue Aug 25 2015 10:38:06 GMT+0800 (Malay Peninsula Standard Time),,s5w6,label,"N"
Tue Aug 25 2015 10:38:16 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
