Tue Aug 25 2015 10:51:52 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Tue Aug 25 2015 10:51:52 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,931329
Tue Aug 25 2015 10:51:52 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,931329
Tue Aug 25 2015 10:51:52 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,931329
Tue Aug 25 2015 10:51:54 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Tue Aug 25 2015 10:51:54 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Tue Aug 25 2015 10:51:54 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"^"
Tue Aug 25 2015 10:52:00 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Tue Aug 25 2015 10:52:00 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Tue Aug 25 2015 10:52:01 GMT+0800 (Malay Peninsula Standard Time),,s0w11,label,"^"
Tue Aug 25 2015 10:52:14 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Tue Aug 25 2015 10:52:14 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Tue Aug 25 2015 10:52:15 GMT+0800 (Malay Peninsula Standard Time),,s1w23,label,"^"
Tue Aug 25 2015 10:52:27 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Tue Aug 25 2015 10:52:27 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Tue Aug 25 2015 10:52:27 GMT+0800 (Malay Peninsula Standard Time),,s1w52,label,"^"
Tue Aug 25 2015 10:52:40 GMT+0800 (Malay Peninsula Standard Time),,s1w69,focus,
Tue Aug 25 2015 10:52:40 GMT+0800 (Malay Peninsula Standard Time),,s1w69,focus,
Tue Aug 25 2015 10:52:40 GMT+0800 (Malay Peninsula Standard Time),,s1w69,label,"G"
Tue Aug 25 2015 10:52:50 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Tue Aug 25 2015 10:52:50 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Tue Aug 25 2015 10:52:51 GMT+0800 (Malay Peninsula Standard Time),,s1w66,label,"^"
Tue Aug 25 2015 10:53:04 GMT+0800 (Malay Peninsula Standard Time),,s2w47,focus,
Tue Aug 25 2015 10:53:04 GMT+0800 (Malay Peninsula Standard Time),,s2w47,focus,
Tue Aug 25 2015 10:53:05 GMT+0800 (Malay Peninsula Standard Time),,s2w47,label,"^"
Tue Aug 25 2015 10:53:06 GMT+0800 (Malay Peninsula Standard Time),,s2w46,focus,
Tue Aug 25 2015 10:53:06 GMT+0800 (Malay Peninsula Standard Time),,s2w46,focus,
Tue Aug 25 2015 10:53:07 GMT+0800 (Malay Peninsula Standard Time),,s2w46,label,"D"
Tue Aug 25 2015 10:53:10 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
