Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,739547
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,739547
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,739547
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,739547
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,739547
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,739547
Mon Aug 24 2015 16:54:23 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,739547
Mon Aug 24 2015 16:54:35 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Mon Aug 24 2015 16:54:35 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Mon Aug 24 2015 16:54:36 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"^"
Mon Aug 24 2015 16:54:41 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Mon Aug 24 2015 16:54:41 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Mon Aug 24 2015 16:54:42 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"^"
Mon Aug 24 2015 16:54:47 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Mon Aug 24 2015 16:54:47 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Mon Aug 24 2015 16:54:48 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"^"
Mon Aug 24 2015 16:54:54 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Mon Aug 24 2015 16:54:54 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Mon Aug 24 2015 16:54:54 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Mon Aug 24 2015 16:54:55 GMT+0800 (Malay Peninsula Standard Time),,s0w9,label,"^"
Mon Aug 24 2015 16:54:59 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Mon Aug 24 2015 16:54:59 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Mon Aug 24 2015 16:55:02 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Mon Aug 24 2015 16:55:02 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Mon Aug 24 2015 16:55:04 GMT+0800 (Malay Peninsula Standard Time),,s1w2,label,"^"
