Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,779403
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,779403
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,779403
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,779403
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,779403
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,779403
Mon Aug 24 2015 17:03:24 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,779403
Mon Aug 24 2015 17:03:29 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Mon Aug 24 2015 17:03:29 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Mon Aug 24 2015 17:03:30 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"V"
Mon Aug 24 2015 17:03:35 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Mon Aug 24 2015 17:03:36 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Mon Aug 24 2015 17:03:36 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"G"
Mon Aug 24 2015 17:03:37 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Mon Aug 24 2015 17:03:37 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Mon Aug 24 2015 17:03:37 GMT+0800 (Malay Peninsula Standard Time),,s0w9,label,"G"
Mon Aug 24 2015 17:03:40 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Mon Aug 24 2015 17:03:56 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Mon Aug 24 2015 17:03:58 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Mon Aug 24 2015 17:03:58 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Mon Aug 24 2015 17:03:59 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"^"
Mon Aug 24 2015 17:04:02 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Mon Aug 24 2015 17:04:02 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Mon Aug 24 2015 17:04:02 GMT+0800 (Malay Peninsula Standard Time),,s1w8,label,"^"
Mon Aug 24 2015 17:04:19 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Mon Aug 24 2015 17:04:19 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Mon Aug 24 2015 17:04:20 GMT+0800 (Malay Peninsula Standard Time),,s1w43,label,"G"
Mon Aug 24 2015 17:04:20 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Mon Aug 24 2015 17:04:21 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Mon Aug 24 2015 17:04:21 GMT+0800 (Malay Peninsula Standard Time),,s1w45,label,"G"
Mon Aug 24 2015 17:04:33 GMT+0800 (Malay Peninsula Standard Time),,s1w84,focus,
Mon Aug 24 2015 17:04:34 GMT+0800 (Malay Peninsula Standard Time),,s1w84,focus,
Mon Aug 24 2015 17:04:34 GMT+0800 (Malay Peninsula Standard Time),,s1w84,label,"^"
Mon Aug 24 2015 17:04:50 GMT+0800 (Malay Peninsula Standard Time),,s1w84,focus,
Mon Aug 24 2015 17:04:59 GMT+0800 (Malay Peninsula Standard Time),,s1w130,focus,
Mon Aug 24 2015 17:04:59 GMT+0800 (Malay Peninsula Standard Time),,s1w130,focus,
Mon Aug 24 2015 17:05:00 GMT+0800 (Malay Peninsula Standard Time),,s1w130,label,"^"
Mon Aug 24 2015 17:05:15 GMT+0800 (Malay Peninsula Standard Time),,s1w157,focus,
Mon Aug 24 2015 17:05:15 GMT+0800 (Malay Peninsula Standard Time),,s1w157,focus,
Mon Aug 24 2015 17:05:16 GMT+0800 (Malay Peninsula Standard Time),,s1w157,label,"^"
Mon Aug 24 2015 17:05:21 GMT+0800 (Malay Peninsula Standard Time),,s1w157,focus,
Mon Aug 24 2015 17:05:32 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Mon Aug 24 2015 17:05:33 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Mon Aug 24 2015 17:05:35 GMT+0800 (Malay Peninsula Standard Time),,s2w11,label,"L"
Mon Aug 24 2015 17:06:14 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
