Mon Aug 24 2015 16:57:37 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Mon Aug 24 2015 16:57:37 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,739951
Mon Aug 24 2015 16:57:37 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,739951
Mon Aug 24 2015 16:57:37 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,739951
Mon Aug 24 2015 16:58:02 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Mon Aug 24 2015 16:58:02 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Mon Aug 24 2015 16:58:03 GMT+0800 (Malay Peninsula Standard Time),,s0w14,label,"N"
Mon Aug 24 2015 16:58:09 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Mon Aug 24 2015 16:58:09 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Mon Aug 24 2015 16:58:10 GMT+0800 (Malay Peninsula Standard Time),,s1w3,label,"^"
Mon Aug 24 2015 16:58:30 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Mon Aug 24 2015 16:58:30 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Mon Aug 24 2015 16:58:31 GMT+0800 (Malay Peninsula Standard Time),,s1w19,label,"^"
Mon Aug 24 2015 16:58:38 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Mon Aug 24 2015 16:58:38 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Mon Aug 24 2015 16:58:38 GMT+0800 (Malay Peninsula Standard Time),,s1w27,label,"N"
Mon Aug 24 2015 16:58:56 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Mon Aug 24 2015 16:58:56 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Mon Aug 24 2015 16:58:57 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Mon Aug 24 2015 16:58:58 GMT+0800 (Malay Peninsula Standard Time),,s1w44,label,"="
Mon Aug 24 2015 16:59:05 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Mon Aug 24 2015 16:59:05 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Mon Aug 24 2015 16:59:06 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,"N"
Mon Aug 24 2015 16:59:10 GMT+0800 (Malay Peninsula Standard Time),,s1w75,focus,
Mon Aug 24 2015 16:59:10 GMT+0800 (Malay Peninsula Standard Time),,s1w75,focus,
Mon Aug 24 2015 16:59:10 GMT+0800 (Malay Peninsula Standard Time),,s1w75,label,"N"
Mon Aug 24 2015 16:59:11 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Mon Aug 24 2015 16:59:12 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Mon Aug 24 2015 16:59:12 GMT+0800 (Malay Peninsula Standard Time),,s2w2,label,"N"
Mon Aug 24 2015 16:59:13 GMT+0800 (Malay Peninsula Standard Time),,s2w2,label,"^"
Mon Aug 24 2015 16:59:25 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
