Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,295645
Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,295645
Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,295645
Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,295645
Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,295645
Wed Sep 02 2015 11:25:46 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,295645
Wed Sep 02 2015 11:25:49 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Wed Sep 02 2015 11:25:49 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Wed Sep 02 2015 11:25:51 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Wed Sep 02 2015 11:25:51 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 11:25:51 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Wed Sep 02 2015 11:25:51 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Wed Sep 02 2015 11:25:52 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Wed Sep 02 2015 11:25:57 GMT+0800 (Malay Peninsula Standard Time),,s0w6,label,"^"
Wed Sep 02 2015 11:25:57 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 11:25:57 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Wed Sep 02 2015 11:25:58 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Wed Sep 02 2015 11:25:58 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Wed Sep 02 2015 11:25:58 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Wed Sep 02 2015 11:25:59 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Wed Sep 02 2015 11:25:59 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Wed Sep 02 2015 11:26:00 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Wed Sep 02 2015 11:26:00 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Wed Sep 02 2015 11:26:01 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 11:26:01 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Wed Sep 02 2015 11:26:02 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Wed Sep 02 2015 11:26:02 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Wed Sep 02 2015 11:26:02 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 11:26:02 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Wed Sep 02 2015 11:26:02 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Wed Sep 02 2015 11:26:04 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Wed Sep 02 2015 11:26:04 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 11:26:05 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Wed Sep 02 2015 11:26:05 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Wed Sep 02 2015 11:26:06 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Wed Sep 02 2015 11:26:06 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Wed Sep 02 2015 11:26:06 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 11:26:06 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 11:26:07 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Wed Sep 02 2015 11:26:10 GMT+0800 (Malay Peninsula Standard Time),,s1w20,label,"^"
Wed Sep 02 2015 11:26:11 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Wed Sep 02 2015 11:26:11 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Wed Sep 02 2015 11:26:12 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Wed Sep 02 2015 11:26:13 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Wed Sep 02 2015 11:26:13 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Wed Sep 02 2015 11:26:13 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Wed Sep 02 2015 11:26:14 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Wed Sep 02 2015 11:26:14 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Wed Sep 02 2015 11:26:14 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Wed Sep 02 2015 11:26:15 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Wed Sep 02 2015 11:26:16 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Wed Sep 02 2015 11:26:16 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Wed Sep 02 2015 11:26:17 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Wed Sep 02 2015 11:26:17 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Wed Sep 02 2015 11:26:18 GMT+0800 (Malay Peninsula Standard Time),,s1w34,label,"^"
Wed Sep 02 2015 11:26:19 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Wed Sep 02 2015 11:26:19 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Wed Sep 02 2015 11:26:19 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Wed Sep 02 2015 11:26:21 GMT+0800 (Malay Peninsula Standard Time),,s1w37,label,"^"
Wed Sep 02 2015 11:26:22 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Wed Sep 02 2015 11:26:22 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Wed Sep 02 2015 11:26:23 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 11:26:26 GMT+0800 (Malay Peninsula Standard Time),,s1w40,label,","
Wed Sep 02 2015 11:26:27 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Wed Sep 02 2015 11:26:29 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Wed Sep 02 2015 11:26:44 GMT+0800 (Malay Peninsula Standard Time),,s1,changeSentenceFlag,"Tokenization Error"
Wed Sep 02 2015 11:26:46 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Wed Sep 02 2015 11:26:46 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Wed Sep 02 2015 11:26:47 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 11:26:48 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Wed Sep 02 2015 11:26:49 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Wed Sep 02 2015 11:26:50 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Wed Sep 02 2015 11:26:51 GMT+0800 (Malay Peninsula Standard Time),,s1w47,focus,
Wed Sep 02 2015 11:26:51 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Wed Sep 02 2015 11:26:52 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Wed Sep 02 2015 11:26:52 GMT+0800 (Malay Peninsula Standard Time),,s1w50,focus,
Wed Sep 02 2015 11:26:53 GMT+0800 (Malay Peninsula Standard Time),,s1w51,focus,
Wed Sep 02 2015 11:26:55 GMT+0800 (Malay Peninsula Standard Time),,s1w51,label,"^"
Wed Sep 02 2015 11:26:56 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Wed Sep 02 2015 11:26:56 GMT+0800 (Malay Peninsula Standard Time),,s1w53,focus,
Wed Sep 02 2015 11:26:56 GMT+0800 (Malay Peninsula Standard Time),,s1w54,focus,
Wed Sep 02 2015 11:26:58 GMT+0800 (Malay Peninsula Standard Time),,s1w54,label,"^"
Wed Sep 02 2015 11:26:58 GMT+0800 (Malay Peninsula Standard Time),,s1w55,focus,
Wed Sep 02 2015 11:26:59 GMT+0800 (Malay Peninsula Standard Time),,s1w56,focus,
Wed Sep 02 2015 11:26:59 GMT+0800 (Malay Peninsula Standard Time),,s1w57,focus,
Wed Sep 02 2015 11:27:00 GMT+0800 (Malay Peninsula Standard Time),,s1w58,focus,
Wed Sep 02 2015 11:27:01 GMT+0800 (Malay Peninsula Standard Time),,s1w59,focus,
Wed Sep 02 2015 11:27:01 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Wed Sep 02 2015 11:27:02 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Wed Sep 02 2015 11:27:02 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Wed Sep 02 2015 11:27:04 GMT+0800 (Malay Peninsula Standard Time),,s1w62,label,"^"
Wed Sep 02 2015 11:27:05 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Wed Sep 02 2015 11:27:05 GMT+0800 (Malay Peninsula Standard Time),,s1w64,focus,
Wed Sep 02 2015 11:27:08 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Wed Sep 02 2015 11:27:08 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Wed Sep 02 2015 11:27:09 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Wed Sep 02 2015 11:27:09 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Wed Sep 02 2015 11:27:09 GMT+0800 (Malay Peninsula Standard Time),,s1w69,focus,
Wed Sep 02 2015 11:27:10 GMT+0800 (Malay Peninsula Standard Time),,s1w70,focus,
Wed Sep 02 2015 11:27:10 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Wed Sep 02 2015 11:27:10 GMT+0800 (Malay Peninsula Standard Time),,s1w72,focus,
Wed Sep 02 2015 11:27:10 GMT+0800 (Malay Peninsula Standard Time),,s1w73,focus,
Wed Sep 02 2015 11:27:10 GMT+0800 (Malay Peninsula Standard Time),,s1w74,focus,
Wed Sep 02 2015 11:27:11 GMT+0800 (Malay Peninsula Standard Time),,s1w75,focus,
Wed Sep 02 2015 11:27:11 GMT+0800 (Malay Peninsula Standard Time),,s1w76,focus,
Wed Sep 02 2015 11:27:11 GMT+0800 (Malay Peninsula Standard Time),,s1w77,focus,
Wed Sep 02 2015 11:27:12 GMT+0800 (Malay Peninsula Standard Time),,s1w78,focus,
Wed Sep 02 2015 11:27:12 GMT+0800 (Malay Peninsula Standard Time),,s1w79,focus,
Wed Sep 02 2015 11:27:12 GMT+0800 (Malay Peninsula Standard Time),,s1w80,focus,
Wed Sep 02 2015 11:27:12 GMT+0800 (Malay Peninsula Standard Time),,s1w81,focus,
Wed Sep 02 2015 11:27:13 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Wed Sep 02 2015 11:27:14 GMT+0800 (Malay Peninsula Standard Time),,s1w83,focus,
Wed Sep 02 2015 11:27:14 GMT+0800 (Malay Peninsula Standard Time),,s1w84,focus,
Wed Sep 02 2015 11:27:14 GMT+0800 (Malay Peninsula Standard Time),,s1w85,focus,
Wed Sep 02 2015 11:27:14 GMT+0800 (Malay Peninsula Standard Time),,s1w86,focus,
Wed Sep 02 2015 11:27:15 GMT+0800 (Malay Peninsula Standard Time),,s1w87,focus,
Wed Sep 02 2015 11:27:15 GMT+0800 (Malay Peninsula Standard Time),,s1w88,focus,
Wed Sep 02 2015 11:27:15 GMT+0800 (Malay Peninsula Standard Time),,s1w89,focus,
Wed Sep 02 2015 11:27:16 GMT+0800 (Malay Peninsula Standard Time),,s1w90,focus,
Wed Sep 02 2015 11:27:16 GMT+0800 (Malay Peninsula Standard Time),,s1w91,focus,
Wed Sep 02 2015 11:27:16 GMT+0800 (Malay Peninsula Standard Time),,s1w92,focus,
Wed Sep 02 2015 11:27:17 GMT+0800 (Malay Peninsula Standard Time),,s1w93,focus,
Wed Sep 02 2015 11:27:17 GMT+0800 (Malay Peninsula Standard Time),,s1w94,focus,
Wed Sep 02 2015 11:27:17 GMT+0800 (Malay Peninsula Standard Time),,s1w95,focus,
Wed Sep 02 2015 11:27:18 GMT+0800 (Malay Peninsula Standard Time),,s1w96,focus,
Wed Sep 02 2015 11:27:18 GMT+0800 (Malay Peninsula Standard Time),,s1w97,focus,
Wed Sep 02 2015 11:27:19 GMT+0800 (Malay Peninsula Standard Time),,s1w98,focus,
Wed Sep 02 2015 11:27:20 GMT+0800 (Malay Peninsula Standard Time),,s1w99,focus,
Wed Sep 02 2015 11:27:21 GMT+0800 (Malay Peninsula Standard Time),,s1w100,focus,
Wed Sep 02 2015 11:27:22 GMT+0800 (Malay Peninsula Standard Time),,s1w101,focus,
Wed Sep 02 2015 11:27:23 GMT+0800 (Malay Peninsula Standard Time),,s1w102,focus,
Wed Sep 02 2015 11:27:24 GMT+0800 (Malay Peninsula Standard Time),,s1w103,focus,
Wed Sep 02 2015 11:27:24 GMT+0800 (Malay Peninsula Standard Time),,s1w104,focus,
Wed Sep 02 2015 11:27:25 GMT+0800 (Malay Peninsula Standard Time),,s1w105,focus,
Wed Sep 02 2015 11:27:25 GMT+0800 (Malay Peninsula Standard Time),,s1w106,focus,
Wed Sep 02 2015 11:27:26 GMT+0800 (Malay Peninsula Standard Time),,s1w107,focus,
Wed Sep 02 2015 11:27:26 GMT+0800 (Malay Peninsula Standard Time),,s1w108,focus,
Wed Sep 02 2015 11:27:26 GMT+0800 (Malay Peninsula Standard Time),,s1w109,focus,
Wed Sep 02 2015 11:27:27 GMT+0800 (Malay Peninsula Standard Time),,s1w110,focus,
Wed Sep 02 2015 11:27:27 GMT+0800 (Malay Peninsula Standard Time),,s1w111,focus,
Wed Sep 02 2015 11:27:28 GMT+0800 (Malay Peninsula Standard Time),,s1w111,label,"^"
Wed Sep 02 2015 11:27:29 GMT+0800 (Malay Peninsula Standard Time),,s1w112,focus,
Wed Sep 02 2015 11:27:29 GMT+0800 (Malay Peninsula Standard Time),,s1w113,focus,
Wed Sep 02 2015 11:27:29 GMT+0800 (Malay Peninsula Standard Time),,s1w114,focus,
Wed Sep 02 2015 11:27:30 GMT+0800 (Malay Peninsula Standard Time),,s1w115,focus,
Wed Sep 02 2015 11:27:32 GMT+0800 (Malay Peninsula Standard Time),,s1w115,label,"^"
Wed Sep 02 2015 11:27:32 GMT+0800 (Malay Peninsula Standard Time),,s1w116,focus,
Wed Sep 02 2015 11:27:33 GMT+0800 (Malay Peninsula Standard Time),,s1w117,focus,
Wed Sep 02 2015 11:27:34 GMT+0800 (Malay Peninsula Standard Time),,s1w118,focus,
