Wed Sep 02 2015 14:58:30 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 14:58:30 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,352646
Wed Sep 02 2015 14:58:30 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,352646
Wed Sep 02 2015 14:58:30 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,352646
Wed Sep 02 2015 14:58:30 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,352646
Wed Sep 02 2015 14:58:30 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,352646
Wed Sep 02 2015 14:58:34 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Wed Sep 02 2015 14:58:34 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Wed Sep 02 2015 14:58:35 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Wed Sep 02 2015 14:58:35 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 14:58:35 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Wed Sep 02 2015 14:58:36 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Wed Sep 02 2015 14:58:38 GMT+0800 (Malay Peninsula Standard Time),,s0w5,label,"N"
Wed Sep 02 2015 14:58:38 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Wed Sep 02 2015 14:58:38 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 14:58:39 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Wed Sep 02 2015 14:58:39 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Wed Sep 02 2015 14:58:40 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Wed Sep 02 2015 14:58:40 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Wed Sep 02 2015 14:58:40 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Wed Sep 02 2015 14:58:40 GMT+0800 (Malay Peninsula Standard Time),,s0w13,focus,
Wed Sep 02 2015 14:58:40 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Wed Sep 02 2015 14:58:41 GMT+0800 (Malay Peninsula Standard Time),,s0w15,focus,
Wed Sep 02 2015 14:58:41 GMT+0800 (Malay Peninsula Standard Time),,s0w16,focus,
Wed Sep 02 2015 14:58:41 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Wed Sep 02 2015 14:58:42 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Wed Sep 02 2015 14:58:42 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Wed Sep 02 2015 14:58:43 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Wed Sep 02 2015 14:58:43 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 14:58:43 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Wed Sep 02 2015 14:58:44 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Wed Sep 02 2015 14:58:44 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Wed Sep 02 2015 14:58:44 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 14:58:44 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Wed Sep 02 2015 14:58:44 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Wed Sep 02 2015 14:58:45 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Wed Sep 02 2015 14:58:45 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 14:58:45 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Wed Sep 02 2015 14:58:45 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Wed Sep 02 2015 14:58:45 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Wed Sep 02 2015 14:58:45 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Wed Sep 02 2015 14:58:46 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 14:58:46 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 14:58:46 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 14:58:47 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Wed Sep 02 2015 14:58:47 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 14:58:48 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 14:58:48 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Wed Sep 02 2015 14:58:48 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Wed Sep 02 2015 14:58:48 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Wed Sep 02 2015 14:58:49 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Wed Sep 02 2015 14:58:49 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Wed Sep 02 2015 14:58:49 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Wed Sep 02 2015 14:58:49 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Wed Sep 02 2015 14:58:49 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Wed Sep 02 2015 14:58:50 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Wed Sep 02 2015 14:58:50 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Wed Sep 02 2015 14:58:50 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Wed Sep 02 2015 14:58:50 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
