Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,,pageReady,4:100:100
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s4,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s5,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s6,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s7,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s8,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s9,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s10,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s11,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s12,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s13,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s14,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s15,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s16,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s17,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s18,twitterId,253403
Fri Aug 21 2015 16:25:45 GMT+0800 (中国标准时间),,s19,twitterId,253403
Fri Aug 21 2015 16:30:18 GMT+0800 (中国标准时间),,s10w7,focus,
Fri Aug 21 2015 16:30:18 GMT+0800 (中国标准时间),,s10w7,focus,
Fri Aug 21 2015 16:30:19 GMT+0800 (中国标准时间),,s10w7,label,"G"
Fri Aug 21 2015 16:30:20 GMT+0800 (中国标准时间),,s10w8,focus,
Fri Aug 21 2015 16:30:20 GMT+0800 (中国标准时间),,s10w8,focus,
Fri Aug 21 2015 16:30:21 GMT+0800 (中国标准时间),,s10w8,label,"G"
Fri Aug 21 2015 16:30:24 GMT+0800 (中国标准时间),,s10w14,focus,
Fri Aug 21 2015 16:30:24 GMT+0800 (中国标准时间),,s10w14,focus,
Fri Aug 21 2015 16:30:26 GMT+0800 (中国标准时间),,s10w14,label,"^"
Fri Aug 21 2015 16:30:30 GMT+0800 (中国标准时间),,s10w20,focus,
Fri Aug 21 2015 16:30:30 GMT+0800 (中国标准时间),,s10w20,focus,
Fri Aug 21 2015 16:30:31 GMT+0800 (中国标准时间),,s10w20,label,"^"
Fri Aug 21 2015 16:31:07 GMT+0800 (中国标准时间),,s12w85,focus,
Fri Aug 21 2015 16:31:07 GMT+0800 (中国标准时间),,s12w85,focus,
Fri Aug 21 2015 16:31:26 GMT+0800 (中国标准时间),,s12w127,focus,
Fri Aug 21 2015 16:31:26 GMT+0800 (中国标准时间),,s12w127,focus,
Fri Aug 21 2015 16:31:27 GMT+0800 (中国标准时间),,s12w127,label,"G"
Fri Aug 21 2015 16:31:29 GMT+0800 (中国标准时间),,s12w127,label,"G"
Fri Aug 21 2015 16:31:29 GMT+0800 (中国标准时间),,s12w127,label,"G"
Fri Aug 21 2015 16:31:31 GMT+0800 (中国标准时间),,s12w128,focus,
Fri Aug 21 2015 16:31:31 GMT+0800 (中国标准时间),,s12w128,focus,
Fri Aug 21 2015 16:31:31 GMT+0800 (中国标准时间),,s12w128,label,"G"
Fri Aug 21 2015 16:32:32 GMT+0800 (中国标准时间),,s13w34,focus,
Fri Aug 21 2015 16:32:32 GMT+0800 (中国标准时间),,s13w34,focus,
Fri Aug 21 2015 16:32:35 GMT+0800 (中国标准时间),,s13w34,label,"N"
Fri Aug 21 2015 16:32:52 GMT+0800 (中国标准时间),,s13w75,focus,
Fri Aug 21 2015 16:32:52 GMT+0800 (中国标准时间),,s13w75,focus,
Fri Aug 21 2015 16:33:07 GMT+0800 (中国标准时间),,s13w75,focus,
Fri Aug 21 2015 16:33:09 GMT+0800 (中国标准时间),,s13w75,label,"V"
Fri Aug 21 2015 16:34:21 GMT+0800 (中国标准时间),,s15w10,focus,
Fri Aug 21 2015 16:34:21 GMT+0800 (中国标准时间),,s15w10,focus,
Fri Aug 21 2015 16:34:22 GMT+0800 (中国标准时间),,s15w10,label,"^"
Fri Aug 21 2015 16:35:01 GMT+0800 (中国标准时间),,s17w10,focus,
Fri Aug 21 2015 16:35:01 GMT+0800 (中国标准时间),,s17w10,focus,
Fri Aug 21 2015 16:35:03 GMT+0800 (中国标准时间),,s17w10,label,"V"
Fri Aug 21 2015 16:35:31 GMT+0800 (中国标准时间),,s17w118,focus,
Fri Aug 21 2015 16:35:31 GMT+0800 (中国标准时间),,s17w118,focus,
Fri Aug 21 2015 16:35:31 GMT+0800 (中国标准时间),,s17w118,label,"N"
