Fri Aug 21 2015 15:32:35 GMT+0800 (中国标准时间),,,pageReady,1:100:100
Fri Aug 21 2015 15:32:35 GMT+0800 (中国标准时间),,s1,twitterId,230573
Fri Aug 21 2015 15:32:35 GMT+0800 (中国标准时间),,s2,twitterId,230573
Fri Aug 21 2015 15:32:35 GMT+0800 (中国标准时间),,s3,twitterId,230573
Fri Aug 21 2015 15:32:35 GMT+0800 (中国标准时间),,s4,twitterId,230573
Fri Aug 21 2015 15:32:35 GMT+0800 (中国标准时间),,s5,twitterId,230573
Fri Aug 21 2015 15:33:10 GMT+0800 (中国标准时间),,s1w42,focus,
Fri Aug 21 2015 15:33:10 GMT+0800 (中国标准时间),,s1w42,focus,
Fri Aug 21 2015 15:33:12 GMT+0800 (中国标准时间),,s1w42,label,"N"
Fri Aug 21 2015 15:33:15 GMT+0800 (中国标准时间),,s1w59,focus,
Fri Aug 21 2015 15:33:15 GMT+0800 (中国标准时间),,s1w59,focus,
Fri Aug 21 2015 15:33:15 GMT+0800 (中国标准时间),,s1w59,label,"N"
Fri Aug 21 2015 15:33:39 GMT+0800 (中国标准时间),,s1w64,focus,
Fri Aug 21 2015 15:33:39 GMT+0800 (中国标准时间),,s1w64,focus,
Fri Aug 21 2015 15:33:42 GMT+0800 (中国标准时间),,s1w64,label,"A"
Fri Aug 21 2015 15:33:59 GMT+0800 (中国标准时间),,s1w74,focus,
Fri Aug 21 2015 15:33:59 GMT+0800 (中国标准时间),,s1w74,focus,
Fri Aug 21 2015 15:34:02 GMT+0800 (中国标准时间),,s1w74,label,"^"
Fri Aug 21 2015 15:34:17 GMT+0800 (中国标准时间),,s1w69,focus,
Fri Aug 21 2015 15:34:17 GMT+0800 (中国标准时间),,s1w69,focus,
Fri Aug 21 2015 15:36:01 GMT+0800 (中国标准时间),,s2w18,focus,
Fri Aug 21 2015 15:36:01 GMT+0800 (中国标准时间),,s2w18,focus,
Fri Aug 21 2015 15:36:03 GMT+0800 (中国标准时间),,s2w18,label,"G"
Fri Aug 21 2015 15:36:06 GMT+0800 (中国标准时间),,s2w18,label,","
Fri Aug 21 2015 15:36:42 GMT+0800 (中国标准时间),,s3w20,focus,
Fri Aug 21 2015 15:36:42 GMT+0800 (中国标准时间),,s3w20,focus,
Fri Aug 21 2015 15:36:45 GMT+0800 (中国标准时间),,s3w20,label,"$"
Fri Aug 21 2015 15:37:10 GMT+0800 (中国标准时间),,s4w33,focus,
Fri Aug 21 2015 15:37:10 GMT+0800 (中国标准时间),,s4w33,focus,
Fri Aug 21 2015 15:37:11 GMT+0800 (中国标准时间),,s4w33,label,"^"
Fri Aug 21 2015 15:37:39 GMT+0800 (中国标准时间),,s4w62,focus,
Fri Aug 21 2015 15:37:39 GMT+0800 (中国标准时间),,s4w62,focus,
Fri Aug 21 2015 15:37:40 GMT+0800 (中国标准时间),,s4w62,label,"^"
Fri Aug 21 2015 15:39:23 GMT+0800 (中国标准时间),,,submitPage,
