Fri Aug 21 2015 15:39:27 GMT+0800 (中国标准时间),,,pageReady,1:100:100
Fri Aug 21 2015 15:39:27 GMT+0800 (中国标准时间),,s1,twitterId,231550
Fri Aug 21 2015 15:39:27 GMT+0800 (中国标准时间),,s2,twitterId,231550
Fri Aug 21 2015 15:39:27 GMT+0800 (中国标准时间),,s3,twitterId,231550
Fri Aug 21 2015 15:39:27 GMT+0800 (中国标准时间),,s4,twitterId,231550
Fri Aug 21 2015 15:39:27 GMT+0800 (中国标准时间),,s5,twitterId,231550
Fri Aug 21 2015 15:40:53 GMT+0800 (中国标准时间),,s1w16,focus,
Fri Aug 21 2015 15:40:53 GMT+0800 (中国标准时间),,s1w16,focus,
Fri Aug 21 2015 15:41:02 GMT+0800 (中国标准时间),,s1w16,label,"^"
Fri Aug 21 2015 15:41:11 GMT+0800 (中国标准时间),,s1w35,focus,
Fri Aug 21 2015 15:41:11 GMT+0800 (中国标准时间),,s1w35,focus,
Fri Aug 21 2015 15:41:14 GMT+0800 (中国标准时间),,s1w35,label,"^"
Fri Aug 21 2015 15:42:29 GMT+0800 (中国标准时间),,s1w40,focus,
Fri Aug 21 2015 15:42:30 GMT+0800 (中国标准时间),,s1w40,focus,
Fri Aug 21 2015 15:42:33 GMT+0800 (中国标准时间),,s1w40,label,"^"
Fri Aug 21 2015 15:42:35 GMT+0800 (中国标准时间),,s1w40,label,"Z"
Fri Aug 21 2015 15:42:36 GMT+0800 (中国标准时间),,s1w37,focus,
Fri Aug 21 2015 15:42:36 GMT+0800 (中国标准时间),,s1w37,focus,
Fri Aug 21 2015 15:42:38 GMT+0800 (中国标准时间),,s1w37,label,"^"
Fri Aug 21 2015 15:42:44 GMT+0800 (中国标准时间),,s1w50,focus,
Fri Aug 21 2015 15:42:44 GMT+0800 (中国标准时间),,s1w50,focus,
Fri Aug 21 2015 15:42:45 GMT+0800 (中国标准时间),,s1w50,label,"^"
Fri Aug 21 2015 15:43:13 GMT+0800 (中国标准时间),,s1w87,focus,
Fri Aug 21 2015 15:43:13 GMT+0800 (中国标准时间),,s1w87,focus,
Fri Aug 21 2015 15:44:02 GMT+0800 (中国标准时间),,s1w87,label,"&"
Fri Aug 21 2015 15:44:09 GMT+0800 (中国标准时间),,s2w5,focus,
Fri Aug 21 2015 15:44:09 GMT+0800 (中国标准时间),,s2w5,focus,
Fri Aug 21 2015 15:44:11 GMT+0800 (中国标准时间),,s2w5,label,"^"
Fri Aug 21 2015 15:44:19 GMT+0800 (中国标准时间),,s3w12,focus,
Fri Aug 21 2015 15:44:20 GMT+0800 (中国标准时间),,s3w12,focus,
Fri Aug 21 2015 15:44:20 GMT+0800 (中国标准时间),,s3w12,label,"^"
Fri Aug 21 2015 15:44:31 GMT+0800 (中国标准时间),,s4w32,focus,
Fri Aug 21 2015 15:44:31 GMT+0800 (中国标准时间),,s4w32,focus,
Fri Aug 21 2015 15:44:33 GMT+0800 (中国标准时间),,s4w32,label,"^"
Fri Aug 21 2015 15:44:35 GMT+0800 (中国标准时间),,s4w18,focus,
Fri Aug 21 2015 15:44:35 GMT+0800 (中国标准时间),,s4w18,focus,
Fri Aug 21 2015 15:44:36 GMT+0800 (中国标准时间),,s4w18,label,"^"
Fri Aug 21 2015 15:44:38 GMT+0800 (中国标准时间),,s4w10,focus,
Fri Aug 21 2015 15:44:38 GMT+0800 (中国标准时间),,s4w10,focus,
Fri Aug 21 2015 15:44:40 GMT+0800 (中国标准时间),,s4w10,label,"^"
Fri Aug 21 2015 15:44:42 GMT+0800 (中国标准时间),,s4w5,focus,
Fri Aug 21 2015 15:44:43 GMT+0800 (中国标准时间),,s4w5,focus,
Fri Aug 21 2015 15:44:44 GMT+0800 (中国标准时间),,s4w5,label,"^"
Fri Aug 21 2015 15:44:54 GMT+0800 (中国标准时间),,s4w5,label,"N"
Fri Aug 21 2015 15:45:24 GMT+0800 (中国标准时间),,s4w30,focus,
Fri Aug 21 2015 15:45:24 GMT+0800 (中国标准时间),,s4w30,focus,
Fri Aug 21 2015 15:45:31 GMT+0800 (中国标准时间),,s4w30,label,"^"
Fri Aug 21 2015 15:45:49 GMT+0800 (中国标准时间),,s5w25,focus,
Fri Aug 21 2015 15:45:49 GMT+0800 (中国标准时间),,s5w25,focus,
Fri Aug 21 2015 15:45:50 GMT+0800 (中国标准时间),,s5w25,label,"^"
Fri Aug 21 2015 15:45:57 GMT+0800 (中国标准时间),,s5w36,focus,
Fri Aug 21 2015 15:45:57 GMT+0800 (中国标准时间),,s5w36,focus,
Fri Aug 21 2015 15:45:58 GMT+0800 (中国标准时间),,s5w36,label,"^"
Fri Aug 21 2015 15:46:05 GMT+0800 (中国标准时间),,s5w58,focus,
Fri Aug 21 2015 15:46:05 GMT+0800 (中国标准时间),,s5w58,focus,
Fri Aug 21 2015 15:46:06 GMT+0800 (中国标准时间),,s5w58,label,"^"
Fri Aug 21 2015 15:46:13 GMT+0800 (中国标准时间),,s5w68,focus,
Fri Aug 21 2015 15:46:13 GMT+0800 (中国标准时间),,s5w68,focus,
Fri Aug 21 2015 15:46:16 GMT+0800 (中国标准时间),,s5w68,label,"^"
Fri Aug 21 2015 15:46:22 GMT+0800 (中国标准时间),,s5w75,focus,
Fri Aug 21 2015 15:46:22 GMT+0800 (中国标准时间),,s5w75,focus,
Fri Aug 21 2015 15:46:23 GMT+0800 (中国标准时间),,s5w75,label,"^"
Fri Aug 21 2015 15:46:30 GMT+0800 (中国标准时间),,s5w85,focus,
Fri Aug 21 2015 15:46:30 GMT+0800 (中国标准时间),,s5w85,focus,
Fri Aug 21 2015 15:46:30 GMT+0800 (中国标准时间),,s5w85,label,"^"
Fri Aug 21 2015 15:46:41 GMT+0800 (中国标准时间),,s5w99,focus,
Fri Aug 21 2015 15:46:42 GMT+0800 (中国标准时间),,s5w99,focus,
Fri Aug 21 2015 15:46:42 GMT+0800 (中国标准时间),,s5w99,label,"A"
Fri Aug 21 2015 15:46:47 GMT+0800 (中国标准时间),,s5w100,focus,
Fri Aug 21 2015 15:46:47 GMT+0800 (中国标准时间),,s5w100,focus,
Fri Aug 21 2015 15:46:48 GMT+0800 (中国标准时间),,s5w100,label,"^"
Fri Aug 21 2015 15:48:04 GMT+0800 (中国标准时间),,s5w28,focus,
Fri Aug 21 2015 15:48:04 GMT+0800 (中国标准时间),,s5w28,focus,
Fri Aug 21 2015 15:48:06 GMT+0800 (中国标准时间),,s5w28,label,"A"
Fri Aug 21 2015 15:48:12 GMT+0800 (中国标准时间),,s5w28,label,"R"
Fri Aug 21 2015 15:48:30 GMT+0800 (中国标准时间),,,submitPage,
