Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,332337
Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,332337
Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,332337
Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,332337
Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,332337
Wed Sep 02 2015 11:52:40 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,332337
Wed Sep 02 2015 11:52:45 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Wed Sep 02 2015 11:52:45 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Wed Sep 02 2015 11:52:46 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Wed Sep 02 2015 11:52:47 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Wed Sep 02 2015 11:52:47 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Wed Sep 02 2015 11:52:51 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Wed Sep 02 2015 11:52:53 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Wed Sep 02 2015 11:52:53 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Wed Sep 02 2015 11:52:54 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Wed Sep 02 2015 11:52:55 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Wed Sep 02 2015 11:52:55 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Wed Sep 02 2015 11:52:55 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Wed Sep 02 2015 11:52:56 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Wed Sep 02 2015 11:52:56 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Wed Sep 02 2015 11:52:57 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Wed Sep 02 2015 11:52:57 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Wed Sep 02 2015 11:52:59 GMT+0800 (Malay Peninsula Standard Time),,s1w4,label,"^"
Wed Sep 02 2015 11:53:13 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 11:53:13 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Wed Sep 02 2015 11:53:14 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Wed Sep 02 2015 11:53:14 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Wed Sep 02 2015 11:53:15 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 11:53:15 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Wed Sep 02 2015 11:53:16 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Wed Sep 02 2015 11:53:16 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Wed Sep 02 2015 11:53:16 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 11:53:17 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Wed Sep 02 2015 11:53:19 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Wed Sep 02 2015 11:53:20 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Wed Sep 02 2015 11:53:22 GMT+0800 (Malay Peninsula Standard Time),,s1w16,label,"D"
Wed Sep 02 2015 11:53:23 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Wed Sep 02 2015 11:53:26 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Wed Sep 02 2015 11:53:26 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Wed Sep 02 2015 11:53:27 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Wed Sep 02 2015 11:53:27 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Wed Sep 02 2015 11:53:28 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Wed Sep 02 2015 11:53:28 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Wed Sep 02 2015 11:53:28 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Wed Sep 02 2015 11:53:29 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Wed Sep 02 2015 11:53:29 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Wed Sep 02 2015 11:53:29 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Wed Sep 02 2015 11:53:30 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Wed Sep 02 2015 11:53:30 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Wed Sep 02 2015 11:53:30 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Wed Sep 02 2015 11:53:31 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Wed Sep 02 2015 11:53:31 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Wed Sep 02 2015 11:53:38 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Wed Sep 02 2015 11:53:39 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Wed Sep 02 2015 11:53:40 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Wed Sep 02 2015 11:53:45 GMT+0800 (Malay Peninsula Standard Time),,s1w35,label,"D"
Wed Sep 02 2015 11:53:46 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Wed Sep 02 2015 11:53:49 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Wed Sep 02 2015 11:54:05 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Wed Sep 02 2015 11:54:13 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Wed Sep 02 2015 11:54:14 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Wed Sep 02 2015 11:54:23 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Wed Sep 02 2015 11:54:24 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Wed Sep 02 2015 11:54:24 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Wed Sep 02 2015 11:54:25 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Wed Sep 02 2015 11:54:28 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Wed Sep 02 2015 11:54:28 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Wed Sep 02 2015 11:54:29 GMT+0800 (Malay Peninsula Standard Time),,s1w47,focus,
Wed Sep 02 2015 11:54:29 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Wed Sep 02 2015 11:54:30 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Wed Sep 02 2015 11:54:30 GMT+0800 (Malay Peninsula Standard Time),,s1w50,focus,
Wed Sep 02 2015 11:54:30 GMT+0800 (Malay Peninsula Standard Time),,s1w51,focus,
