Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,351298
Wed Sep 02 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,351298
Wed Sep 02 2015 14:53:07 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 14:53:07 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Wed Sep 02 2015 14:53:09 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Wed Sep 02 2015 14:53:09 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Wed Sep 02 2015 14:53:09 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Wed Sep 02 2015 14:53:09 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Wed Sep 02 2015 14:53:09 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Wed Sep 02 2015 14:53:09 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Wed Sep 02 2015 14:53:10 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Wed Sep 02 2015 14:53:10 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Wed Sep 02 2015 14:53:11 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
