Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1107271
Fri Sep 04 2015 15:10:03 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1107271
Fri Sep 04 2015 15:10:05 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 15:10:05 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 15:10:06 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"D"
Fri Sep 04 2015 15:10:07 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 15:10:07 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 15:10:14 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Sep 04 2015 15:10:15 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Sep 04 2015 15:10:15 GMT+0800 (Malay Peninsula Standard Time),,s1w18,label,","
Fri Sep 04 2015 15:10:17 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Sep 04 2015 15:10:17 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Sep 04 2015 15:10:25 GMT+0800 (Malay Peninsula Standard Time),,s1w55,focus,
Fri Sep 04 2015 15:10:25 GMT+0800 (Malay Peninsula Standard Time),,s1w55,focus,
Fri Sep 04 2015 15:10:26 GMT+0800 (Malay Peninsula Standard Time),,s1w55,label,"O"
Fri Sep 04 2015 15:10:35 GMT+0800 (Malay Peninsula Standard Time),,s1w102,focus,
Fri Sep 04 2015 15:10:35 GMT+0800 (Malay Peninsula Standard Time),,s1w102,focus,
Fri Sep 04 2015 15:10:35 GMT+0800 (Malay Peninsula Standard Time),,s1w102,label,"^"
Fri Sep 04 2015 15:10:36 GMT+0800 (Malay Peninsula Standard Time),,s1w104,focus,
Fri Sep 04 2015 15:10:36 GMT+0800 (Malay Peninsula Standard Time),,s1w104,focus,
Fri Sep 04 2015 15:10:47 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Fri Sep 04 2015 15:10:47 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Fri Sep 04 2015 15:10:47 GMT+0800 (Malay Peninsula Standard Time),,s3w21,label,"^"
Fri Sep 04 2015 15:10:48 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Fri Sep 04 2015 15:10:55 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Fri Sep 04 2015 15:10:55 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Fri Sep 04 2015 15:10:55 GMT+0800 (Malay Peninsula Standard Time),,s4w1,label,"^"
Fri Sep 04 2015 15:11:25 GMT+0800 (Malay Peninsula Standard Time),,s5w4,focus,
Fri Sep 04 2015 15:11:25 GMT+0800 (Malay Peninsula Standard Time),,s5w4,focus,
Fri Sep 04 2015 15:11:25 GMT+0800 (Malay Peninsula Standard Time),,s5w4,label,"^"
Fri Sep 04 2015 15:11:25 GMT+0800 (Malay Peninsula Standard Time),,s5w18,focus,
Fri Sep 04 2015 15:11:25 GMT+0800 (Malay Peninsula Standard Time),,s5w18,focus,
Fri Sep 04 2015 15:11:57 GMT+0800 (Malay Peninsula Standard Time),,s5w18,label,"Z"
Fri Sep 04 2015 15:11:59 GMT+0800 (Malay Peninsula Standard Time),,s5w54,focus,
Fri Sep 04 2015 15:12:00 GMT+0800 (Malay Peninsula Standard Time),,s5w54,focus,
Fri Sep 04 2015 15:12:00 GMT+0800 (Malay Peninsula Standard Time),,s5w18,focus,
Fri Sep 04 2015 15:12:00 GMT+0800 (Malay Peninsula Standard Time),,s5w18,focus,
Fri Sep 04 2015 15:12:02 GMT+0800 (Malay Peninsula Standard Time),,s5w18,label,"$"
Fri Sep 04 2015 15:12:03 GMT+0800 (Malay Peninsula Standard Time),,s5w42,focus,
Fri Sep 04 2015 15:12:03 GMT+0800 (Malay Peninsula Standard Time),,s5w42,focus,
Fri Sep 04 2015 15:12:25 GMT+0800 (Malay Peninsula Standard Time),,s5w57,focus,
Fri Sep 04 2015 15:12:25 GMT+0800 (Malay Peninsula Standard Time),,s5w57,focus,
Fri Sep 04 2015 15:12:25 GMT+0800 (Malay Peninsula Standard Time),,s5w57,label,"Z"
Fri Sep 04 2015 15:12:26 GMT+0800 (Malay Peninsula Standard Time),,s5w58,focus,
Fri Sep 04 2015 15:12:26 GMT+0800 (Malay Peninsula Standard Time),,s5w58,focus,
Fri Sep 04 2015 15:12:32 GMT+0800 (Malay Peninsula Standard Time),,s5w71,focus,
Fri Sep 04 2015 15:12:32 GMT+0800 (Malay Peninsula Standard Time),,s5w71,focus,
Fri Sep 04 2015 15:12:32 GMT+0800 (Malay Peninsula Standard Time),,s5w71,label,"^"
Fri Sep 04 2015 15:12:33 GMT+0800 (Malay Peninsula Standard Time),,s5w71,focus,
Fri Sep 04 2015 15:12:33 GMT+0800 (Malay Peninsula Standard Time),,s5w85,focus,
Fri Sep 04 2015 15:12:33 GMT+0800 (Malay Peninsula Standard Time),,s5w85,focus,
Fri Sep 04 2015 15:12:35 GMT+0800 (Malay Peninsula Standard Time),,s5w74,focus,
Fri Sep 04 2015 15:12:35 GMT+0800 (Malay Peninsula Standard Time),,s5w74,focus,
Fri Sep 04 2015 15:12:35 GMT+0800 (Malay Peninsula Standard Time),,s5w74,label,"^"
Fri Sep 04 2015 15:12:38 GMT+0800 (Malay Peninsula Standard Time),,s5w81,focus,
Fri Sep 04 2015 15:12:38 GMT+0800 (Malay Peninsula Standard Time),,s5w81,focus,
Fri Sep 04 2015 15:12:39 GMT+0800 (Malay Peninsula Standard Time),,s5w81,label,"^"
Fri Sep 04 2015 15:12:58 GMT+0800 (Malay Peninsula Standard Time),,s6w16,focus,
Fri Sep 04 2015 15:12:58 GMT+0800 (Malay Peninsula Standard Time),,s6w16,focus,
Fri Sep 04 2015 15:13:04 GMT+0800 (Malay Peninsula Standard Time),,s6w43,focus,
Fri Sep 04 2015 15:13:04 GMT+0800 (Malay Peninsula Standard Time),,s6w43,focus,
Fri Sep 04 2015 15:13:04 GMT+0800 (Malay Peninsula Standard Time),,s6w43,label,"^"
Fri Sep 04 2015 15:13:05 GMT+0800 (Malay Peninsula Standard Time),,s6w45,focus,
Fri Sep 04 2015 15:13:05 GMT+0800 (Malay Peninsula Standard Time),,s6w45,focus,
Fri Sep 04 2015 15:13:05 GMT+0800 (Malay Peninsula Standard Time),,s6w45,label,"^"
Fri Sep 04 2015 15:13:10 GMT+0800 (Malay Peninsula Standard Time),,s6w60,focus,
Fri Sep 04 2015 15:13:10 GMT+0800 (Malay Peninsula Standard Time),,s6w60,focus,
Fri Sep 04 2015 15:13:10 GMT+0800 (Malay Peninsula Standard Time),,s6w60,label,"^"
Fri Sep 04 2015 15:13:17 GMT+0800 (Malay Peninsula Standard Time),,s7w9,focus,
Fri Sep 04 2015 15:13:17 GMT+0800 (Malay Peninsula Standard Time),,s7w9,focus,
Fri Sep 04 2015 15:13:17 GMT+0800 (Malay Peninsula Standard Time),,s7w9,label,"^"
Fri Sep 04 2015 15:13:21 GMT+0800 (Malay Peninsula Standard Time),,s7w13,focus,
Fri Sep 04 2015 15:13:21 GMT+0800 (Malay Peninsula Standard Time),,s7w13,focus,
Fri Sep 04 2015 15:13:21 GMT+0800 (Malay Peninsula Standard Time),,s7w13,label,"G"
Fri Sep 04 2015 15:13:21 GMT+0800 (Malay Peninsula Standard Time),,s7w26,focus,
Fri Sep 04 2015 15:13:21 GMT+0800 (Malay Peninsula Standard Time),,s7w26,focus,
Fri Sep 04 2015 15:13:56 GMT+0800 (Malay Peninsula Standard Time),,s9w7,focus,
Fri Sep 04 2015 15:13:56 GMT+0800 (Malay Peninsula Standard Time),,s9w7,focus,
Fri Sep 04 2015 15:13:56 GMT+0800 (Malay Peninsula Standard Time),,s9w7,label,"^"
Fri Sep 04 2015 15:14:07 GMT+0800 (Malay Peninsula Standard Time),,s10w15,focus,
Fri Sep 04 2015 15:14:07 GMT+0800 (Malay Peninsula Standard Time),,s10w15,focus,
Fri Sep 04 2015 15:14:08 GMT+0800 (Malay Peninsula Standard Time),,s10w15,label,"N"
Fri Sep 04 2015 15:14:08 GMT+0800 (Malay Peninsula Standard Time),,s10w41,focus,
Fri Sep 04 2015 15:14:09 GMT+0800 (Malay Peninsula Standard Time),,s10w41,focus,
Fri Sep 04 2015 15:14:16 GMT+0800 (Malay Peninsula Standard Time),,s10w29,focus,
Fri Sep 04 2015 15:14:16 GMT+0800 (Malay Peninsula Standard Time),,s10w29,focus,
Fri Sep 04 2015 15:14:17 GMT+0800 (Malay Peninsula Standard Time),,s10w29,label,"N"
Fri Sep 04 2015 15:14:17 GMT+0800 (Malay Peninsula Standard Time),,s10w67,focus,
Fri Sep 04 2015 15:14:17 GMT+0800 (Malay Peninsula Standard Time),,s10w67,focus,
Fri Sep 04 2015 15:14:19 GMT+0800 (Malay Peninsula Standard Time),,s10w30,focus,
Fri Sep 04 2015 15:14:19 GMT+0800 (Malay Peninsula Standard Time),,s10w30,focus,
Fri Sep 04 2015 15:14:20 GMT+0800 (Malay Peninsula Standard Time),,s10w30,label,"^"
Fri Sep 04 2015 15:14:37 GMT+0800 (Malay Peninsula Standard Time),,s10w59,focus,
Fri Sep 04 2015 15:14:37 GMT+0800 (Malay Peninsula Standard Time),,s10w59,focus,
Fri Sep 04 2015 15:14:39 GMT+0800 (Malay Peninsula Standard Time),,s10w59,label,"N"
Fri Sep 04 2015 15:14:58 GMT+0800 (Malay Peninsula Standard Time),,s10w70,focus,
Fri Sep 04 2015 15:14:58 GMT+0800 (Malay Peninsula Standard Time),,s10w70,focus,
Fri Sep 04 2015 15:14:59 GMT+0800 (Malay Peninsula Standard Time),,s10w70,label,"N"
Fri Sep 04 2015 15:15:00 GMT+0800 (Malay Peninsula Standard Time),,s10w71,focus,
Fri Sep 04 2015 15:15:00 GMT+0800 (Malay Peninsula Standard Time),,s10w71,focus,
Fri Sep 04 2015 15:15:01 GMT+0800 (Malay Peninsula Standard Time),,s10w69,focus,
Fri Sep 04 2015 15:15:01 GMT+0800 (Malay Peninsula Standard Time),,s10w69,focus,
Fri Sep 04 2015 15:15:01 GMT+0800 (Malay Peninsula Standard Time),,s10w69,label,"N"
Fri Sep 04 2015 15:15:02 GMT+0800 (Malay Peninsula Standard Time),,s10w71,focus,
Fri Sep 04 2015 15:15:02 GMT+0800 (Malay Peninsula Standard Time),,s10w71,focus,
Fri Sep 04 2015 15:15:03 GMT+0800 (Malay Peninsula Standard Time),,s10w71,label,"A"
Fri Sep 04 2015 15:15:03 GMT+0800 (Malay Peninsula Standard Time),,s10w94,focus,
Fri Sep 04 2015 15:15:03 GMT+0800 (Malay Peninsula Standard Time),,s10w94,focus,
Fri Sep 04 2015 15:15:10 GMT+0800 (Malay Peninsula Standard Time),,s10w88,focus,
Fri Sep 04 2015 15:15:10 GMT+0800 (Malay Peninsula Standard Time),,s10w88,focus,
Fri Sep 04 2015 15:15:10 GMT+0800 (Malay Peninsula Standard Time),,s10w88,label,"^"
Fri Sep 04 2015 15:15:10 GMT+0800 (Malay Peninsula Standard Time),,s10w105,focus,
Fri Sep 04 2015 15:15:10 GMT+0800 (Malay Peninsula Standard Time),,s10w105,focus,
Fri Sep 04 2015 15:15:13 GMT+0800 (Malay Peninsula Standard Time),,s10w92,focus,
Fri Sep 04 2015 15:15:13 GMT+0800 (Malay Peninsula Standard Time),,s10w92,focus,
Fri Sep 04 2015 15:15:13 GMT+0800 (Malay Peninsula Standard Time),,s10w92,label,"N"
Fri Sep 04 2015 15:15:14 GMT+0800 (Malay Peninsula Standard Time),,s10w93,focus,
Fri Sep 04 2015 15:15:14 GMT+0800 (Malay Peninsula Standard Time),,s10w93,focus,
Fri Sep 04 2015 15:15:15 GMT+0800 (Malay Peninsula Standard Time),,s10w93,label,"N"
Fri Sep 04 2015 15:15:16 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:16 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:22 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:23 GMT+0800 (Malay Peninsula Standard Time),,s10w92,focus,
Fri Sep 04 2015 15:15:23 GMT+0800 (Malay Peninsula Standard Time),,s10w92,focus,
Fri Sep 04 2015 15:15:23 GMT+0800 (Malay Peninsula Standard Time),,s10w92,label,"V"
Fri Sep 04 2015 15:15:25 GMT+0800 (Malay Peninsula Standard Time),,s10w92,focus,
Fri Sep 04 2015 15:15:26 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:26 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:31 GMT+0800 (Malay Peninsula Standard Time),,s10w98,focus,
Fri Sep 04 2015 15:15:31 GMT+0800 (Malay Peninsula Standard Time),,s10w98,focus,
Fri Sep 04 2015 15:15:42 GMT+0800 (Malay Peninsula Standard Time),,s10w98,focus,
Fri Sep 04 2015 15:15:44 GMT+0800 (Malay Peninsula Standard Time),,s10w98,label,"N"
Fri Sep 04 2015 15:15:44 GMT+0800 (Malay Peninsula Standard Time),,s10w109,focus,
Fri Sep 04 2015 15:15:44 GMT+0800 (Malay Peninsula Standard Time),,s10w109,focus,
Fri Sep 04 2015 15:15:46 GMT+0800 (Malay Peninsula Standard Time),,s10w99,focus,
Fri Sep 04 2015 15:15:46 GMT+0800 (Malay Peninsula Standard Time),,s10w99,focus,
Fri Sep 04 2015 15:15:47 GMT+0800 (Malay Peninsula Standard Time),,s10w99,label,"D"
Fri Sep 04 2015 15:15:47 GMT+0800 (Malay Peninsula Standard Time),,s10w132,focus,
Fri Sep 04 2015 15:15:47 GMT+0800 (Malay Peninsula Standard Time),,s10w132,focus,
Fri Sep 04 2015 15:15:51 GMT+0800 (Malay Peninsula Standard Time),,s10w100,focus,
Fri Sep 04 2015 15:15:51 GMT+0800 (Malay Peninsula Standard Time),,s10w100,focus,
Fri Sep 04 2015 15:15:54 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:54 GMT+0800 (Malay Peninsula Standard Time),,s10w101,focus,
Fri Sep 04 2015 15:15:55 GMT+0800 (Malay Peninsula Standard Time),,s10w101,label,"N"
Fri Sep 04 2015 15:15:55 GMT+0800 (Malay Peninsula Standard Time),,s10w120,focus,
Fri Sep 04 2015 15:15:55 GMT+0800 (Malay Peninsula Standard Time),,s10w120,focus,
Fri Sep 04 2015 15:16:01 GMT+0800 (Malay Peninsula Standard Time),,s10w112,focus,
Fri Sep 04 2015 15:16:01 GMT+0800 (Malay Peninsula Standard Time),,s10w112,focus,
Fri Sep 04 2015 15:16:01 GMT+0800 (Malay Peninsula Standard Time),,s10w112,label,"^"
Fri Sep 04 2015 15:16:02 GMT+0800 (Malay Peninsula Standard Time),,s10w144,focus,
Fri Sep 04 2015 15:16:02 GMT+0800 (Malay Peninsula Standard Time),,s10w144,focus,
Fri Sep 04 2015 15:16:03 GMT+0800 (Malay Peninsula Standard Time),,s10w114,focus,
Fri Sep 04 2015 15:16:03 GMT+0800 (Malay Peninsula Standard Time),,s10w114,focus,
Fri Sep 04 2015 15:16:03 GMT+0800 (Malay Peninsula Standard Time),,s10w114,label,"^"
Fri Sep 04 2015 15:16:04 GMT+0800 (Malay Peninsula Standard Time),,s10w155,focus,
Fri Sep 04 2015 15:16:04 GMT+0800 (Malay Peninsula Standard Time),,s10w155,focus,
Fri Sep 04 2015 15:16:07 GMT+0800 (Malay Peninsula Standard Time),,s10w118,focus,
Fri Sep 04 2015 15:16:07 GMT+0800 (Malay Peninsula Standard Time),,s10w118,focus,
Fri Sep 04 2015 15:16:08 GMT+0800 (Malay Peninsula Standard Time),,s10w118,label,"V"
Fri Sep 04 2015 15:16:08 GMT+0800 (Malay Peninsula Standard Time),,s10w141,focus,
Fri Sep 04 2015 15:16:09 GMT+0800 (Malay Peninsula Standard Time),,s10w141,focus,
Fri Sep 04 2015 15:16:11 GMT+0800 (Malay Peninsula Standard Time),,s10w121,focus,
Fri Sep 04 2015 15:16:12 GMT+0800 (Malay Peninsula Standard Time),,s10w121,focus,
Fri Sep 04 2015 15:16:12 GMT+0800 (Malay Peninsula Standard Time),,s10w121,label,"N"
Fri Sep 04 2015 15:16:14 GMT+0800 (Malay Peninsula Standard Time),,s10w125,focus,
Fri Sep 04 2015 15:16:14 GMT+0800 (Malay Peninsula Standard Time),,s10w125,focus,
Fri Sep 04 2015 15:16:14 GMT+0800 (Malay Peninsula Standard Time),,s10w125,label,"N"
Fri Sep 04 2015 15:16:17 GMT+0800 (Malay Peninsula Standard Time),,s10w128,focus,
Fri Sep 04 2015 15:16:17 GMT+0800 (Malay Peninsula Standard Time),,s10w128,focus,
Fri Sep 04 2015 15:16:18 GMT+0800 (Malay Peninsula Standard Time),,s10w128,label,"N"
Fri Sep 04 2015 15:16:19 GMT+0800 (Malay Peninsula Standard Time),,s10w129,focus,
Fri Sep 04 2015 15:16:19 GMT+0800 (Malay Peninsula Standard Time),,s10w129,focus,
Fri Sep 04 2015 15:16:21 GMT+0800 (Malay Peninsula Standard Time),,s10w131,focus,
Fri Sep 04 2015 15:16:21 GMT+0800 (Malay Peninsula Standard Time),,s10w131,focus,
Fri Sep 04 2015 15:16:21 GMT+0800 (Malay Peninsula Standard Time),,s10w131,label,"V"
Fri Sep 04 2015 15:16:26 GMT+0800 (Malay Peninsula Standard Time),,s10w137,focus,
Fri Sep 04 2015 15:16:26 GMT+0800 (Malay Peninsula Standard Time),,s10w137,focus,
Fri Sep 04 2015 15:16:27 GMT+0800 (Malay Peninsula Standard Time),,s10w137,label,"^"
Fri Sep 04 2015 15:16:27 GMT+0800 (Malay Peninsula Standard Time),,s10w165,focus,
Fri Sep 04 2015 15:16:27 GMT+0800 (Malay Peninsula Standard Time),,s10w165,focus,
Fri Sep 04 2015 15:16:29 GMT+0800 (Malay Peninsula Standard Time),,s10w140,focus,
Fri Sep 04 2015 15:16:29 GMT+0800 (Malay Peninsula Standard Time),,s10w140,focus,
Fri Sep 04 2015 15:16:30 GMT+0800 (Malay Peninsula Standard Time),,s10w140,label,"V"
Fri Sep 04 2015 15:16:30 GMT+0800 (Malay Peninsula Standard Time),,s10w160,focus,
Fri Sep 04 2015 15:16:30 GMT+0800 (Malay Peninsula Standard Time),,s10w160,focus,
Fri Sep 04 2015 15:16:38 GMT+0800 (Malay Peninsula Standard Time),,s10w160,focus,
Fri Sep 04 2015 15:16:39 GMT+0800 (Malay Peninsula Standard Time),,s10w140,focus,
Fri Sep 04 2015 15:16:39 GMT+0800 (Malay Peninsula Standard Time),,s10w140,focus,
Fri Sep 04 2015 15:16:39 GMT+0800 (Malay Peninsula Standard Time),,s10w140,label,"P"
Fri Sep 04 2015 15:16:40 GMT+0800 (Malay Peninsula Standard Time),,s10w161,focus,
Fri Sep 04 2015 15:16:40 GMT+0800 (Malay Peninsula Standard Time),,s10w161,focus,
Fri Sep 04 2015 15:16:43 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:16:43 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:16:48 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:16:52 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:16:55 GMT+0800 (Malay Peninsula Standard Time),,s10w144,focus,
Fri Sep 04 2015 15:16:55 GMT+0800 (Malay Peninsula Standard Time),,s10w144,focus,
Fri Sep 04 2015 15:16:55 GMT+0800 (Malay Peninsula Standard Time),,s10w144,label,"N"
Fri Sep 04 2015 15:16:59 GMT+0800 (Malay Peninsula Standard Time),,s10w146,focus,
Fri Sep 04 2015 15:16:59 GMT+0800 (Malay Peninsula Standard Time),,s10w146,focus,
Fri Sep 04 2015 15:16:59 GMT+0800 (Malay Peninsula Standard Time),,s10w146,label,"V"
Fri Sep 04 2015 15:17:00 GMT+0800 (Malay Peninsula Standard Time),,s10w145,focus,
Fri Sep 04 2015 15:17:00 GMT+0800 (Malay Peninsula Standard Time),,s10w145,focus,
Fri Sep 04 2015 15:17:01 GMT+0800 (Malay Peninsula Standard Time),,s10w145,label,"N"
Fri Sep 04 2015 15:17:03 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:17:03 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:17:04 GMT+0800 (Malay Peninsula Standard Time),,s10w143,label,"N"
Fri Sep 04 2015 15:17:04 GMT+0800 (Malay Peninsula Standard Time),,s10w162,focus,
Fri Sep 04 2015 15:17:04 GMT+0800 (Malay Peninsula Standard Time),,s10w162,focus,
Fri Sep 04 2015 15:17:08 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:17:08 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:17:11 GMT+0800 (Malay Peninsula Standard Time),,s10w143,focus,
Fri Sep 04 2015 15:17:16 GMT+0800 (Malay Peninsula Standard Time),,s10w143,label,"A"
Fri Sep 04 2015 15:17:16 GMT+0800 (Malay Peninsula Standard Time),,s10w163,focus,
Fri Sep 04 2015 15:17:16 GMT+0800 (Malay Peninsula Standard Time),,s10w163,focus,
Fri Sep 04 2015 15:17:28 GMT+0800 (Malay Peninsula Standard Time),,s10w163,focus,
Fri Sep 04 2015 15:17:29 GMT+0800 (Malay Peninsula Standard Time),,s10w145,focus,
Fri Sep 04 2015 15:17:29 GMT+0800 (Malay Peninsula Standard Time),,s10w145,focus,
Fri Sep 04 2015 15:17:30 GMT+0800 (Malay Peninsula Standard Time),,s10w145,label,"A"
Fri Sep 04 2015 15:18:08 GMT+0800 (Malay Peninsula Standard Time),,s10w163,focus,
Fri Sep 04 2015 15:18:08 GMT+0800 (Malay Peninsula Standard Time),,s10w163,focus,
Fri Sep 04 2015 15:18:08 GMT+0800 (Malay Peninsula Standard Time),,s10w163,label,"N"
Fri Sep 04 2015 15:18:12 GMT+0800 (Malay Peninsula Standard Time),,s10w165,focus,
Fri Sep 04 2015 15:18:12 GMT+0800 (Malay Peninsula Standard Time),,s10w165,focus,
Fri Sep 04 2015 15:18:12 GMT+0800 (Malay Peninsula Standard Time),,s10w165,label,"N"
Fri Sep 04 2015 15:18:13 GMT+0800 (Malay Peninsula Standard Time),,s10w184,focus,
