Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1105117
Fri Sep 04 2015 14:50:52 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1105117
Fri Sep 04 2015 14:50:55 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:50:55 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:51:05 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:51:10 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:51:12 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:51:15 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:51:16 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"A"
Fri Sep 04 2015 14:51:16 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 14:51:16 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 14:51:22 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 14:51:22 GMT+0800 (Malay Peninsula Standard Time),,s1w3,label,"^"
Fri Sep 04 2015 14:51:37 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 14:51:37 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 14:51:37 GMT+0800 (Malay Peninsula Standard Time),,s1w7,label,"^"
Fri Sep 04 2015 14:51:38 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Sep 04 2015 14:51:38 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Sep 04 2015 14:52:20 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Sep 04 2015 14:52:20 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Sep 04 2015 14:52:21 GMT+0800 (Malay Peninsula Standard Time),,s1w10,label,"?"
Fri Sep 04 2015 14:52:24 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 14:52:24 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 14:52:24 GMT+0800 (Malay Peninsula Standard Time),,s1w14,label,"?"
Fri Sep 04 2015 14:52:47 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 14:52:47 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 14:52:47 GMT+0800 (Malay Peninsula Standard Time),,s1w28,label,"^"
Fri Sep 04 2015 14:52:48 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Sep 04 2015 14:52:48 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Sep 04 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s1w53,focus,
Fri Sep 04 2015 14:52:53 GMT+0800 (Malay Peninsula Standard Time),,s1w53,focus,
Fri Sep 04 2015 14:52:54 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 14:52:54 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 14:52:56 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Fri Sep 04 2015 14:52:57 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 14:52:57 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Sep 04 2015 14:52:58 GMT+0800 (Malay Peninsula Standard Time),,s1w37,label,"^"
Fri Sep 04 2015 14:52:59 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Fri Sep 04 2015 14:52:59 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Fri Sep 04 2015 14:53:08 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Fri Sep 04 2015 14:53:08 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Fri Sep 04 2015 14:53:08 GMT+0800 (Malay Peninsula Standard Time),,s1w52,label,"D"
Fri Sep 04 2015 14:53:12 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 14:53:12 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 14:53:13 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
