Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1060463
Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1060463
Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1060463
Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1060463
Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1060463
Fri Sep 04 2015 00:48:42 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1060463
Fri Sep 04 2015 00:49:18 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 00:49:18 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 00:49:20 GMT+0800 (Malay Peninsula Standard Time),,s0w2,label,"^"
Fri Sep 04 2015 00:49:42 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Fri Sep 04 2015 00:49:43 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Fri Sep 04 2015 00:49:44 GMT+0800 (Malay Peninsula Standard Time),,s1w40,label,"^"
Fri Sep 04 2015 00:49:58 GMT+0800 (Malay Peninsula Standard Time),,s1w77,focus,
Fri Sep 04 2015 00:49:58 GMT+0800 (Malay Peninsula Standard Time),,s1w77,focus,
Fri Sep 04 2015 00:49:59 GMT+0800 (Malay Peninsula Standard Time),,s1w77,label,"^"
Fri Sep 04 2015 00:50:08 GMT+0800 (Malay Peninsula Standard Time),,s1w77,focus,
Fri Sep 04 2015 00:50:13 GMT+0800 (Malay Peninsula Standard Time),,s3w2,focus,
Fri Sep 04 2015 00:50:13 GMT+0800 (Malay Peninsula Standard Time),,s3w2,focus,
Fri Sep 04 2015 00:50:35 GMT+0800 (Malay Peninsula Standard Time),,s3w2,label,","
Fri Sep 04 2015 00:50:43 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Fri Sep 04 2015 00:50:43 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Fri Sep 04 2015 00:50:44 GMT+0800 (Malay Peninsula Standard Time),,s3w21,label,"^"
Fri Sep 04 2015 00:50:51 GMT+0800 (Malay Peninsula Standard Time),,s3w43,focus,
Fri Sep 04 2015 00:51:16 GMT+0800 (Malay Peninsula Standard Time),,s3w51,focus,
Fri Sep 04 2015 00:51:16 GMT+0800 (Malay Peninsula Standard Time),,s3w51,focus,
Fri Sep 04 2015 00:51:17 GMT+0800 (Malay Peninsula Standard Time),,s3w51,label,","
Fri Sep 04 2015 00:51:23 GMT+0800 (Malay Peninsula Standard Time),,s3w56,focus,
Fri Sep 04 2015 00:51:23 GMT+0800 (Malay Peninsula Standard Time),,s3w56,focus,
Fri Sep 04 2015 00:51:23 GMT+0800 (Malay Peninsula Standard Time),,s3w56,label,"^"
Fri Sep 04 2015 00:51:28 GMT+0800 (Malay Peninsula Standard Time),,s3w70,focus,
Fri Sep 04 2015 00:51:28 GMT+0800 (Malay Peninsula Standard Time),,s3w70,focus,
Fri Sep 04 2015 00:51:29 GMT+0800 (Malay Peninsula Standard Time),,s3w70,label,"^"
Fri Sep 04 2015 00:51:38 GMT+0800 (Malay Peninsula Standard Time),,s4w8,focus,
Fri Sep 04 2015 00:51:38 GMT+0800 (Malay Peninsula Standard Time),,s4w8,focus,
Fri Sep 04 2015 00:51:39 GMT+0800 (Malay Peninsula Standard Time),,s4w8,label,"^"
Fri Sep 04 2015 00:51:52 GMT+0800 (Malay Peninsula Standard Time),,s5w3,focus,
Fri Sep 04 2015 00:51:53 GMT+0800 (Malay Peninsula Standard Time),,s5w3,focus,
Fri Sep 04 2015 00:51:53 GMT+0800 (Malay Peninsula Standard Time),,s5w3,label,"N"
Fri Sep 04 2015 00:51:58 GMT+0800 (Malay Peninsula Standard Time),,s5w13,focus,
Fri Sep 04 2015 00:51:58 GMT+0800 (Malay Peninsula Standard Time),,s5w13,focus,
Fri Sep 04 2015 00:51:59 GMT+0800 (Malay Peninsula Standard Time),,s5w13,label,"^"
Fri Sep 04 2015 00:52:09 GMT+0800 (Malay Peninsula Standard Time),,s5w23,focus,
Fri Sep 04 2015 00:52:09 GMT+0800 (Malay Peninsula Standard Time),,s5w23,focus,
Fri Sep 04 2015 00:52:10 GMT+0800 (Malay Peninsula Standard Time),,s5w23,label,"V"
Fri Sep 04 2015 00:52:14 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
