Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,1109008
Fri Sep 04 2015 15:21:02 GMT+0800 (Malay Peninsula Standard Time),,s14,twitterId,1109008
Fri Sep 04 2015 15:21:40 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 15:21:40 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 15:21:41 GMT+0800 (Malay Peninsula Standard Time),,s0w10,label,"N"
Fri Sep 04 2015 15:22:05 GMT+0800 (Malay Peninsula Standard Time),,s2w10,focus,
Fri Sep 04 2015 15:22:05 GMT+0800 (Malay Peninsula Standard Time),,s2w10,focus,
Fri Sep 04 2015 15:22:06 GMT+0800 (Malay Peninsula Standard Time),,s2w10,label,"$"
Fri Sep 04 2015 15:22:24 GMT+0800 (Malay Peninsula Standard Time),,s2w23,focus,
Fri Sep 04 2015 15:22:25 GMT+0800 (Malay Peninsula Standard Time),,s2w23,focus,
Fri Sep 04 2015 15:22:25 GMT+0800 (Malay Peninsula Standard Time),,s2w23,label,"^"
