Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s0,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s1,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s2,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s3,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s4,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s5,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s6,twitterId,64843
Fri Aug 21 2015 16:02:03 GMT+0800 (中国标准时间),,s7,twitterId,64843
Fri Aug 21 2015 16:02:08 GMT+0800 (中国标准时间),,s0w13,focus,
Fri Aug 21 2015 16:02:08 GMT+0800 (中国标准时间),,s0w13,focus,
Fri Aug 21 2015 16:02:10 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 16:02:10 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 16:02:12 GMT+0800 (中国标准时间),,s0w3,label,"^"
Fri Aug 21 2015 16:02:28 GMT+0800 (中国标准时间),,s0w3,label,"N"
Fri Aug 21 2015 16:02:31 GMT+0800 (中国标准时间),,s0w5,focus,
Fri Aug 21 2015 16:02:31 GMT+0800 (中国标准时间),,s0w5,focus,
Fri Aug 21 2015 16:02:37 GMT+0800 (中国标准时间),,s0w5,label,"V"
Fri Aug 21 2015 16:02:46 GMT+0800 (中国标准时间),,s0w9,focus,
Fri Aug 21 2015 16:02:46 GMT+0800 (中国标准时间),,s0w9,focus,
Fri Aug 21 2015 16:02:48 GMT+0800 (中国标准时间),,s0w9,label,"^"
Fri Aug 21 2015 16:03:40 GMT+0800 (中国标准时间),,s1w16,focus,
Fri Aug 21 2015 16:03:40 GMT+0800 (中国标准时间),,s1w16,focus,
Fri Aug 21 2015 16:03:42 GMT+0800 (中国标准时间),,s1w16,label,"^"
Fri Aug 21 2015 16:04:21 GMT+0800 (中国标准时间),,s1w29,focus,
Fri Aug 21 2015 16:04:21 GMT+0800 (中国标准时间),,s1w29,focus,
Fri Aug 21 2015 16:04:25 GMT+0800 (中国标准时间),,s1w33,focus,
Fri Aug 21 2015 16:04:25 GMT+0800 (中国标准时间),,s1w33,focus,
Fri Aug 21 2015 16:04:28 GMT+0800 (中国标准时间),,s1w33,label,"^"
Fri Aug 21 2015 16:04:30 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 16:04:30 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 16:04:31 GMT+0800 (中国标准时间),,s1w37,focus,
Fri Aug 21 2015 16:04:31 GMT+0800 (中国标准时间),,s1w37,focus,
Fri Aug 21 2015 16:04:33 GMT+0800 (中国标准时间),,s1w37,label,"^"
Fri Aug 21 2015 16:04:36 GMT+0800 (中国标准时间),,s1w42,focus,
Fri Aug 21 2015 16:04:36 GMT+0800 (中国标准时间),,s1w42,focus,
Fri Aug 21 2015 16:04:38 GMT+0800 (中国标准时间),,s1w42,label,"^"
Fri Aug 21 2015 16:04:47 GMT+0800 (中国标准时间),,s1w45,focus,
Fri Aug 21 2015 16:04:47 GMT+0800 (中国标准时间),,s1w45,focus,
Fri Aug 21 2015 16:05:13 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 16:05:13 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 16:05:16 GMT+0800 (中国标准时间),,s1w55,focus,
Fri Aug 21 2015 16:05:16 GMT+0800 (中国标准时间),,s1w55,focus,
Fri Aug 21 2015 16:05:17 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 16:05:17 GMT+0800 (中国标准时间),,s1w46,focus,
Fri Aug 21 2015 16:05:18 GMT+0800 (中国标准时间),,s1w45,focus,
Fri Aug 21 2015 16:05:18 GMT+0800 (中国标准时间),,s1w45,focus,
