Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s0,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s1,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s2,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s3,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s4,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s5,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s6,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s7,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s8,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s9,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s10,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s11,twitterId,64010
Fri Aug 21 2015 15:34:56 GMT+0800 (中国标准时间),,s12,twitterId,64010
Fri Aug 21 2015 15:36:55 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 15:36:55 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 15:36:57 GMT+0800 (中国标准时间),,s0w4,label,"N"
Fri Aug 21 2015 15:37:02 GMT+0800 (中国标准时间),,s0w8,focus,
Fri Aug 21 2015 15:37:02 GMT+0800 (中国标准时间),,s0w8,focus,
Fri Aug 21 2015 15:37:04 GMT+0800 (中国标准时间),,s0w8,label,"^"
Fri Aug 21 2015 15:37:20 GMT+0800 (中国标准时间),,s0w8,label,"V"
Fri Aug 21 2015 15:37:24 GMT+0800 (中国标准时间),,s0w8,label,"^"
Fri Aug 21 2015 15:37:24 GMT+0800 (中国标准时间),,s0w9,focus,
Fri Aug 21 2015 15:37:24 GMT+0800 (中国标准时间),,s0w10,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s0w11,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s1w1,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s1w2,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s1w3,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s1w4,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s1w5,focus,
Fri Aug 21 2015 15:37:25 GMT+0800 (中国标准时间),,s1w6,focus,
Fri Aug 21 2015 15:37:26 GMT+0800 (中国标准时间),,s1w7,focus,
Fri Aug 21 2015 15:37:26 GMT+0800 (中国标准时间),,s1w8,focus,
Fri Aug 21 2015 15:37:26 GMT+0800 (中国标准时间),,s1w9,focus,
Fri Aug 21 2015 15:37:28 GMT+0800 (中国标准时间),,s1w8,focus,
Fri Aug 21 2015 15:37:29 GMT+0800 (中国标准时间),,s1w8,label,"V"
Fri Aug 21 2015 15:38:13 GMT+0800 (中国标准时间),,s1w40,focus,
Fri Aug 21 2015 15:38:13 GMT+0800 (中国标准时间),,s1w40,focus,
Fri Aug 21 2015 15:38:16 GMT+0800 (中国标准时间),,s1w40,label,"^"
Fri Aug 21 2015 15:38:22 GMT+0800 (中国标准时间),,s1w44,focus,
Fri Aug 21 2015 15:38:22 GMT+0800 (中国标准时间),,s1w44,focus,
Fri Aug 21 2015 15:40:34 GMT+0800 (中国标准时间),,s1w114,focus,
Fri Aug 21 2015 15:40:34 GMT+0800 (中国标准时间),,s1w114,focus,
Fri Aug 21 2015 15:40:36 GMT+0800 (中国标准时间),,s1w114,label,"V"
Fri Aug 21 2015 15:42:57 GMT+0800 (中国标准时间),,s1w114,focus,
Fri Aug 21 2015 15:43:25 GMT+0800 (中国标准时间),,s1w136,focus,
Fri Aug 21 2015 15:43:25 GMT+0800 (中国标准时间),,s1w136,focus,
Fri Aug 21 2015 15:43:26 GMT+0800 (中国标准时间),,s1w136,label,"N"
