Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,173617
Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,173617
Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,173617
Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,173617
Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,173617
Wed Sep 02 2015 18:17:10 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,173617
Wed Sep 02 2015 18:17:17 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Wed Sep 02 2015 18:17:18 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Wed Sep 02 2015 18:17:19 GMT+0800 (Malay Peninsula Standard Time),,s0w6,label,"^"
Wed Sep 02 2015 18:17:20 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Wed Sep 02 2015 18:17:20 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Wed Sep 02 2015 18:17:20 GMT+0800 (Malay Peninsula Standard Time),,s0w11,label,"^"
Wed Sep 02 2015 18:17:22 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Wed Sep 02 2015 18:17:22 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Wed Sep 02 2015 18:17:23 GMT+0800 (Malay Peninsula Standard Time),,s1w7,label,"^"
Wed Sep 02 2015 18:17:25 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Wed Sep 02 2015 18:17:25 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Wed Sep 02 2015 18:17:25 GMT+0800 (Malay Peninsula Standard Time),,s1w12,label,"N"
Wed Sep 02 2015 18:17:33 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Wed Sep 02 2015 18:17:33 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Wed Sep 02 2015 18:17:34 GMT+0800 (Malay Peninsula Standard Time),,s2w9,label,"^"
Wed Sep 02 2015 18:17:40 GMT+0800 (Malay Peninsula Standard Time),,s3w13,focus,
Wed Sep 02 2015 18:17:40 GMT+0800 (Malay Peninsula Standard Time),,s3w13,focus,
Wed Sep 02 2015 18:17:40 GMT+0800 (Malay Peninsula Standard Time),,s3w13,label,"^"
Wed Sep 02 2015 18:17:42 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Wed Sep 02 2015 18:17:42 GMT+0800 (Malay Peninsula Standard Time),,s3w18,focus,
Wed Sep 02 2015 18:17:42 GMT+0800 (Malay Peninsula Standard Time),,s3w18,label,"^"
Wed Sep 02 2015 18:17:46 GMT+0800 (Malay Peninsula Standard Time),,s3w33,focus,
Wed Sep 02 2015 18:17:46 GMT+0800 (Malay Peninsula Standard Time),,s3w33,focus,
Wed Sep 02 2015 18:17:55 GMT+0800 (Malay Peninsula Standard Time),,s4w22,focus,
Wed Sep 02 2015 18:17:55 GMT+0800 (Malay Peninsula Standard Time),,s4w22,focus,
Wed Sep 02 2015 18:17:57 GMT+0800 (Malay Peninsula Standard Time),,s4w22,label,"E"
Wed Sep 02 2015 18:18:03 GMT+0800 (Malay Peninsula Standard Time),,s5w10,focus,
Wed Sep 02 2015 18:18:03 GMT+0800 (Malay Peninsula Standard Time),,s5w10,focus,
Wed Sep 02 2015 18:18:04 GMT+0800 (Malay Peninsula Standard Time),,s5w10,label,"^"
Wed Sep 02 2015 18:18:06 GMT+0800 (Malay Peninsula Standard Time),,s5w13,focus,
Wed Sep 02 2015 18:18:06 GMT+0800 (Malay Peninsula Standard Time),,s5w13,focus,
Wed Sep 02 2015 18:18:10 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
