Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s0,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s1,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s2,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s3,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s4,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s5,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s6,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s7,twitterId,66840
Fri Aug 21 2015 16:18:42 GMT+0800 (中国标准时间),,s8,twitterId,66840
Fri Aug 21 2015 16:18:49 GMT+0800 (中国标准时间),,s0w5,focus,
Fri Aug 21 2015 16:18:49 GMT+0800 (中国标准时间),,s0w5,focus,
Fri Aug 21 2015 16:18:51 GMT+0800 (中国标准时间),,s0w5,label,"^"
Fri Aug 21 2015 16:18:57 GMT+0800 (中国标准时间),,s1w11,focus,
Fri Aug 21 2015 16:18:57 GMT+0800 (中国标准时间),,s1w11,focus,
Fri Aug 21 2015 16:18:59 GMT+0800 (中国标准时间),,s1w11,label,"^"
Fri Aug 21 2015 16:20:12 GMT+0800 (中国标准时间),,s1w57,focus,
Fri Aug 21 2015 16:20:12 GMT+0800 (中国标准时间),,s1w57,focus,
Fri Aug 21 2015 16:20:13 GMT+0800 (中国标准时间),,s1w57,label,"^"
Fri Aug 21 2015 16:20:17 GMT+0800 (中国标准时间),,s1w61,focus,
Fri Aug 21 2015 16:20:17 GMT+0800 (中国标准时间),,s1w61,focus,
Fri Aug 21 2015 16:20:18 GMT+0800 (中国标准时间),,s1w61,label,"N"
Fri Aug 21 2015 16:20:23 GMT+0800 (中国标准时间),,s1w73,focus,
Fri Aug 21 2015 16:20:23 GMT+0800 (中国标准时间),,s1w73,focus,
