Fri Aug 21 2015 16:32:19 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 16:32:19 GMT+0800 (中国标准时间),,s0,twitterId,70554
Fri Aug 21 2015 16:32:19 GMT+0800 (中国标准时间),,s1,twitterId,70554
Fri Aug 21 2015 16:32:19 GMT+0800 (中国标准时间),,s2,twitterId,70554
Fri Aug 21 2015 16:32:19 GMT+0800 (中国标准时间),,s3,twitterId,70554
Fri Aug 21 2015 16:33:26 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 16:33:26 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 16:33:27 GMT+0800 (中国标准时间),,s0w3,label,"V"
Fri Aug 21 2015 16:34:37 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 16:34:39 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 16:34:39 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 16:34:41 GMT+0800 (中国标准时间),,s0w4,label,"N"
Fri Aug 21 2015 16:34:43 GMT+0800 (中国标准时间),,s1w9,focus,
Fri Aug 21 2015 16:34:43 GMT+0800 (中国标准时间),,s1w9,focus,
Fri Aug 21 2015 16:34:43 GMT+0800 (中国标准时间),,s1w9,label,"N"
Fri Aug 21 2015 16:35:15 GMT+0800 (中国标准时间),,s1w45,focus,
Fri Aug 21 2015 16:35:15 GMT+0800 (中国标准时间),,s1w45,focus,
Fri Aug 21 2015 16:35:16 GMT+0800 (中国标准时间),,s1w45,label,"N"
Fri Aug 21 2015 16:35:18 GMT+0800 (中国标准时间),,s1w47,focus,
Fri Aug 21 2015 16:35:18 GMT+0800 (中国标准时间),,s1w47,focus,
Fri Aug 21 2015 16:35:19 GMT+0800 (中国标准时间),,s1w47,label,"^"
Fri Aug 21 2015 16:35:32 GMT+0800 (中国标准时间),,s1w72,focus,
Fri Aug 21 2015 16:35:33 GMT+0800 (中国标准时间),,s1w72,focus,
Fri Aug 21 2015 16:37:48 GMT+0800 (中国标准时间),,s3w20,focus,
Fri Aug 21 2015 16:37:48 GMT+0800 (中国标准时间),,s3w20,focus,
Fri Aug 21 2015 16:37:49 GMT+0800 (中国标准时间),,s3w20,label,"N"
Fri Aug 21 2015 16:38:06 GMT+0800 (中国标准时间),,s3w34,focus,
Fri Aug 21 2015 16:38:06 GMT+0800 (中国标准时间),,s3w34,focus,
Fri Aug 21 2015 16:38:07 GMT+0800 (中国标准时间),,s3w33,focus,
Fri Aug 21 2015 16:38:07 GMT+0800 (中国标准时间),,s3w33,focus,
Fri Aug 21 2015 16:38:08 GMT+0800 (中国标准时间),,s3w33,label,"V"
Fri Aug 21 2015 16:38:09 GMT+0800 (中国标准时间),,s3w34,focus,
Fri Aug 21 2015 16:38:09 GMT+0800 (中国标准时间),,s3w34,focus,
Fri Aug 21 2015 16:38:10 GMT+0800 (中国标准时间),,s3w34,label,"A"
Fri Aug 21 2015 16:38:16 GMT+0800 (中国标准时间),,s3w40,focus,
Fri Aug 21 2015 16:38:16 GMT+0800 (中国标准时间),,s3w40,focus,
Fri Aug 21 2015 16:38:17 GMT+0800 (中国标准时间),,s3w40,label,"A"
Fri Aug 21 2015 16:38:19 GMT+0800 (中国标准时间),,s3w41,focus,
Fri Aug 21 2015 16:38:19 GMT+0800 (中国标准时间),,s3w41,focus,
Fri Aug 21 2015 16:38:20 GMT+0800 (中国标准时间),,s3w41,label,"^"
Fri Aug 21 2015 16:38:22 GMT+0800 (中国标准时间),,s3w44,focus,
Fri Aug 21 2015 16:38:22 GMT+0800 (中国标准时间),,s3w44,focus,
Fri Aug 21 2015 16:38:35 GMT+0800 (中国标准时间),,s3w44,label,"^"
Fri Aug 21 2015 16:38:37 GMT+0800 (中国标准时间),,,submitPage,
