Fri Aug 21 2015 15:08:59 GMT+0800 (中国标准时间),,,pageReady,0:100:100
Fri Aug 21 2015 15:08:59 GMT+0800 (中国标准时间),,s0,twitterId,57034
Fri Aug 21 2015 15:08:59 GMT+0800 (中国标准时间),,s1,twitterId,57034
Fri Aug 21 2015 15:08:59 GMT+0800 (中国标准时间),,s2,twitterId,57034
Fri Aug 21 2015 15:11:40 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:11:40 GMT+0800 (中国标准时间),,s0w1,focus,
Fri Aug 21 2015 15:12:17 GMT+0800 (中国标准时间),,s0w1,label,"^"
Fri Aug 21 2015 15:12:30 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:12:30 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 15:12:32 GMT+0800 (中国标准时间),,s0w2,focus,
Fri Aug 21 2015 15:12:37 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 15:12:40 GMT+0800 (中国标准时间),,s1w4,focus,
Fri Aug 21 2015 15:12:40 GMT+0800 (中国标准时间),,s1w4,focus,
Fri Aug 21 2015 15:12:44 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 15:12:44 GMT+0800 (中国标准时间),,s0w3,focus,
Fri Aug 21 2015 15:12:45 GMT+0800 (中国标准时间),,s0w3,label,"A"
Fri Aug 21 2015 15:12:53 GMT+0800 (中国标准时间),,s0w3,label,"^"
Fri Aug 21 2015 15:13:52 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 15:13:52 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 15:15:26 GMT+0800 (中国标准时间),,s0w4,focus,
Fri Aug 21 2015 15:15:27 GMT+0800 (中国标准时间),,s1w2,focus,
Fri Aug 21 2015 15:15:27 GMT+0800 (中国标准时间),,s1w2,focus,
Fri Aug 21 2015 15:16:26 GMT+0800 (中国标准时间),,s1w3,focus,
Fri Aug 21 2015 15:16:26 GMT+0800 (中国标准时间),,s1w3,focus,
Fri Aug 21 2015 15:19:14 GMT+0800 (中国标准时间),,s1w3,focus,
Fri Aug 21 2015 15:22:03 GMT+0800 (中国标准时间),,s1w3,focus,
Fri Aug 21 2015 15:29:15 GMT+0800 (中国标准时间),,s1w71,focus,
Fri Aug 21 2015 15:29:15 GMT+0800 (中国标准时间),,s1w71,focus,
Fri Aug 21 2015 15:29:20 GMT+0800 (中国标准时间),,s1w71,label,"^"
Fri Aug 21 2015 15:29:21 GMT+0800 (中国标准时间),,s1w72,focus,
Fri Aug 21 2015 15:29:21 GMT+0800 (中国标准时间),,s1w72,focus,
Fri Aug 21 2015 15:29:31 GMT+0800 (中国标准时间),,s1w74,focus,
Fri Aug 21 2015 15:29:31 GMT+0800 (中国标准时间),,s1w74,focus,
Fri Aug 21 2015 15:29:36 GMT+0800 (中国标准时间),,s1w74,label,"^"
Fri Aug 21 2015 15:30:27 GMT+0800 (中国标准时间),,s1w116,focus,
Fri Aug 21 2015 15:30:27 GMT+0800 (中国标准时间),,s1w116,focus,
Fri Aug 21 2015 15:30:28 GMT+0800 (中国标准时间),,s1w116,label,"N"
Fri Aug 21 2015 15:33:30 GMT+0800 (中国标准时间),,s1w186,focus,
Fri Aug 21 2015 15:33:30 GMT+0800 (中国标准时间),,s1w186,focus,
Fri Aug 21 2015 15:33:31 GMT+0800 (中国标准时间),,s1w176,focus,
Fri Aug 21 2015 15:33:31 GMT+0800 (中国标准时间),,s1w176,focus,
Fri Aug 21 2015 15:33:40 GMT+0800 (中国标准时间),,s1w176,label,"A"
Fri Aug 21 2015 15:34:45 GMT+0800 (中国标准时间),,,submitPage,
