Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,129451
Wed Sep 02 2015 17:02:44 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,129451
Wed Sep 02 2015 17:03:25 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Wed Sep 02 2015 17:03:25 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Wed Sep 02 2015 17:03:26 GMT+0800 (Malay Peninsula Standard Time),,s1w63,label,"D"
Wed Sep 02 2015 17:03:26 GMT+0800 (Malay Peninsula Standard Time),,s1w83,focus,
Wed Sep 02 2015 17:03:26 GMT+0800 (Malay Peninsula Standard Time),,s1w83,focus,
Wed Sep 02 2015 17:03:46 GMT+0800 (Malay Peninsula Standard Time),,s2w5,focus,
