Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s14,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s15,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s16,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s17,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s18,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s19,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s20,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s21,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s22,twitterId,542564
Fri Aug 21 2015 15:28:49 GMT+0800 (Malay Peninsula Standard Time),,s23,twitterId,542564
Fri Aug 21 2015 15:30:08 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 15:30:08 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 15:30:13 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 15:30:19 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 15:30:21 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 15:30:22 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 15:30:22 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Aug 21 2015 15:30:23 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Aug 21 2015 15:30:27 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Aug 21 2015 15:31:15 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Aug 21 2015 15:31:26 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Aug 21 2015 15:31:28 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Aug 21 2015 15:31:29 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Aug 21 2015 15:31:29 GMT+0800 (Malay Peninsula Standard Time),,s0w13,focus,
Fri Aug 21 2015 15:31:30 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 15:31:36 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 15:31:36 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Aug 21 2015 15:31:36 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Aug 21 2015 15:31:38 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Aug 21 2015 15:31:39 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Aug 21 2015 15:31:40 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Aug 21 2015 15:31:40 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Aug 21 2015 15:31:42 GMT+0800 (Malay Peninsula Standard Time),,s1w8,label,"^"
Fri Aug 21 2015 15:31:43 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Aug 21 2015 15:31:43 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Aug 21 2015 15:31:44 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Aug 21 2015 15:32:03 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Aug 21 2015 15:32:03 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Aug 21 2015 15:32:04 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Aug 21 2015 15:32:04 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Aug 21 2015 15:32:05 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Aug 21 2015 15:32:10 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Aug 21 2015 15:32:12 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Aug 21 2015 15:32:12 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Fri Aug 21 2015 15:32:12 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Fri Aug 21 2015 15:32:14 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Fri Aug 21 2015 15:32:17 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Aug 21 2015 15:32:17 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Fri Aug 21 2015 15:32:18 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Fri Aug 21 2015 15:32:18 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Fri Aug 21 2015 15:32:19 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Aug 21 2015 15:32:21 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Aug 21 2015 15:32:23 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Aug 21 2015 15:32:23 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Aug 21 2015 15:32:26 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Fri Aug 21 2015 15:32:27 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Fri Aug 21 2015 15:32:30 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Fri Aug 21 2015 15:32:30 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Aug 21 2015 15:32:31 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Aug 21 2015 15:32:32 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Aug 21 2015 15:32:34 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Fri Aug 21 2015 15:33:04 GMT+0800 (Malay Peninsula Standard Time),,s1w36,label,"^"
Fri Aug 21 2015 15:33:10 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Aug 21 2015 15:33:11 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Fri Aug 21 2015 15:33:12 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Fri Aug 21 2015 15:33:12 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Fri Aug 21 2015 15:33:14 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Fri Aug 21 2015 15:33:16 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Fri Aug 21 2015 15:33:16 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Fri Aug 21 2015 15:33:17 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Fri Aug 21 2015 15:33:17 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Fri Aug 21 2015 15:33:21 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Fri Aug 21 2015 15:33:25 GMT+0800 (Malay Peninsula Standard Time),,s1w47,focus,
Fri Aug 21 2015 15:33:26 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Fri Aug 21 2015 15:33:28 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Fri Aug 21 2015 15:33:28 GMT+0800 (Malay Peninsula Standard Time),,s1w50,focus,
Fri Aug 21 2015 15:33:29 GMT+0800 (Malay Peninsula Standard Time),,s1w51,focus,
Fri Aug 21 2015 15:33:30 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Fri Aug 21 2015 15:33:30 GMT+0800 (Malay Peninsula Standard Time),,s1w53,focus,
Fri Aug 21 2015 15:34:00 GMT+0800 (Malay Peninsula Standard Time),,s1w54,focus,
Fri Aug 21 2015 15:34:01 GMT+0800 (Malay Peninsula Standard Time),,s1w55,focus,
Fri Aug 21 2015 15:34:01 GMT+0800 (Malay Peninsula Standard Time),,s1w56,focus,
Fri Aug 21 2015 15:34:02 GMT+0800 (Malay Peninsula Standard Time),,s1w57,focus,
Fri Aug 21 2015 15:34:02 GMT+0800 (Malay Peninsula Standard Time),,s1w58,focus,
Fri Aug 21 2015 15:34:15 GMT+0800 (Malay Peninsula Standard Time),,s1w59,focus,
Fri Aug 21 2015 15:34:16 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Fri Aug 21 2015 15:34:17 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Fri Aug 21 2015 15:34:18 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Fri Aug 21 2015 15:34:18 GMT+0800 (Malay Peninsula Standard Time),,s1w63,focus,
Fri Aug 21 2015 15:34:19 GMT+0800 (Malay Peninsula Standard Time),,s1w64,focus,
Fri Aug 21 2015 15:34:19 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Fri Aug 21 2015 15:34:26 GMT+0800 (Malay Peninsula Standard Time),,s1w65,label,"V"
Fri Aug 21 2015 15:34:44 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Fri Aug 21 2015 15:35:10 GMT+0800 (Malay Peninsula Standard Time),,s1w66,label,"X"
Fri Aug 21 2015 15:35:12 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Fri Aug 21 2015 15:35:12 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Fri Aug 21 2015 15:35:13 GMT+0800 (Malay Peninsula Standard Time),,s1w69,focus,
Fri Aug 21 2015 15:35:14 GMT+0800 (Malay Peninsula Standard Time),,s1w70,focus,
Fri Aug 21 2015 15:35:39 GMT+0800 (Malay Peninsula Standard Time),,s1w69,focus,
Fri Aug 21 2015 15:35:39 GMT+0800 (Malay Peninsula Standard Time),,s1w70,focus,
Fri Aug 21 2015 15:35:40 GMT+0800 (Malay Peninsula Standard Time),,s1w71,focus,
Fri Aug 21 2015 15:35:41 GMT+0800 (Malay Peninsula Standard Time),,s1w72,focus,
Fri Aug 21 2015 15:35:42 GMT+0800 (Malay Peninsula Standard Time),,s1w73,focus,
Fri Aug 21 2015 15:35:43 GMT+0800 (Malay Peninsula Standard Time),,s1w74,focus,
Fri Aug 21 2015 15:35:43 GMT+0800 (Malay Peninsula Standard Time),,s1w75,focus,
Fri Aug 21 2015 15:35:45 GMT+0800 (Malay Peninsula Standard Time),,s1w76,focus,
Fri Aug 21 2015 15:35:45 GMT+0800 (Malay Peninsula Standard Time),,s1w77,focus,
Fri Aug 21 2015 15:35:50 GMT+0800 (Malay Peninsula Standard Time),,s1w78,focus,
Fri Aug 21 2015 15:35:52 GMT+0800 (Malay Peninsula Standard Time),,s1w79,focus,
Fri Aug 21 2015 15:35:52 GMT+0800 (Malay Peninsula Standard Time),,s1w80,focus,
Fri Aug 21 2015 15:35:53 GMT+0800 (Malay Peninsula Standard Time),,s1w81,focus,
Fri Aug 21 2015 15:35:53 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Fri Aug 21 2015 15:35:53 GMT+0800 (Malay Peninsula Standard Time),,s1w83,focus,
Fri Aug 21 2015 15:35:54 GMT+0800 (Malay Peninsula Standard Time),,s1w82,focus,
Fri Aug 21 2015 15:35:56 GMT+0800 (Malay Peninsula Standard Time),,s1w82,label,"N"
Fri Aug 21 2015 15:35:56 GMT+0800 (Malay Peninsula Standard Time),,s1w83,focus,
Fri Aug 21 2015 15:35:57 GMT+0800 (Malay Peninsula Standard Time),,s1w84,focus,
Fri Aug 21 2015 15:35:57 GMT+0800 (Malay Peninsula Standard Time),,s1w85,focus,
Fri Aug 21 2015 15:35:58 GMT+0800 (Malay Peninsula Standard Time),,s1w86,focus,
Fri Aug 21 2015 15:35:59 GMT+0800 (Malay Peninsula Standard Time),,s1w87,focus,
Fri Aug 21 2015 15:36:01 GMT+0800 (Malay Peninsula Standard Time),,s1w88,focus,
Fri Aug 21 2015 15:36:01 GMT+0800 (Malay Peninsula Standard Time),,s1w89,focus,
Fri Aug 21 2015 15:36:02 GMT+0800 (Malay Peninsula Standard Time),,s1w90,focus,
Fri Aug 21 2015 15:36:03 GMT+0800 (Malay Peninsula Standard Time),,s1w91,focus,
Fri Aug 21 2015 15:36:04 GMT+0800 (Malay Peninsula Standard Time),,s1w92,focus,
Fri Aug 21 2015 15:36:04 GMT+0800 (Malay Peninsula Standard Time),,s1w93,focus,
Fri Aug 21 2015 15:36:22 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Fri Aug 21 2015 15:36:23 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Fri Aug 21 2015 15:36:30 GMT+0800 (Malay Peninsula Standard Time),,s2w3,focus,
Fri Aug 21 2015 15:36:31 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Fri Aug 21 2015 15:36:32 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
