Fri Sep 04 2015 16:43:05 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 16:43:05 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,629194
Fri Sep 04 2015 16:43:05 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,629194
Fri Sep 04 2015 16:43:05 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,629194
Fri Sep 04 2015 16:43:05 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,629194
Fri Sep 04 2015 16:43:05 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,629194
Fri Sep 04 2015 16:43:14 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:43:15 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:43:16 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 16:43:17 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 16:43:17 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 16:43:18 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 16:43:18 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 16:43:19 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Sep 04 2015 16:43:19 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Sep 04 2015 16:43:20 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Sep 04 2015 16:43:25 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 16:43:26 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Sep 04 2015 16:43:26 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Sep 04 2015 16:43:27 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Sep 04 2015 16:43:27 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Sep 04 2015 16:43:29 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 16:43:29 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Sep 04 2015 16:43:30 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 16:43:31 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Sep 04 2015 16:43:33 GMT+0800 (Malay Peninsula Standard Time),,s1w6,label,"G"
Fri Sep 04 2015 16:43:37 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 16:43:38 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 16:43:41 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Sep 04 2015 16:43:41 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Sep 04 2015 16:43:42 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Sep 04 2015 16:43:42 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Sep 04 2015 16:43:43 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Sep 04 2015 16:43:43 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 16:43:45 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Sep 04 2015 16:43:45 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
