Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,667320
Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,667320
Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,667320
Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,667320
Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,667320
Thu Sep 03 2015 19:24:31 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,667320
Thu Sep 03 2015 19:24:53 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Thu Sep 03 2015 19:24:53 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Thu Sep 03 2015 19:24:58 GMT+0800 (Malay Peninsula Standard Time),,s0,toggleMetadata,block
Thu Sep 03 2015 19:37:20 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Thu Sep 03 2015 19:37:20 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Thu Sep 03 2015 19:37:22 GMT+0800 (Malay Peninsula Standard Time),,s5w5,label,"^"
Thu Sep 03 2015 19:38:01 GMT+0800 (Malay Peninsula Standard Time),,s5w5,focus,
Thu Sep 03 2015 19:38:05 GMT+0800 (Malay Peninsula Standard Time),,s2,changeSentenceFlag,"Tokenization Error"
Thu Sep 03 2015 19:38:11 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 19:38:11 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 19:38:15 GMT+0800 (Malay Peninsula Standard Time),,s2,changeSentenceFlag,"Garbage"
Thu Sep 03 2015 19:38:20 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 19:38:20 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 19:38:22 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"N"
Thu Sep 03 2015 19:38:22 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 19:38:23 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Thu Sep 03 2015 19:38:23 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"N"
Thu Sep 03 2015 19:38:23 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Thu Sep 03 2015 19:38:24 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"N"
Thu Sep 03 2015 19:39:04 GMT+0800 (Malay Peninsula Standard Time),,s3,changeSentenceFlag,"Tokenization Error"
Thu Sep 03 2015 19:39:05 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Thu Sep 03 2015 19:39:06 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Thu Sep 03 2015 19:39:09 GMT+0800 (Malay Peninsula Standard Time),,s3w6,label,"G"
Thu Sep 03 2015 19:39:09 GMT+0800 (Malay Peninsula Standard Time),,s3w7,focus,
Thu Sep 03 2015 19:39:09 GMT+0800 (Malay Peninsula Standard Time),,s3w8,focus,
Thu Sep 03 2015 19:39:10 GMT+0800 (Malay Peninsula Standard Time),,s3w8,label,"G"
Thu Sep 03 2015 19:39:13 GMT+0800 (Malay Peninsula Standard Time),,s3w19,focus,
Thu Sep 03 2015 19:39:13 GMT+0800 (Malay Peninsula Standard Time),,s3w19,focus,
Thu Sep 03 2015 19:39:13 GMT+0800 (Malay Peninsula Standard Time),,s3w19,label,"G"
Thu Sep 03 2015 19:39:14 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Thu Sep 03 2015 19:39:14 GMT+0800 (Malay Peninsula Standard Time),,s3w21,focus,
Thu Sep 03 2015 19:39:14 GMT+0800 (Malay Peninsula Standard Time),,s3w21,label,"G"
Thu Sep 03 2015 19:39:15 GMT+0800 (Malay Peninsula Standard Time),,s3w20,focus,
Thu Sep 03 2015 19:39:15 GMT+0800 (Malay Peninsula Standard Time),,s3w20,focus,
Thu Sep 03 2015 19:39:17 GMT+0800 (Malay Peninsula Standard Time),,s3w20,label,"$"
Thu Sep 03 2015 19:39:24 GMT+0800 (Malay Peninsula Standard Time),,s3w23,focus,
Thu Sep 03 2015 19:39:24 GMT+0800 (Malay Peninsula Standard Time),,s3w23,focus,
Thu Sep 03 2015 19:39:27 GMT+0800 (Malay Peninsula Standard Time),,s3w23,label,"^"
Thu Sep 03 2015 19:39:28 GMT+0800 (Malay Peninsula Standard Time),,s3w24,focus,
Thu Sep 03 2015 19:39:29 GMT+0800 (Malay Peninsula Standard Time),,s3w24,label,"^"
Thu Sep 03 2015 19:39:29 GMT+0800 (Malay Peninsula Standard Time),,s3w25,focus,
Thu Sep 03 2015 19:39:32 GMT+0800 (Malay Peninsula Standard Time),,s3w25,label,"$"
Thu Sep 03 2015 19:39:49 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Thu Sep 03 2015 19:39:49 GMT+0800 (Malay Peninsula Standard Time),,s4w1,focus,
Thu Sep 03 2015 19:40:05 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
