Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,592024
Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,592024
Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,592024
Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,592024
Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,592024
Fri Aug 21 2015 17:04:36 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,592024
Fri Aug 21 2015 17:04:41 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 17:04:41 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 17:04:44 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 17:04:44 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 17:04:46 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 17:04:46 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 17:04:47 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Aug 21 2015 17:04:59 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Aug 21 2015 17:04:59 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Aug 21 2015 17:04:59 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Aug 21 2015 17:05:00 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Aug 21 2015 17:05:00 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Aug 21 2015 17:05:01 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Aug 21 2015 17:05:01 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 17:05:02 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 17:05:02 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
