Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,650377
Fri Sep 04 2015 16:45:40 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,650377
Fri Sep 04 2015 16:46:07 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:46:07 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:46:08 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 16:46:09 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 16:46:10 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"^"
Fri Sep 04 2015 16:46:10 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 16:46:11 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 16:46:11 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 16:46:12 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Sep 04 2015 16:46:13 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Sep 04 2015 16:46:13 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Sep 04 2015 16:46:14 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 16:46:15 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Sep 04 2015 16:46:15 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Sep 04 2015 16:46:16 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 16:46:17 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Sep 04 2015 16:46:17 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 16:46:17 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Sep 04 2015 16:46:19 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 16:46:19 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 16:46:19 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Sep 04 2015 16:46:20 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Sep 04 2015 16:46:21 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Sep 04 2015 16:46:21 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Sep 04 2015 16:46:22 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Sep 04 2015 16:46:23 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 16:46:23 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Sep 04 2015 16:46:23 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Sep 04 2015 16:46:23 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Sep 04 2015 16:46:24 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Sep 04 2015 16:46:24 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Fri Sep 04 2015 16:46:25 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Fri Sep 04 2015 16:46:25 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Fri Sep 04 2015 16:46:26 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Sep 04 2015 16:46:27 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Fri Sep 04 2015 16:46:28 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Fri Sep 04 2015 16:46:29 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Fri Sep 04 2015 16:46:30 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Sep 04 2015 16:46:30 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Sep 04 2015 16:46:30 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 16:46:31 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Sep 04 2015 16:46:32 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Fri Sep 04 2015 16:46:34 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Fri Sep 04 2015 16:46:35 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Fri Sep 04 2015 16:46:35 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Sep 04 2015 16:46:36 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Sep 04 2015 16:46:38 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Sep 04 2015 16:46:39 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Sep 04 2015 16:46:41 GMT+0800 (Malay Peninsula Standard Time),,s1w34,label,"^"
Fri Sep 04 2015 16:46:42 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Sep 04 2015 16:46:42 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Fri Sep 04 2015 16:46:43 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Fri Sep 04 2015 16:46:45 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Fri Sep 04 2015 16:46:46 GMT+0800 (Malay Peninsula Standard Time),,s2w3,focus,
Fri Sep 04 2015 16:46:48 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Fri Sep 04 2015 16:46:48 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Fri Sep 04 2015 16:46:50 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Fri Sep 04 2015 16:46:50 GMT+0800 (Malay Peninsula Standard Time),,s2w2,label,"G"
Fri Sep 04 2015 16:46:51 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Fri Sep 04 2015 16:46:51 GMT+0800 (Malay Peninsula Standard Time),,s2w1,label,"G"
Fri Sep 04 2015 16:46:51 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Fri Sep 04 2015 16:46:51 GMT+0800 (Malay Peninsula Standard Time),,s2w2,label,"G"
Fri Sep 04 2015 16:46:51 GMT+0800 (Malay Peninsula Standard Time),,s2w3,focus,
Fri Sep 04 2015 16:46:52 GMT+0800 (Malay Peninsula Standard Time),,s2w3,label,"G"
Fri Sep 04 2015 16:46:52 GMT+0800 (Malay Peninsula Standard Time),,s2w4,focus,
Fri Sep 04 2015 16:46:53 GMT+0800 (Malay Peninsula Standard Time),,s2w5,focus,
Fri Sep 04 2015 16:46:54 GMT+0800 (Malay Peninsula Standard Time),,s2w6,focus,
Fri Sep 04 2015 16:46:55 GMT+0800 (Malay Peninsula Standard Time),,s2w7,focus,
Fri Sep 04 2015 16:46:57 GMT+0800 (Malay Peninsula Standard Time),,s2w8,focus,
Fri Sep 04 2015 16:46:58 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Fri Sep 04 2015 16:46:58 GMT+0800 (Malay Peninsula Standard Time),,s2w10,focus,
Fri Sep 04 2015 16:46:59 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Fri Sep 04 2015 16:46:59 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Fri Sep 04 2015 16:46:59 GMT+0800 (Malay Peninsula Standard Time),,s2w13,focus,
Fri Sep 04 2015 16:47:00 GMT+0800 (Malay Peninsula Standard Time),,s2w14,focus,
Fri Sep 04 2015 16:47:00 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Fri Sep 04 2015 16:47:01 GMT+0800 (Malay Peninsula Standard Time),,s2w16,focus,
Fri Sep 04 2015 16:47:01 GMT+0800 (Malay Peninsula Standard Time),,s2w17,focus,
Fri Sep 04 2015 16:47:01 GMT+0800 (Malay Peninsula Standard Time),,s2w18,focus,
Fri Sep 04 2015 16:47:02 GMT+0800 (Malay Peninsula Standard Time),,s2w19,focus,
