Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,700176
Thu Sep 03 2015 15:37:07 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,700176
Thu Sep 03 2015 15:37:12 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 15:37:12 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 15:37:45 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 15:37:46 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 15:37:46 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Thu Sep 03 2015 15:38:19 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Thu Sep 03 2015 15:38:19 GMT+0800 (Malay Peninsula Standard Time),,s3w6,focus,
Thu Sep 03 2015 15:38:20 GMT+0800 (Malay Peninsula Standard Time),,s3w6,label,"^"
