Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,570230
Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,570230
Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,570230
Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,570230
Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,570230
Fri Aug 21 2015 16:11:40 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,570230
Fri Aug 21 2015 16:11:46 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 16:11:46 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 16:12:00 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 16:12:01 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"N"
Fri Aug 21 2015 16:12:01 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 16:12:03 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 16:12:03 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Aug 21 2015 16:12:04 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Aug 21 2015 16:12:04 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Aug 21 2015 16:12:05 GMT+0800 (Malay Peninsula Standard Time),,s0w8,label,"^"
Fri Aug 21 2015 16:12:37 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Aug 21 2015 16:12:37 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Aug 21 2015 16:12:38 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Aug 21 2015 16:12:40 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Aug 21 2015 16:12:41 GMT+0800 (Malay Peninsula Standard Time),,s0w13,focus,
Fri Aug 21 2015 16:12:54 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Fri Aug 21 2015 16:12:54 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 16:13:19 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
