Fri Sep 04 2015 16:39:25 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 16:39:25 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,609890
Fri Sep 04 2015 16:39:25 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,609890
Fri Sep 04 2015 16:39:25 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,609890
Fri Sep 04 2015 16:39:25 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,609890
Fri Sep 04 2015 16:39:38 GMT+0800 (Malay Peninsula Standard Time),,s0w17,focus,
Fri Sep 04 2015 16:39:38 GMT+0800 (Malay Peninsula Standard Time),,s0w17,focus,
Fri Sep 04 2015 16:39:39 GMT+0800 (Malay Peninsula Standard Time),,s0w17,focus,
Fri Sep 04 2015 16:39:40 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:39:40 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 16:39:40 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 16:39:41 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 16:39:41 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 16:39:42 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 16:39:42 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 16:39:43 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Sep 04 2015 16:39:43 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Sep 04 2015 16:39:51 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Sep 04 2015 16:39:51 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 16:39:52 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Sep 04 2015 16:39:52 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Sep 04 2015 16:39:54 GMT+0800 (Malay Peninsula Standard Time),,s0w13,focus,
Fri Sep 04 2015 16:39:54 GMT+0800 (Malay Peninsula Standard Time),,s0w14,focus,
Fri Sep 04 2015 16:39:55 GMT+0800 (Malay Peninsula Standard Time),,s0w15,focus,
Fri Sep 04 2015 16:39:57 GMT+0800 (Malay Peninsula Standard Time),,s0w16,focus,
Fri Sep 04 2015 16:39:57 GMT+0800 (Malay Peninsula Standard Time),,s0w17,focus,
Fri Sep 04 2015 16:39:58 GMT+0800 (Malay Peninsula Standard Time),,s0w18,focus,
Fri Sep 04 2015 16:40:01 GMT+0800 (Malay Peninsula Standard Time),,s0w18,label,"^"
Fri Sep 04 2015 16:40:01 GMT+0800 (Malay Peninsula Standard Time),,s0w19,focus,
Fri Sep 04 2015 16:40:02 GMT+0800 (Malay Peninsula Standard Time),,s0w20,focus,
Fri Sep 04 2015 16:40:03 GMT+0800 (Malay Peninsula Standard Time),,s0w20,label,"^"
Fri Sep 04 2015 16:40:03 GMT+0800 (Malay Peninsula Standard Time),,s0w21,focus,
Fri Sep 04 2015 16:40:03 GMT+0800 (Malay Peninsula Standard Time),,s0w22,focus,
Fri Sep 04 2015 16:40:04 GMT+0800 (Malay Peninsula Standard Time),,s0w22,label,"^"
Fri Sep 04 2015 16:40:04 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Sep 04 2015 16:40:06 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Sep 04 2015 16:40:06 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 16:40:06 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Sep 04 2015 16:40:06 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 16:40:07 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Sep 04 2015 16:40:08 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 16:40:08 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 16:40:09 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Sep 04 2015 16:40:09 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
