Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,596684
Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,596684
Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,596684
Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,596684
Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,596684
Fri Sep 04 2015 12:57:22 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,596684
Fri Sep 04 2015 12:57:28 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 12:57:29 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 12:58:22 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:08:14 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:08:17 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:10:35 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:10:36 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Sep 04 2015 13:10:36 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Sep 04 2015 13:10:36 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Sep 04 2015 13:10:41 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Sep 04 2015 13:10:42 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Sep 04 2015 13:10:54 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Sep 04 2015 13:10:54 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Sep 04 2015 13:10:55 GMT+0800 (Malay Peninsula Standard Time),,s0w8,focus,
Fri Sep 04 2015 13:10:56 GMT+0800 (Malay Peninsula Standard Time),,s0w9,focus,
Fri Sep 04 2015 13:10:56 GMT+0800 (Malay Peninsula Standard Time),,s0w10,focus,
Fri Sep 04 2015 13:11:09 GMT+0800 (Malay Peninsula Standard Time),,s0w11,focus,
Fri Sep 04 2015 13:11:10 GMT+0800 (Malay Peninsula Standard Time),,s0w12,focus,
Fri Sep 04 2015 13:11:14 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Sep 04 2015 13:11:15 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Sep 04 2015 13:11:15 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Sep 04 2015 13:11:16 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Sep 04 2015 13:11:17 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Sep 04 2015 13:11:19 GMT+0800 (Malay Peninsula Standard Time),,s1w5,label,"^"
Fri Sep 04 2015 13:11:20 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Sep 04 2015 13:11:25 GMT+0800 (Malay Peninsula Standard Time),,s1w6,label,"^"
Fri Sep 04 2015 13:11:26 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Sep 04 2015 13:11:27 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Sep 04 2015 13:11:28 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Sep 04 2015 13:11:28 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Sep 04 2015 13:11:29 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Sep 04 2015 13:11:30 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Sep 04 2015 13:11:31 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Sep 04 2015 13:11:31 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Sep 04 2015 13:11:40 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Sep 04 2015 13:11:41 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Sep 04 2015 13:11:41 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Sep 04 2015 13:11:42 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Sep 04 2015 13:11:45 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Fri Sep 04 2015 13:11:46 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Fri Sep 04 2015 13:11:47 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Fri Sep 04 2015 13:11:47 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Sep 04 2015 13:11:48 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Fri Sep 04 2015 13:11:53 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Fri Sep 04 2015 13:11:53 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Fri Sep 04 2015 13:11:56 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Sep 04 2015 13:11:58 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Sep 04 2015 13:11:59 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Sep 04 2015 13:11:59 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Sep 04 2015 13:12:00 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Fri Sep 04 2015 13:12:00 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Fri Sep 04 2015 13:12:02 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Fri Sep 04 2015 13:12:11 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Sep 04 2015 13:12:12 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Sep 04 2015 13:12:13 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Sep 04 2015 13:12:14 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Fri Sep 04 2015 13:12:15 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
