Thu Sep 03 2015 19:15:17 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Thu Sep 03 2015 19:15:17 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,682760
Thu Sep 03 2015 19:15:17 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,682760
Thu Sep 03 2015 19:15:17 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,682760
Thu Sep 03 2015 19:15:17 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,682760
Thu Sep 03 2015 19:16:00 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 19:16:00 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 19:16:29 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 19:16:32 GMT+0800 (Malay Peninsula Standard Time),,s2w1,label,"N"
Thu Sep 03 2015 19:16:49 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Thu Sep 03 2015 19:16:49 GMT+0800 (Malay Peninsula Standard Time),,s1w65,focus,
Thu Sep 03 2015 19:16:51 GMT+0800 (Malay Peninsula Standard Time),,s1w65,label,"^"
Thu Sep 03 2015 19:16:51 GMT+0800 (Malay Peninsula Standard Time),,s1w66,focus,
Thu Sep 03 2015 19:16:52 GMT+0800 (Malay Peninsula Standard Time),,s1w67,focus,
Thu Sep 03 2015 19:16:53 GMT+0800 (Malay Peninsula Standard Time),,s1w67,label,"^"
Thu Sep 03 2015 19:16:54 GMT+0800 (Malay Peninsula Standard Time),,s1w68,focus,
Thu Sep 03 2015 19:16:55 GMT+0800 (Malay Peninsula Standard Time),,s2w1,focus,
Thu Sep 03 2015 19:16:55 GMT+0800 (Malay Peninsula Standard Time),,s2w2,focus,
Thu Sep 03 2015 19:16:55 GMT+0800 (Malay Peninsula Standard Time),,s2w3,focus,
Thu Sep 03 2015 19:16:55 GMT+0800 (Malay Peninsula Standard Time),,s2w4,focus,
Thu Sep 03 2015 19:16:56 GMT+0800 (Malay Peninsula Standard Time),,s2w5,focus,
Thu Sep 03 2015 19:16:56 GMT+0800 (Malay Peninsula Standard Time),,s2w6,focus,
Thu Sep 03 2015 19:16:56 GMT+0800 (Malay Peninsula Standard Time),,s2w7,focus,
Thu Sep 03 2015 19:16:56 GMT+0800 (Malay Peninsula Standard Time),,s2w8,focus,
Thu Sep 03 2015 19:16:57 GMT+0800 (Malay Peninsula Standard Time),,s2w9,focus,
Thu Sep 03 2015 19:16:57 GMT+0800 (Malay Peninsula Standard Time),,s2w10,focus,
Thu Sep 03 2015 19:16:58 GMT+0800 (Malay Peninsula Standard Time),,s2w11,focus,
Thu Sep 03 2015 19:16:58 GMT+0800 (Malay Peninsula Standard Time),,s2w12,focus,
Thu Sep 03 2015 19:16:58 GMT+0800 (Malay Peninsula Standard Time),,s2w13,focus,
Thu Sep 03 2015 19:16:59 GMT+0800 (Malay Peninsula Standard Time),,s2w14,focus,
Thu Sep 03 2015 19:16:59 GMT+0800 (Malay Peninsula Standard Time),,s2w15,focus,
Thu Sep 03 2015 19:17:00 GMT+0800 (Malay Peninsula Standard Time),,s2w16,focus,
Thu Sep 03 2015 19:17:01 GMT+0800 (Malay Peninsula Standard Time),,s2w17,focus,
Thu Sep 03 2015 19:17:01 GMT+0800 (Malay Peninsula Standard Time),,s2w18,focus,
Thu Sep 03 2015 19:17:01 GMT+0800 (Malay Peninsula Standard Time),,s2w19,focus,
Thu Sep 03 2015 19:17:02 GMT+0800 (Malay Peninsula Standard Time),,s2w20,focus,
Thu Sep 03 2015 19:17:02 GMT+0800 (Malay Peninsula Standard Time),,s2w21,focus,
Thu Sep 03 2015 19:17:02 GMT+0800 (Malay Peninsula Standard Time),,s2w22,focus,
Thu Sep 03 2015 19:17:02 GMT+0800 (Malay Peninsula Standard Time),,s3w1,focus,
Thu Sep 03 2015 19:17:03 GMT+0800 (Malay Peninsula Standard Time),,s3w2,focus,
Thu Sep 03 2015 19:17:03 GMT+0800 (Malay Peninsula Standard Time),,s3w3,focus,
Thu Sep 03 2015 19:17:03 GMT+0800 (Malay Peninsula Standard Time),,s3w4,focus,
Thu Sep 03 2015 19:17:04 GMT+0800 (Malay Peninsula Standard Time),,s3w5,focus,
Thu Sep 03 2015 19:17:05 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 19:17:06 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Thu Sep 03 2015 19:17:15 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Thu Sep 03 2015 19:17:15 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Thu Sep 03 2015 19:17:23 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Thu Sep 03 2015 19:17:24 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Thu Sep 03 2015 19:17:24 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Thu Sep 03 2015 19:17:24 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Thu Sep 03 2015 19:17:24 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Thu Sep 03 2015 19:17:25 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Thu Sep 03 2015 19:17:25 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Thu Sep 03 2015 19:17:26 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Thu Sep 03 2015 19:17:34 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Thu Sep 03 2015 19:17:34 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Thu Sep 03 2015 19:17:35 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Thu Sep 03 2015 19:17:35 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Thu Sep 03 2015 19:17:35 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Thu Sep 03 2015 19:17:35 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Thu Sep 03 2015 19:17:36 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Thu Sep 03 2015 19:17:37 GMT+0800 (Malay Peninsula Standard Time),,s1w34,label,"^"
Thu Sep 03 2015 19:17:40 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Thu Sep 03 2015 19:17:40 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Thu Sep 03 2015 19:17:40 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Thu Sep 03 2015 19:17:42 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Thu Sep 03 2015 19:17:43 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s1w40,focus,
Thu Sep 03 2015 19:17:49 GMT+0800 (Malay Peninsula Standard Time),,s1w41,focus,
Thu Sep 03 2015 19:17:50 GMT+0800 (Malay Peninsula Standard Time),,s1w42,focus,
Thu Sep 03 2015 19:17:50 GMT+0800 (Malay Peninsula Standard Time),,s1w43,focus,
Thu Sep 03 2015 19:17:50 GMT+0800 (Malay Peninsula Standard Time),,s1w44,focus,
Thu Sep 03 2015 19:17:50 GMT+0800 (Malay Peninsula Standard Time),,s1w45,focus,
Thu Sep 03 2015 19:17:50 GMT+0800 (Malay Peninsula Standard Time),,s1w46,focus,
Thu Sep 03 2015 19:17:51 GMT+0800 (Malay Peninsula Standard Time),,s1w47,focus,
Thu Sep 03 2015 19:17:51 GMT+0800 (Malay Peninsula Standard Time),,s1w48,focus,
Thu Sep 03 2015 19:17:51 GMT+0800 (Malay Peninsula Standard Time),,s1w49,focus,
Thu Sep 03 2015 19:17:52 GMT+0800 (Malay Peninsula Standard Time),,s1w50,focus,
Thu Sep 03 2015 19:17:52 GMT+0800 (Malay Peninsula Standard Time),,s1w51,focus,
Thu Sep 03 2015 19:17:54 GMT+0800 (Malay Peninsula Standard Time),,s1w51,label,"^"
Thu Sep 03 2015 19:18:02 GMT+0800 (Malay Peninsula Standard Time),,s1w52,focus,
Thu Sep 03 2015 19:18:02 GMT+0800 (Malay Peninsula Standard Time),,s1w53,focus,
Thu Sep 03 2015 19:18:02 GMT+0800 (Malay Peninsula Standard Time),,s1w54,focus,
Thu Sep 03 2015 19:18:03 GMT+0800 (Malay Peninsula Standard Time),,s1w55,focus,
Thu Sep 03 2015 19:18:03 GMT+0800 (Malay Peninsula Standard Time),,s1w56,focus,
Thu Sep 03 2015 19:18:03 GMT+0800 (Malay Peninsula Standard Time),,s1w57,focus,
Thu Sep 03 2015 19:18:04 GMT+0800 (Malay Peninsula Standard Time),,s1w58,focus,
Thu Sep 03 2015 19:18:04 GMT+0800 (Malay Peninsula Standard Time),,s1w59,focus,
Thu Sep 03 2015 19:18:06 GMT+0800 (Malay Peninsula Standard Time),,s1w60,focus,
Thu Sep 03 2015 19:18:07 GMT+0800 (Malay Peninsula Standard Time),,s1w61,focus,
Thu Sep 03 2015 19:18:07 GMT+0800 (Malay Peninsula Standard Time),,s1w62,focus,
Thu Sep 03 2015 19:18:30 GMT+0800 (Malay Peninsula Standard Time),,,submitPage,
