Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s14,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s15,twitterId,580509
Fri Aug 21 2015 16:32:33 GMT+0800 (Malay Peninsula Standard Time),,s16,twitterId,580509
Fri Aug 21 2015 16:33:37 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 16:33:37 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 16:33:38 GMT+0800 (Malay Peninsula Standard Time),,s0w1,label,"G"
Fri Aug 21 2015 16:33:38 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 16:33:39 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 16:33:40 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 16:33:40 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 16:33:41 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Aug 21 2015 16:33:41 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Aug 21 2015 16:33:43 GMT+0800 (Malay Peninsula Standard Time),,s0w7,label,"N"
Fri Aug 21 2015 16:33:43 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 16:34:01 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 16:34:02 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Aug 21 2015 16:34:03 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Aug 21 2015 16:34:03 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Aug 21 2015 16:34:03 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Aug 21 2015 16:34:04 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Aug 21 2015 16:34:09 GMT+0800 (Malay Peninsula Standard Time),,s1w7,label,"N"
Fri Aug 21 2015 16:34:11 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Aug 21 2015 16:34:14 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Aug 21 2015 16:34:14 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Aug 21 2015 16:34:15 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Aug 21 2015 16:34:16 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Aug 21 2015 16:34:17 GMT+0800 (Malay Peninsula Standard Time),,s1w12,label,"^"
Fri Aug 21 2015 16:34:19 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Aug 21 2015 16:34:19 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Aug 21 2015 16:34:21 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Aug 21 2015 16:34:21 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Aug 21 2015 16:34:23 GMT+0800 (Malay Peninsula Standard Time),,s1w16,label,"^"
Fri Aug 21 2015 16:34:23 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Aug 21 2015 16:34:24 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Aug 21 2015 16:34:24 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
Fri Aug 21 2015 16:34:25 GMT+0800 (Malay Peninsula Standard Time),,s1w20,focus,
Fri Aug 21 2015 16:34:25 GMT+0800 (Malay Peninsula Standard Time),,s1w21,focus,
Fri Aug 21 2015 16:34:26 GMT+0800 (Malay Peninsula Standard Time),,s1w22,focus,
Fri Aug 21 2015 16:34:26 GMT+0800 (Malay Peninsula Standard Time),,s1w23,focus,
Fri Aug 21 2015 16:34:27 GMT+0800 (Malay Peninsula Standard Time),,s1w24,focus,
Fri Aug 21 2015 16:34:28 GMT+0800 (Malay Peninsula Standard Time),,s1w25,focus,
Fri Aug 21 2015 16:34:28 GMT+0800 (Malay Peninsula Standard Time),,s1w26,focus,
Fri Aug 21 2015 16:34:29 GMT+0800 (Malay Peninsula Standard Time),,s1w27,focus,
Fri Aug 21 2015 16:34:29 GMT+0800 (Malay Peninsula Standard Time),,s1w28,focus,
Fri Aug 21 2015 16:34:30 GMT+0800 (Malay Peninsula Standard Time),,s1w29,focus,
Fri Aug 21 2015 16:34:30 GMT+0800 (Malay Peninsula Standard Time),,s1w30,focus,
Fri Aug 21 2015 16:34:30 GMT+0800 (Malay Peninsula Standard Time),,s1w31,focus,
Fri Aug 21 2015 16:34:31 GMT+0800 (Malay Peninsula Standard Time),,s1w32,focus,
Fri Aug 21 2015 16:34:31 GMT+0800 (Malay Peninsula Standard Time),,s1w33,focus,
Fri Aug 21 2015 16:34:31 GMT+0800 (Malay Peninsula Standard Time),,s1w34,focus,
Fri Aug 21 2015 16:34:32 GMT+0800 (Malay Peninsula Standard Time),,s1w35,focus,
Fri Aug 21 2015 16:34:33 GMT+0800 (Malay Peninsula Standard Time),,s1w36,focus,
Fri Aug 21 2015 16:34:33 GMT+0800 (Malay Peninsula Standard Time),,s1w37,focus,
Fri Aug 21 2015 16:34:38 GMT+0800 (Malay Peninsula Standard Time),,s1w38,focus,
Fri Aug 21 2015 16:34:39 GMT+0800 (Malay Peninsula Standard Time),,s1w39,focus,
