Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,401114
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,401114
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,401114
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,401114
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,401114
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,401114
Fri Aug 21 2015 16:06:53 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,401114
Fri Aug 21 2015 16:07:03 GMT+0800 (Malay Peninsula Standard Time),,s6w76,focus,
Fri Aug 21 2015 16:07:03 GMT+0800 (Malay Peninsula Standard Time),,s6w76,focus,
Fri Aug 21 2015 16:07:10 GMT+0800 (Malay Peninsula Standard Time),,s6w76,label,"Z"
Fri Aug 21 2015 16:07:12 GMT+0800 (Malay Peninsula Standard Time),,s6w77,focus,
Fri Aug 21 2015 16:07:19 GMT+0800 (Malay Peninsula Standard Time),,s6w78,focus,
Fri Aug 21 2015 16:07:22 GMT+0800 (Malay Peninsula Standard Time),,s6w79,focus,
Fri Aug 21 2015 16:07:23 GMT+0800 (Malay Peninsula Standard Time),,s6w79,label,"^"
Fri Aug 21 2015 16:07:25 GMT+0800 (Malay Peninsula Standard Time),,s6w80,focus,
Fri Aug 21 2015 16:07:28 GMT+0800 (Malay Peninsula Standard Time),,s6w81,focus,
Fri Aug 21 2015 16:07:29 GMT+0800 (Malay Peninsula Standard Time),,s6w82,focus,
Fri Aug 21 2015 16:07:31 GMT+0800 (Malay Peninsula Standard Time),,s6w83,focus,
Fri Aug 21 2015 16:07:34 GMT+0800 (Malay Peninsula Standard Time),,s6w84,focus,
Fri Aug 21 2015 16:07:35 GMT+0800 (Malay Peninsula Standard Time),,s6w85,focus,
Fri Aug 21 2015 16:07:35 GMT+0800 (Malay Peninsula Standard Time),,s6w86,focus,
Fri Aug 21 2015 16:07:36 GMT+0800 (Malay Peninsula Standard Time),,s6w87,focus,
Fri Aug 21 2015 16:07:37 GMT+0800 (Malay Peninsula Standard Time),,s6w88,focus,
Fri Aug 21 2015 16:07:38 GMT+0800 (Malay Peninsula Standard Time),,s6w89,focus,
Fri Aug 21 2015 16:07:39 GMT+0800 (Malay Peninsula Standard Time),,s6w90,focus,
Fri Aug 21 2015 16:07:40 GMT+0800 (Malay Peninsula Standard Time),,s6w91,focus,
Fri Aug 21 2015 16:07:40 GMT+0800 (Malay Peninsula Standard Time),,s6w92,focus,
Fri Aug 21 2015 16:07:40 GMT+0800 (Malay Peninsula Standard Time),,s6w93,focus,
Fri Aug 21 2015 16:07:41 GMT+0800 (Malay Peninsula Standard Time),,s6w94,focus,
Fri Aug 21 2015 16:07:41 GMT+0800 (Malay Peninsula Standard Time),,s6w95,focus,
Fri Aug 21 2015 16:07:42 GMT+0800 (Malay Peninsula Standard Time),,s6w96,focus,
Fri Aug 21 2015 16:07:42 GMT+0800 (Malay Peninsula Standard Time),,s6w97,focus,
Fri Aug 21 2015 16:07:43 GMT+0800 (Malay Peninsula Standard Time),,s6w98,focus,
Fri Aug 21 2015 16:07:43 GMT+0800 (Malay Peninsula Standard Time),,s6w99,focus,
Fri Aug 21 2015 16:07:46 GMT+0800 (Malay Peninsula Standard Time),,s6w100,focus,
Fri Aug 21 2015 16:07:47 GMT+0800 (Malay Peninsula Standard Time),,s6w101,focus,
Fri Aug 21 2015 16:07:47 GMT+0800 (Malay Peninsula Standard Time),,s6w102,focus,
Fri Aug 21 2015 16:07:48 GMT+0800 (Malay Peninsula Standard Time),,s6w103,focus,
Fri Aug 21 2015 16:07:50 GMT+0800 (Malay Peninsula Standard Time),,s6w104,focus,
