Thu Aug 27 2015 13:41:40 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:41:40 GMT+0800 (China Standard Time),,s0,twitterId,501348
Thu Aug 27 2015 13:41:40 GMT+0800 (China Standard Time),,s1,twitterId,501348
Thu Aug 27 2015 13:41:40 GMT+0800 (China Standard Time),,s2,twitterId,501348
Thu Aug 27 2015 13:41:40 GMT+0800 (China Standard Time),,s3,twitterId,501348
Thu Aug 27 2015 13:41:41 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:41:41 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:41:42 GMT+0800 (China Standard Time),,s0w2,focus,
Thu Aug 27 2015 13:41:42 GMT+0800 (China Standard Time),,s0w3,focus,
Thu Aug 27 2015 13:41:43 GMT+0800 (China Standard Time),,s0w4,focus,
Thu Aug 27 2015 13:41:44 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:41:47 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:41:47 GMT+0800 (China Standard Time),,s1w3,focus,
Thu Aug 27 2015 13:41:48 GMT+0800 (China Standard Time),,s1w4,focus,
Thu Aug 27 2015 13:41:49 GMT+0800 (China Standard Time),,s1w5,focus,
Thu Aug 27 2015 13:41:49 GMT+0800 (China Standard Time),,s1w6,focus,
Thu Aug 27 2015 13:41:49 GMT+0800 (China Standard Time),,s1w7,focus,
Thu Aug 27 2015 13:41:50 GMT+0800 (China Standard Time),,s1w8,focus,
Thu Aug 27 2015 13:41:50 GMT+0800 (China Standard Time),,s1w8,label,"^"
Thu Aug 27 2015 13:41:51 GMT+0800 (China Standard Time),,s1w9,focus,
Thu Aug 27 2015 13:41:51 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:41:51 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:41:51 GMT+0800 (China Standard Time),,s1w12,focus,
Thu Aug 27 2015 13:41:52 GMT+0800 (China Standard Time),,s1w13,focus,
Thu Aug 27 2015 13:41:52 GMT+0800 (China Standard Time),,s1w14,focus,
Thu Aug 27 2015 13:41:52 GMT+0800 (China Standard Time),,s1w15,focus,
Thu Aug 27 2015 13:41:52 GMT+0800 (China Standard Time),,s1w16,focus,
Thu Aug 27 2015 13:41:53 GMT+0800 (China Standard Time),,s1w17,focus,
Thu Aug 27 2015 13:41:53 GMT+0800 (China Standard Time),,s1w18,focus,
Thu Aug 27 2015 13:41:53 GMT+0800 (China Standard Time),,s1w19,focus,
Thu Aug 27 2015 13:41:53 GMT+0800 (China Standard Time),,s1w20,focus,
Thu Aug 27 2015 13:41:54 GMT+0800 (China Standard Time),,s1w21,focus,
Thu Aug 27 2015 13:41:54 GMT+0800 (China Standard Time),,s1w22,focus,
Thu Aug 27 2015 13:41:55 GMT+0800 (China Standard Time),,s1w23,focus,
Thu Aug 27 2015 13:41:55 GMT+0800 (China Standard Time),,s1w24,focus,
Thu Aug 27 2015 13:41:55 GMT+0800 (China Standard Time),,s1w25,focus,
Thu Aug 27 2015 13:41:55 GMT+0800 (China Standard Time),,s1w26,focus,
Thu Aug 27 2015 13:41:56 GMT+0800 (China Standard Time),,s1w26,label,"^"
Thu Aug 27 2015 13:41:56 GMT+0800 (China Standard Time),,s1w27,focus,
Thu Aug 27 2015 13:41:57 GMT+0800 (China Standard Time),,s1w28,focus,
Thu Aug 27 2015 13:41:57 GMT+0800 (China Standard Time),,s1w29,focus,
Thu Aug 27 2015 13:41:57 GMT+0800 (China Standard Time),,s1w30,focus,
Thu Aug 27 2015 13:41:58 GMT+0800 (China Standard Time),,s1w31,focus,
Thu Aug 27 2015 13:41:58 GMT+0800 (China Standard Time),,s1w32,focus,
Thu Aug 27 2015 13:41:59 GMT+0800 (China Standard Time),,s1w32,label,"^"
Thu Aug 27 2015 13:41:59 GMT+0800 (China Standard Time),,s1w33,focus,
Thu Aug 27 2015 13:41:59 GMT+0800 (China Standard Time),,s1w34,focus,
Thu Aug 27 2015 13:42:00 GMT+0800 (China Standard Time),,s1w35,focus,
Thu Aug 27 2015 13:42:00 GMT+0800 (China Standard Time),,s1w36,focus,
Thu Aug 27 2015 13:42:00 GMT+0800 (China Standard Time),,s1w37,focus,
Thu Aug 27 2015 13:42:01 GMT+0800 (China Standard Time),,s1w38,focus,
Thu Aug 27 2015 13:42:01 GMT+0800 (China Standard Time),,s1w39,focus,
Thu Aug 27 2015 13:42:01 GMT+0800 (China Standard Time),,s1w40,focus,
