Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s0,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s1,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s2,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s3,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s4,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s5,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s6,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s7,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s8,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s9,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s10,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s11,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s12,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s13,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s14,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s15,twitterId,515417
Thu Aug 27 2015 13:45:23 GMT+0800 (China Standard Time),,s16,twitterId,515417
Thu Aug 27 2015 13:45:25 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:45:25 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:45:27 GMT+0800 (China Standard Time),,s0w2,focus,
Thu Aug 27 2015 13:45:27 GMT+0800 (China Standard Time),,s0w3,focus,
Thu Aug 27 2015 13:45:27 GMT+0800 (China Standard Time),,s0w4,focus,
Thu Aug 27 2015 13:45:28 GMT+0800 (China Standard Time),,s0w5,focus,
Thu Aug 27 2015 13:45:29 GMT+0800 (China Standard Time),,s0w6,focus,
Thu Aug 27 2015 13:45:30 GMT+0800 (China Standard Time),,s0w7,focus,
Thu Aug 27 2015 13:45:30 GMT+0800 (China Standard Time),,s0w8,focus,
Thu Aug 27 2015 13:45:30 GMT+0800 (China Standard Time),,s0w9,focus,
Thu Aug 27 2015 13:45:31 GMT+0800 (China Standard Time),,s0w10,focus,
