Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,357562
Fri Aug 21 2015 15:15:32 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,357562
Fri Aug 21 2015 15:15:38 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 15:15:38 GMT+0800 (Malay Peninsula Standard Time),,s0w1,focus,
Fri Aug 21 2015 15:15:46 GMT+0800 (Malay Peninsula Standard Time),,s0w2,focus,
Fri Aug 21 2015 15:15:51 GMT+0800 (Malay Peninsula Standard Time),,s0w3,focus,
Fri Aug 21 2015 15:15:55 GMT+0800 (Malay Peninsula Standard Time),,s0w3,label,"^"
Fri Aug 21 2015 15:15:58 GMT+0800 (Malay Peninsula Standard Time),,s0w4,focus,
Fri Aug 21 2015 15:16:04 GMT+0800 (Malay Peninsula Standard Time),,s0w4,label,"N"
Fri Aug 21 2015 15:16:06 GMT+0800 (Malay Peninsula Standard Time),,s0w5,focus,
Fri Aug 21 2015 15:16:07 GMT+0800 (Malay Peninsula Standard Time),,s0w6,focus,
Fri Aug 21 2015 15:16:08 GMT+0800 (Malay Peninsula Standard Time),,s0w7,focus,
Fri Aug 21 2015 15:16:09 GMT+0800 (Malay Peninsula Standard Time),,s1w1,focus,
Fri Aug 21 2015 15:16:16 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 15:17:52 GMT+0800 (Malay Peninsula Standard Time),,s1w2,focus,
Fri Aug 21 2015 15:17:57 GMT+0800 (Malay Peninsula Standard Time),,s1w3,focus,
Fri Aug 21 2015 15:18:02 GMT+0800 (Malay Peninsula Standard Time),,s1w4,focus,
Fri Aug 21 2015 15:18:03 GMT+0800 (Malay Peninsula Standard Time),,s1w5,focus,
Fri Aug 21 2015 15:18:03 GMT+0800 (Malay Peninsula Standard Time),,s1w6,focus,
Fri Aug 21 2015 15:18:04 GMT+0800 (Malay Peninsula Standard Time),,s1w7,focus,
Fri Aug 21 2015 15:18:07 GMT+0800 (Malay Peninsula Standard Time),,s1w8,focus,
Fri Aug 21 2015 15:18:08 GMT+0800 (Malay Peninsula Standard Time),,s1w9,focus,
Fri Aug 21 2015 15:18:11 GMT+0800 (Malay Peninsula Standard Time),,s1w9,label,"^"
Fri Aug 21 2015 15:18:12 GMT+0800 (Malay Peninsula Standard Time),,s1w10,focus,
Fri Aug 21 2015 15:18:54 GMT+0800 (Malay Peninsula Standard Time),,s1w11,focus,
Fri Aug 21 2015 15:18:57 GMT+0800 (Malay Peninsula Standard Time),,s1w12,focus,
Fri Aug 21 2015 15:18:59 GMT+0800 (Malay Peninsula Standard Time),,s1w13,focus,
Fri Aug 21 2015 15:18:59 GMT+0800 (Malay Peninsula Standard Time),,s1w14,focus,
Fri Aug 21 2015 15:19:00 GMT+0800 (Malay Peninsula Standard Time),,s1w15,focus,
Fri Aug 21 2015 15:19:04 GMT+0800 (Malay Peninsula Standard Time),,s1w16,focus,
Fri Aug 21 2015 15:19:05 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Aug 21 2015 15:19:20 GMT+0800 (Malay Peninsula Standard Time),,s1w17,focus,
Fri Aug 21 2015 15:19:23 GMT+0800 (Malay Peninsula Standard Time),,s1w18,focus,
Fri Aug 21 2015 15:19:46 GMT+0800 (Malay Peninsula Standard Time),,s1w19,focus,
