Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s0,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s1,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s2,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s3,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s4,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s5,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s6,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s7,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s8,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s9,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s10,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s11,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s12,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s13,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s14,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s15,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s16,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s17,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s18,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s19,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s20,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s21,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s22,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s23,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s24,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s25,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s26,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s27,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s28,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s29,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s30,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s31,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s32,twitterId,527703
Fri Aug 28 2015 20:59:24 GMT+0800 (China Standard Time),,s33,twitterId,527703
