Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,,pageReady,0:100:100
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s0,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s1,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s2,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s3,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s4,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s5,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s6,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s7,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s8,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s9,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s10,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s11,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s12,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s13,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s14,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s15,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s16,twitterId,416998
Fri Aug 21 2015 17:03:23 GMT+0800 (Malay Peninsula Standard Time),,s17,twitterId,416998
Fri Aug 21 2015 17:03:53 GMT+0800 (Malay Peninsula Standard Time),,s8w1,focus,
Fri Aug 21 2015 17:03:53 GMT+0800 (Malay Peninsula Standard Time),,s8w1,focus,
Fri Aug 21 2015 17:03:56 GMT+0800 (Malay Peninsula Standard Time),,s8w2,focus,
Fri Aug 21 2015 17:03:56 GMT+0800 (Malay Peninsula Standard Time),,s8w3,focus,
Fri Aug 21 2015 17:03:57 GMT+0800 (Malay Peninsula Standard Time),,s8w4,focus,
Fri Aug 21 2015 17:03:57 GMT+0800 (Malay Peninsula Standard Time),,s8w5,focus,
Fri Aug 21 2015 17:03:57 GMT+0800 (Malay Peninsula Standard Time),,s8w6,focus,
Fri Aug 21 2015 17:03:58 GMT+0800 (Malay Peninsula Standard Time),,s8w7,focus,
Fri Aug 21 2015 17:03:58 GMT+0800 (Malay Peninsula Standard Time),,s8w8,focus,
Fri Aug 21 2015 17:03:58 GMT+0800 (Malay Peninsula Standard Time),,s8w9,focus,
Fri Aug 21 2015 17:03:58 GMT+0800 (Malay Peninsula Standard Time),,s8w10,focus,
Fri Aug 21 2015 17:03:59 GMT+0800 (Malay Peninsula Standard Time),,s8w11,focus,
Fri Aug 21 2015 17:03:59 GMT+0800 (Malay Peninsula Standard Time),,s8w12,focus,
Fri Aug 21 2015 17:03:59 GMT+0800 (Malay Peninsula Standard Time),,s8w13,focus,
Fri Aug 21 2015 17:04:00 GMT+0800 (Malay Peninsula Standard Time),,s8w14,focus,
Fri Aug 21 2015 17:04:00 GMT+0800 (Malay Peninsula Standard Time),,s8w15,focus,
Fri Aug 21 2015 17:04:00 GMT+0800 (Malay Peninsula Standard Time),,s8w16,focus,
Fri Aug 21 2015 17:04:01 GMT+0800 (Malay Peninsula Standard Time),,s8w17,focus,
Fri Aug 21 2015 17:04:08 GMT+0800 (Malay Peninsula Standard Time),,s8w18,focus,
Fri Aug 21 2015 17:04:08 GMT+0800 (Malay Peninsula Standard Time),,s8w19,focus,
Fri Aug 21 2015 17:04:09 GMT+0800 (Malay Peninsula Standard Time),,s8w20,focus,
Fri Aug 21 2015 17:04:09 GMT+0800 (Malay Peninsula Standard Time),,s8w21,focus,
Fri Aug 21 2015 17:04:09 GMT+0800 (Malay Peninsula Standard Time),,s8w22,focus,
Fri Aug 21 2015 17:04:10 GMT+0800 (Malay Peninsula Standard Time),,s8w23,focus,
Fri Aug 21 2015 17:04:10 GMT+0800 (Malay Peninsula Standard Time),,s8w24,focus,
Fri Aug 21 2015 17:04:10 GMT+0800 (Malay Peninsula Standard Time),,s8w25,focus,
Fri Aug 21 2015 17:04:11 GMT+0800 (Malay Peninsula Standard Time),,s8w26,focus,
Fri Aug 21 2015 17:04:12 GMT+0800 (Malay Peninsula Standard Time),,s8w26,label,"^"
Fri Aug 21 2015 17:04:12 GMT+0800 (Malay Peninsula Standard Time),,s8w27,focus,
Fri Aug 21 2015 17:04:12 GMT+0800 (Malay Peninsula Standard Time),,s8w28,focus,
Fri Aug 21 2015 17:04:13 GMT+0800 (Malay Peninsula Standard Time),,s8w29,focus,
Fri Aug 21 2015 17:04:13 GMT+0800 (Malay Peninsula Standard Time),,s8w30,focus,
Fri Aug 21 2015 17:04:14 GMT+0800 (Malay Peninsula Standard Time),,s8w31,focus,
Fri Aug 21 2015 17:04:17 GMT+0800 (Malay Peninsula Standard Time),,s8w32,focus,
Fri Aug 21 2015 17:04:17 GMT+0800 (Malay Peninsula Standard Time),,s8w33,focus,
Fri Aug 21 2015 17:04:19 GMT+0800 (Malay Peninsula Standard Time),,s8w34,focus,
Fri Aug 21 2015 17:04:20 GMT+0800 (Malay Peninsula Standard Time),,s8w35,focus,
Fri Aug 21 2015 17:04:20 GMT+0800 (Malay Peninsula Standard Time),,s8w36,focus,
Fri Aug 21 2015 17:04:21 GMT+0800 (Malay Peninsula Standard Time),,s8w37,focus,
Fri Aug 21 2015 17:04:21 GMT+0800 (Malay Peninsula Standard Time),,s8w38,focus,
Fri Aug 21 2015 17:04:21 GMT+0800 (Malay Peninsula Standard Time),,s8w39,focus,
Fri Aug 21 2015 17:04:21 GMT+0800 (Malay Peninsula Standard Time),,s8w40,focus,
Fri Aug 21 2015 17:04:22 GMT+0800 (Malay Peninsula Standard Time),,s8w41,focus,
Fri Aug 21 2015 17:04:22 GMT+0800 (Malay Peninsula Standard Time),,s8w42,focus,
Fri Aug 21 2015 17:04:23 GMT+0800 (Malay Peninsula Standard Time),,s8w43,focus,
Fri Aug 21 2015 17:04:23 GMT+0800 (Malay Peninsula Standard Time),,s8w44,focus,
Fri Aug 21 2015 17:04:24 GMT+0800 (Malay Peninsula Standard Time),,s9w1,focus,
Fri Aug 21 2015 17:04:24 GMT+0800 (Malay Peninsula Standard Time),,s9w2,focus,
