Thu Aug 27 2015 13:38:31 GMT+0800 (China Standard Time),,,pageReady,0:100:100
Thu Aug 27 2015 13:38:31 GMT+0800 (China Standard Time),,s0,twitterId,468424
Thu Aug 27 2015 13:38:31 GMT+0800 (China Standard Time),,s1,twitterId,468424
Thu Aug 27 2015 13:38:31 GMT+0800 (China Standard Time),,s2,twitterId,468424
Thu Aug 27 2015 13:38:36 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:38:36 GMT+0800 (China Standard Time),,s0w1,focus,
Thu Aug 27 2015 13:38:37 GMT+0800 (China Standard Time),,s0w2,focus,
Thu Aug 27 2015 13:38:37 GMT+0800 (China Standard Time),,s0w3,focus,
Thu Aug 27 2015 13:38:37 GMT+0800 (China Standard Time),,s0w4,focus,
Thu Aug 27 2015 13:38:37 GMT+0800 (China Standard Time),,s0w5,focus,
Thu Aug 27 2015 13:38:38 GMT+0800 (China Standard Time),,s0w6,focus,
Thu Aug 27 2015 13:38:38 GMT+0800 (China Standard Time),,s0w7,focus,
Thu Aug 27 2015 13:38:39 GMT+0800 (China Standard Time),,s0w8,focus,
Thu Aug 27 2015 13:38:39 GMT+0800 (China Standard Time),,s0w9,focus,
Thu Aug 27 2015 13:38:39 GMT+0800 (China Standard Time),,s0w10,focus,
Thu Aug 27 2015 13:38:40 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:38:40 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:38:42 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:38:42 GMT+0800 (China Standard Time),,s1w1,focus,
Thu Aug 27 2015 13:38:51 GMT+0800 (China Standard Time),,s1w1,label,"!"
Thu Aug 27 2015 13:38:51 GMT+0800 (China Standard Time),,s1w2,focus,
Thu Aug 27 2015 13:38:52 GMT+0800 (China Standard Time),,s1w3,focus,
Thu Aug 27 2015 13:38:53 GMT+0800 (China Standard Time),,s1w4,focus,
Thu Aug 27 2015 13:38:53 GMT+0800 (China Standard Time),,s1w5,focus,
Thu Aug 27 2015 13:38:54 GMT+0800 (China Standard Time),,s1w6,focus,
Thu Aug 27 2015 13:38:54 GMT+0800 (China Standard Time),,s1w7,focus,
Thu Aug 27 2015 13:38:55 GMT+0800 (China Standard Time),,s1w8,focus,
Thu Aug 27 2015 13:38:56 GMT+0800 (China Standard Time),,s1w8,label,"N"
Thu Aug 27 2015 13:38:56 GMT+0800 (China Standard Time),,s1w9,focus,
Thu Aug 27 2015 13:38:57 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:38:58 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:39:00 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:39:00 GMT+0800 (China Standard Time),,s1w10,focus,
Thu Aug 27 2015 13:39:01 GMT+0800 (China Standard Time),,s1w10,label,"^"
Thu Aug 27 2015 13:39:01 GMT+0800 (China Standard Time),,s1w11,focus,
Thu Aug 27 2015 13:39:03 GMT+0800 (China Standard Time),,s1w12,focus,
Thu Aug 27 2015 13:39:03 GMT+0800 (China Standard Time),,s1w13,focus,
Thu Aug 27 2015 13:39:03 GMT+0800 (China Standard Time),,s1w14,focus,
Thu Aug 27 2015 13:39:03 GMT+0800 (China Standard Time),,s1w15,focus,
Thu Aug 27 2015 13:39:04 GMT+0800 (China Standard Time),,s1w16,focus,
